@relation 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute d_ratio_int_cons numeric
@attribute d_ratio_array_cons numeric
@attribute d_ratio_int_vars numeric
@attribute algorithm {bprolog,fzn2smt,g12cpx,g12fd,g12lazyfd,g12mip,gecode,izplus,minisatid,mistral,ortools,allfair}

@data

1,0,1,allfair
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,minisatid
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,allfair
1,0,1,fzn2smt
1,0,1,g12cpx
1,0,1,allfair
1,0,1,allfair
1,0,1,bprolog
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,allfair
1,0,1,fzn2smt
1,0,1,fzn2smt
1,0,1,allfair
1,0,1,g12cpx
1,0,1,fzn2smt
1,0,1,izplus
1,0,1,g12lazyfd
0.555556,0.444444,0.333333,g12lazyfd
1,0,1,fzn2smt
1,0,1,minisatid
1,0,1,allfair
1,0,1,allfair
1,0,1,minisatid
0.555556,0.444444,0.333333,g12cpx
0.5,0.5,0.333333,g12lazyfd
0.502513,0.497487,0.333333,g12cpx
1,0,1,fzn2smt
1,0,1,g12cpx
0.555556,0.444444,0.333333,g12cpx
1,0,1,g12cpx
1,0,1,g12cpx
1,0,1,izplus
0.555556,0.444444,0.333333,g12cpx
0.555556,0.444444,0.333333,g12cpx
1,0,1,g12lazyfd
1,0,1,g12lazyfd
1,0,1,g12cpx
1,0,1,fzn2smt
0.556328,0.443672,0.333333,g12lazyfd
1,0,1,fzn2smt
1,0,1,allfair
0.555556,0.444444,0.333333,g12cpx
1,0,1,minisatid
0.501253,0.498747,0.333333,g12lazyfd
0.555556,0.444444,0.333333,g12lazyfd
0.555556,0.444444,0.333333,g12lazyfd
0.55788,0.44212,0.333333,g12lazyfd
0.500626,0.499374,0.333333,g12cpx
0.555556,0.444444,0.333333,g12lazyfd
0.500626,0.499374,0.333333,g12lazyfd
0.500626,0.499374,0.333333,g12cpx
1,0,1,fzn2smt
1,0,1,minisatid
0.502513,0.497487,0.333333,g12lazyfd
1,0,1,g12lazyfd
0.555556,0.444444,0.333333,g12cpx
1,0,1,fzn2smt
0.370714,0.629286,0.333333,g12lazyfd
0.568182,0.431818,0.333333,g12lazyfd
1,0,1,g12lazyfd
1,0,1,g12cpx
1,0,1,g12lazyfd
0.555556,0.444444,0.333333,g12cpx
1,0,1,g12lazyfd
1,0,1,g12lazyfd
0.555556,0.444444,0.333333,g12lazyfd
0.252845,0.747155,0.333333,g12lazyfd
1,0,1,allfair
1,0,1,g12lazyfd
1,0,1,fzn2smt
1,0,1,g12lazyfd
1,0,1,g12cpx
0.501253,0.498747,0.333333,g12cpx
0.370714,0.629286,0.333333,g12lazyfd
1,0,1,g12lazyfd
1,0,1,minisatid
0.5,0.5,0.333333,g12lazyfd
0.500626,0.499374,0.333333,g12cpx
1,0,1,fzn2smt
1,0,1,allfair
