@relation 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute csp_perten_avg_predshape numeric
@attribute csp_perten_avg_predsize numeric
@attribute csp_sqrt_max_domsize numeric
@attribute algorithm {abscon,choco,claspcnf_direct,claspcnf_directorder,claspcnf_support,cryptominisat_direct,cryptominisat_directorder,cryptominisat_support,gecode,glucose_direct,glucose_directorder,glucose_support,lingeling_direct,lingeling_directorder,lingeling_support,minisat22_direct,minisat22_directorder,minisat22_support,mistral_nj,riss3g_direct,riss3g_directorder,riss3g_support,allfair}

@data

?,?,?,minisat22_support
?,?,?,glucose_direct
?,?,?,glucose_support
43.196203,46.186709,1.414214,riss3g_direct
43.093596,46.187192,1.414214,riss3g_support
42.929936,46.072187,1.414214,glucose_support
43.172979,45.957011,1.414214,riss3g_directorder
?,?,?,glucose_direct
43.002049,45.932377,1.414214,glucose_direct
44.355828,51.779141,1.414214,minisat22_support
43.349169,46.072842,1.414214,riss3g_direct
43.082061,46.001908,1.414214,riss3g_directorder
?,?,?,gecode
43.284133,45.97786,1.414214,riss3g_support
43.106509,46.104536,1.414214,riss3g_support
3.819552,41.550796,1.414214,glucose_directorder
?,?,?,gecode
?,?,?,gecode
?,?,?,glucose_support
4.710248,24.250642,1.414214,glucose_support
4.714165,19.608561,1.414214,mistral_nj
?,?,?,claspcnf_support
3.131936,19.18208,1.414214,mistral_nj
4.665542,41.512085,1.414214,minisat22_support
5.555161,20.294431,1.414214,claspcnf_direct
2.576082,19.518013,1.414214,claspcnf_directorder
6.145619,20.12752,1.414214,gecode
?,?,?,claspcnf_support
?,?,?,minisat22_support
?,?,?,gecode
4.30798,30.768782,1.414214,claspcnf_support
5.252951,30.442733,1.414214,claspcnf_direct
?,?,?,claspcnf_directorder
?,?,?,gecode
?,?,?,gecode
3.700935,19.592523,1.414214,riss3g_direct
3.754143,26.834913,1.414214,minisat22_support
4.362066,20.680223,1.414214,mistral_nj
5.31696,20.361766,1.414214,gecode
?,?,?,minisat22_direct
3.909502,26.618401,1.414214,riss3g_direct
3.098892,19.237955,1.414214,claspcnf_direct
?,?,?,claspcnf_support
3.433081,19.276554,1.414214,mistral_nj
?,?,?,claspcnf_direct
?,?,?,cryptominisat_support
?,?,?,riss3g_direct
3.772279,30.915244,1.414214,claspcnf_directorder
?,?,?,gecode
?,?,?,cryptominisat_support
2.435228,19.934982,1.414214,riss3g_directorder
3.764514,29.168194,1.414214,riss3g_direct
?,?,?,claspcnf_support
?,?,?,claspcnf_support
2.847689,20.042395,1.414214,mistral_nj
2.106286,18.53892,1.414214,claspcnf_support
58.877456,96.688494,1.414214,choco
?,?,?,gecode
?,?,?,gecode
4.317073,30.018293,1.414214,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
54.551148,304.812109,1.414214,riss3g_direct
?,?,?,gecode
0.882353,17.647059,1.414214,gecode
?,?,?,choco
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,mistral_nj
1.749696,12.831106,1.414214,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,mistral_nj
49.62963,259.938272,1.414214,riss3g_support
50.123457,272.613169,1.414214,choco
?,?,?,gecode
?,?,?,choco
4.615385,40.473373,1.414214,choco
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
25.466993,66.542787,1.414214,riss3g_support
?,?,?,gecode
26.607725,74.695207,1.414214,choco
2.176166,14.611399,1.414214,riss3g_support
?,?,?,gecode
?,?,?,mistral_nj
?,?,?,choco
?,?,?,gecode
?,?,?,gecode
?,?,?,mistral_nj
35.15625,57,1.414214,choco
2.268041,15.154639,1.414214,riss3g_direct
56.754508,314.868239,1.414214,gecode
?,?,?,gecode
?,?,?,mistral_nj
?,?,?,gecode
2.535211,18.204225,1.414214,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
?,?,?,gecode
55.917564,38.26594,1.414214,gecode
56.338204,49.509979,1.414214,riss3g_support
?,?,?,gecode
55.906302,40.24891,1.414214,minisat22_directorder
56.095065,41.303558,1.414214,glucose_directorder
?,?,?,riss3g_support
56.323223,57.854074,1.414214,riss3g_direct
56.349533,42.329907,1.414214,claspcnf_directorder
?,?,?,claspcnf_directorder
56.515066,42.158,1.414214,riss3g_direct
57.464448,81.365827,1.414214,riss3g_direct
55.079872,67.231097,1.414214,glucose_directorder
57.415837,37.234212,1.414214,claspcnf_directorder
55.912782,38.789307,1.414214,riss3g_support
