@relation 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute NEG_HORN_CLAUSE numeric
@attribute TERMORE_CLAUSE numeric
@attribute OCCFP_OCCFN numeric
@attribute algorithm {2clsQ,quantor,QuBE,sKizzo,sSolve,allfair}

@data

0.010986,0.994507,1.132939,sKizzo
0.001096,0.999726,1.243463,allfair
0.009067,0.995467,1.134255,sKizzo
0.000754,0.999811,1.246269,allfair
0.007719,0.996141,1.135195,sKizzo
0.00055,0.999862,1.248295,allfair
0.000419,0.999895,1.249827,allfair
0.726821,0.444433,1,sKizzo
0.72669,0.445552,1,quantor
0.726373,0.447045,1,allfair
0.726783,0.444877,1,sKizzo
0.030189,0.984906,1.120968,quantor
0.019063,0.990469,1.12766,sKizzo
0.013937,0.993031,1.130964,sKizzo
0.001737,0.999566,1.239316,allfair
0.530691,0.205882,0.833333,2clsQ
0.506767,0.242105,0.963855,2clsQ
0.52492,0.211029,0.859195,2clsQ
0.50601,0.239183,0.961415,QuBE
0.504317,0.244604,0.984586,QuBE
0.498561,0.245376,0.984649,QuBE
0.501645,0.246299,0.989011,QuBE
0.500412,0.245058,0.986813,QuBE
0.503351,0.238273,0.973843,QuBE
0.509308,0.236039,0.97379,QuBE
0.504505,0.23964,0.967794,QuBE
0.505586,0.244324,0.982642,QuBE
0.50018,0.243253,0.982676,QuBE
0.549145,0.173077,0.736527,2clsQ
0.501502,0.243243,1.008197,2clsQ
0.537473,0.171306,0.657143,2clsQ
0.515075,0.201005,0.756579,2clsQ
0.555794,0.169528,0.674419,2clsQ
0.525773,0.203608,0.884892,2clsQ
0.501511,0.238671,1.025,2clsQ
0.510843,0.240964,0.974194,2clsQ
0.541841,0.209205,0.862857,2clsQ
0.504808,0.242788,0.974194,2clsQ
0.505051,0.246753,0.97318,2clsQ
0.50431,0.24569,0.961977,QuBE
0.513622,0.236378,0.961373,2clsQ
0.500413,0.246903,0.991189,2clsQ
0.520317,0.333284,1,allfair
0.508913,0.333315,1,allfair
0.581874,0.304421,0,quantor
0.515498,0.326662,1,QuBE
0.564706,0.309191,1,quantor
0.5274,0.321902,1,QuBE
0.527745,0.321574,1,allfair
0.50619,0.329473,1,allfair
0.509098,0.328303,1,QuBE
0.502997,0.330601,1,allfair
0.520087,0.323152,1,allfair
0.551117,0.313812,1,quantor
0.510326,0.327858,1,QuBE
0.543881,0.316119,1,sKizzo
0.508017,0.328987,1,QuBE
0.505901,0.330171,1,allfair
0.537077,0.317612,1,QuBE
0.500587,0.331648,1,allfair
0.514998,0.333275,1,QuBE
0.524501,0.320236,1,QuBE
0.505029,0.329063,1,QuBE
0.51707,0.321629,1,QuBE
0.505452,0.328103,1,QuBE
0.526159,0.320904,1,allfair
0.51017,0.327708,1,allfair
0.503655,0.330348,1,allfair
0.501827,0.331071,1,allfair
0.503088,0.330516,1,QuBE
0.53401,0.313494,1,quantor
0.513884,0.324537,1,allfair
0.499798,0.331656,1,allfair
0.503302,0.333319,1,QuBE
0.599495,0.294955,0,quantor
0.57623,0.302049,1,quantor
0.508388,0.328287,1,sSolve
0.54358,0.312658,1,QuBE
0.583605,0.302202,1,quantor
0.51154,0.32693,1,QuBE
0.528422,0.318761,1,QuBE
0.542173,0.308946,1,quantor
0.516708,0.322417,1,sKizzo
0.501541,0.333326,1,QuBE
0.523387,0.313278,1,QuBE
0.505741,0.325854,1,QuBE
0.50273,0.328148,1,sSolve
0.505357,0.327513,1,QuBE
0.50721,0.324962,1,QuBE
0.500827,0.329675,1,QuBE
0.522971,0.319996,1,QuBE
0.505087,0.328967,1,sSolve
0.508233,0.325951,1,QuBE
0.501852,0.329985,1,sSolve
0.500977,0.330511,1,sSolve
0.500329,0.330896,1,sSolve
0.49983,0.33119,1,sSolve
0.547215,0.304681,1,quantor
0.52257,0.319697,1,QuBE
0.504025,0.329499,1,QuBE
0.510661,0.323965,1,QuBE
0.501297,0.330306,1,QuBE
0.499912,0.333328,1,allfair
0.44018,0.45332,1.474227,sKizzo
0.494644,0.388992,1.474227,sKizzo
0.413624,0.140599,1.474227,sKizzo
0.354157,0.292749,1.425911,sKizzo
0.251172,0.092011,1.425911,sKizzo
0.466005,0.301922,1.363636,sKizzo
0.309172,0.197129,1.38785,allfair
0.790047,0.248582,1,quantor
0.77792,0.261124,1,sSolve
0.641429,0.402277,1,quantor
0.448856,0.634657,1,quantor
0.101979,0.956197,1,quantor
0.634249,0.367935,1,quantor
0.714365,0.279523,1,sKizzo
0.729838,0.262448,1,sSolve
0.68539,0.311498,1,sKizzo
0.025715,0.912075,1,allfair
0.638638,0.223767,1,quantor
0.639139,0.223456,1,quantor
0.640232,0.219858,1,quantor
0.641339,0.219575,1,quantor
0.754791,0.327728,1,allfair
0.749687,0.34183,1,allfair
0.749687,0.34183,1,allfair
0.7471,0.33256,1,quantor
0.746315,0.333592,1,sKizzo
0.712275,0.299671,1,quantor
0.724213,0.286811,1,quantor
0.689598,0.324102,1,quantor
0.724213,0.286811,1,sKizzo
0.001866,0.998997,1,sKizzo
0.001868,0.998997,1,sKizzo
0.106721,0.581431,1,sKizzo
0.592788,0.211832,1,allfair
0.585606,0.216053,1,allfair
0.592775,0.211803,1,allfair
0.585594,0.216022,1,allfair
0.585095,0.214314,1,2clsQ
0.584986,0.21437,1,sKizzo
0.585161,0.214314,1,quantor
0.537325,0.566464,1,sKizzo
0.374071,0.336524,1,allfair
0.375505,0.335352,1,allfair
0.375595,0.335303,1,allfair
0.373353,0.33644,1,allfair
0.755096,0.283393,1,quantor
0.722999,0.316645,1,quantor
0.684392,0.356642,1,sKizzo
0.760738,0.277549,1,sSolve
0.618828,0.424566,1,sKizzo
0.58888,0.248109,1,allfair
0.572866,0.256844,1,allfair
0.589259,0.248109,1,allfair
0.572866,0.256844,1,allfair
0.58046,0.254789,1,allfair
0.571821,0.259419,1,allfair
0.572214,0.259419,1,2clsQ
0.380257,0.107613,1,quantor
0.533359,0.333203,1,allfair
0.523128,0.33326,1,allfair
0.517799,0.333284,1,allfair
0.513449,0.333234,1,allfair
0.448053,0.33331,1,sKizzo
0.446944,0.333323,1,sKizzo
0.447843,0.333324,1,allfair
0.677497,0.269555,1,2clsQ
0.665083,0.275534,1,quantor
0.772453,0.981203,1.400794,sSolve
0.777199,0.97723,1.401186,quantor
0.786262,0.985032,1.416667,sKizzo
0.783869,0.981946,1.416667,sSolve
0.791489,0.989133,1.428157,allfair
0.788304,0.985066,1.428019,sKizzo
