@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -M-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC

@DATA
0,0.0004,0,1.6658,?,0.0353,0,0.1952,0.276
0.0017,0.0052,0.0011,1.9744,0.2707,0.0486,0.2713,0.2252,0.9708
0.0001,0.0011,0,2.6061,?,0.0244,1.0493,0.2681,0.4539
0.0001,0.0043,0.0001,2.3075,?,0.1061,0.2514,0.0717,0.2552
0,0.0085,0,2.1823,?,0.0578,0.6919,0.1621,0.365
0.0001,0.0045,0.0001,2.3203,?,0.1053,0.5254,0.0764,0.3103
0.0001,0.0142,0,2.5155,?,0.0797,1.4866,0.0268,0.1065
0,0.0021,0,1.7529,?,0.0606,0,0.2134,0.6036
0,0.0007,0,1.8472,?,0.0359,0,0.2399,0.3936
0,0.0007,0,2.8203,?,0.0447,0.1742,0.0774,0.2195
0.0002,0.0359,0.0002,1.9525,?,0.0566,1.1023,0.1787,0.5796
0.0001,0.0038,0,1.9524,?,0.083,1.2993,0.0874,0.3106
0,0.0006,0,3.5036,?,0.1322,0,0.3638,0.6748
0.0001,0.0026,0,2.0606,?,0.0535,1.487,0.1732,0.4983
0.0001,0.0005,0.0001,2.6347,0.2371,0.0749,1.1015,0.4378,0.7025
0.0001,0.0019,0,2.6194,?,0.0543,1.7124,0.0345,0.0971
0.0211,0.065,0.0166,2.6889,0.2456,0.0566,0.252,0.5723,0.9787
0.0001,0.0021,0.0001,2.6411,0.1392,0.049,0.2532,0.0635,0.1791
0.0003,0.0926,0.0003,3.0191,?,0.071,0.3311,0.343,0.5997
0,0.0006,0,2.2688,?,0.0854,0.9312,0.6172,0.7107
0,0.0068,0,4.0475,?,0.0485,0,0.3228,0.4604
0,0.015,0,4.165,?,0.0877,0,0.1757,0.4575
0.0067,0.0237,0.0047,2.1438,0.3248,0.0668,0.3906,0.3209,0.7547
0.0003,0.0185,0.0009,1.5671,?,0.0125,0,0.2869,0.6023
0,0.0002,0,2.3979,0.1499,0.0197,0.7987,0.3279,0.7204
0.0001,0.0036,0,1.9475,?,0.0835,0.8443,0.0759,0.3135
0.0032,0.0042,0.0042,0.7452,?,0,0.0905,0.7603,0.9401
0,0.0079,0.0001,3.1744,?,0.1684,0,0.2543,0.5315
0.0137,0.0409,0.0097,2.0593,0.3477,0.0668,0.3931,0.4078,0.8321
0,0.0001,0,2.2272,0.1636,0.0169,0.7339,0.2328,0.814
0,0.0002,0,2.0861,?,0.1449,0,0.6377,0.6768
0,0.0001,0,2.3488,0.1507,0.0159,0,0.2258,0.7698
0.0001,0.0035,0.0001,2.2686,?,0.1098,1.565,0.0578,0.2109
