@relation 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@attribute VCG_CLAUSE_min numeric
@attribute saps_FirstLocalMinStep_Q10 numeric
@attribute gsat_BestSolution_Mean numeric
@attribute cl_size_mean numeric
@attribute nclauses numeric
@attribute algorithm {EagleUP_1.565.350,SAT09referencesolverTNM_2009-03-22,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02,adaptg2wsat2011_2011-03-02,sattime2011_2011-03-02,MPhaseSAT_M_2011-02-16,march_rw_2011-03-02,SAT09referencesolvermarch_hi_hi,SAT09referencesolvergnovelty+2_2009-03-22,allfair}

@data

0.0002,0,263.417,64.8077,62536,EagleUP_1.565.350
0.0043,140,22.4568,36.1175,2973,allfair
0.0068,89,13.8122,25.9144,1907,march_rw_2011-03-02
0.0175,57,32.6548,57.7886,34000,allfair
0.0778,12,10.3075,31.7052,8010,SAT09referencesolverTNM_2009-03-22
0.14,6,6.3286,19.9056,4450,SAT09referencesolvermarch_hi_hi
0.004,223,56.827,61.3601,25000,SAT09referencesolvergnovelty+2_2009-03-22
0.0055,111,14.1506,30.9712,2337,adaptg2wsat2011_2011-03-02
0.1,9,8.4841,25.9461,6230,EagleUP_1.565.350
0.0039,160,19.5296,32.4931,3387,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0875,10,9.5465,28.3985,7120,SAT09referencesolverTNM_2009-03-22
0.1,9,8.4824,25.6407,6230,allfair
0.0051,120,16.0006,32.868,2545,SAT09referencesolverTNM_2009-03-22
0.0002,0,397.875,71.4595,83418,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0467,20,14.1247,46.4415,12750,SAT09referencesolvergnovelty+2_2009-03-22
0.05,16,7.8455,23.4234,2130,sattime2011_2011-03-02
0.0001,0,826.5,90.3884,146021,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.05,16,7.2239,23.6895,2130,EagleUP_1.565.350
0.0001,8539,1612.5,91.8767,166897,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0001,6300,731.8,88.4753,125231,EagleUP_1.565.350
0.0033,269,61.4,66.4209,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0333,24,11.3072,31.7884,3195,allfair
0.0333,24,11.9093,32.2049,3195,allfair
0.0875,10,9.2549,28.5137,7120,EagleUP_1.565.350
0.0875,10,9.6484,28.42,7120,allfair
0.0077,78,12.1894,23.4231,1693,march_rw_2011-03-02
0.0056,109,14.8334,31.2851,2331,EagleUP_1.565.350
0.0012,505,52.6684,34.2843,10427,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0778,12,10.5066,31.249,8010,SAT09referencesolverTNM_2009-03-22
0.0875,10,9.7029,28.5038,7120,allfair
0.1167,8,7.4326,22.6802,5340,EagleUP_1.565.350
0.0001,6393,669.8,82.2434,125159,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0102,58,9.5384,20.1429,1273,march_rw_2011-03-02
0.0001,6347,676.6,83.1979,125227,EagleUP_1.565.350
0.0044,140,21.256,36.0361,2970,allfair
0.0068,88,12.6888,26.2126,1908,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0068,88,11.8271,26.7516,1907,EagleUP_1.565.350
0.0001,5299,506.833,81.0534,104349,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0033,268,64.4104,65.762,30000,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.04,20,9.4589,28.0695,2662,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0667,12,6.4198,19.0161,1597,SAT09referencesolvergnovelty+2_2009-03-22
0.028,35,22.1167,48.6555,21250,allfair
0.0001,5224,541,74.6257,104285,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0067,131,34.8528,50.5573,15000,EagleUP_1.565.350
0.0875,10,9.4727,28.4903,7120,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.1,9,8.571,25.6623,6230,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0067,132,33.9111,51.0479,15000,EagleUP_1.565.350
0.0006,1035,90.2,42.0619,20886,EagleUP_1.565.350
0.004,222,53.1366,62.5204,25000,EagleUP_1.565.350
0.028,35,21.9315,49.6914,21250,allfair
0.0069,87,12.8297,26.4906,1901,sattime2011_2011-03-02
0.0286,29,11.9206,35.9378,3727,EagleUP_1.565.350
0.05,16,7.846,23.5531,2130,march_rw_2011-03-02
0.1167,8,7.6137,22.6427,5340,SAT09referencesolvermarch_hi_hi
0.0056,109,15.4512,30.1399,2323,sparrow2011_sparrow2011_ubcsat1.2_2011-03-02
0.0286,29,12.8424,35.4899,3727,EagleUP_1.565.350
0.0051,120,16.7594,32.1957,2544,allfair
