@relation 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute POSNEG_RATIO_CLAUSE_min numeric
@attribute BINARYp numeric
@attribute SP_bias_min numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data

0,0,0.0429,allfair
0,0.8587,0,allfair
0,0.6918,0.0146,picosat
0,0.0905,0,cryptominisat2011
0,0.9756,0.8382,allfair
1,0,0.0001,clasp1
0.8,0.9349,0.7637,tnm
0,0.1147,0.0004,mphaseSAT64
0,0.9642,0.8333,clasp2
0.3333,0,0.0016,satime11
0.8333,0.9519,0.59,allfair
0,0.8333,0.5831,gnoveltyp2
0,0.8788,0.0022,ebminisat
1,0.0306,0.5026,picosat
0,0.0297,0.7289,allfair
0.3333,0,0,mphaseSAT64
0,0,0,glucose2
0.8333,0.9256,0.7447,marchrw
0,0.0451,0,mphaseSAT64
0,0.0013,0.0088,clasp2
0,0.5979,0.0923,precosat
1,0,0.0001,allfair
0,0,0,mphaseSAT64
0,0.3387,0.0003,clasp2
0,0,0,precosat
0,0,0,allfair
0,0,0,mphaseSAT64
0,0.8121,0.7776,sol
1,0.0064,0.0044,allfair
0,0.6806,0.0038,ebminisat
0,0,0.0008,allfair
0,0.7691,0.0003,sattime
0,0.0006,0.0009,picosat
0.8,0.9523,0.5578,allfair
0,0.0949,0,cryptominisat2011
0,0.1393,0,precosat
0,0.6675,0.0604,allfair
0.8182,0.9252,0.7454,tnm
0.3333,0,0,allfair
0,0.0371,0.0001,cryptominisat2011
0.6,0.9284,0.7346,sattime
0,0.0507,0.7833,allfair
0,0,0,precosat
1,0.0698,0.619,ebminisat
0,0.8333,0.5831,gnoveltyp2
1,0.0319,0.5075,spear-sw
0,0.897,0.8749,allfair
0.8667,0.9561,0.1783,allfair
0.8889,0.9477,0.729,allfair
0,0.0811,0,glueminisat
0,0.0774,0,cryptominisat2011
1,0.0039,0.0026,allfair
1,0,0.0001,clasp1
0.1429,0,0.4614,allfair
0,0.087,0,lingeling
0,0,0,glueminisat
0.8333,0.9494,0.7356,allfair
0.9048,0.9769,0.8634,satime11
0,0.1413,0.0201,mphaseSAT64
0.8,0.9559,0.1705,allfair
1,0.8462,0.7086,marchrw
1,0,0.0002,allfair
1,0,0.5173,marchrw
0,0,0,glucose2
0,0.0009,0.015,clasp2
1,0.9834,0.9293,ebminisat
0,0.6731,0.0005,glucose2
0.8462,0.9326,0.7669,satime11
1,0,0,picosat
0,0.4326,0,clasp1
0.8,0.944,0.7832,sattimep
0.6,0.9309,0.733,minisatpsm
