@relation 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@attribute BINARYp numeric
@attribute vars_clauses_ratio numeric
@attribute SP_bias_q50 numeric
@attribute algorithm {ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol,allfair}

@data

0.5464,0.1516,0.617,allfair
0.7723,0.148,0.8864,ebminisat
0.0263,0.0823,0.0021,allfair
?,?,?,mxc09
0.6348,0.0364,0.9987,clasp2
0.8161,0.0924,0.851,clasp2
0.0827,0.172,0.006,restartsat
0.1194,0.1323,0.6142,glucose2
0.4972,0.0308,0.808,picosat
0.6199,0.0475,0.9963,lrglshr
0.1582,0.196,0.5318,allfair
0.1331,0.172,0.1373,allfair
0.1638,0.1943,0.1317,spear-sw
0.5503,0.1535,0.6119,allfair
0.3719,0.0774,0.8199,ebglucose
0.3838,0.1111,0.7019,lrglshr
0.585,0.1733,0.7644,cryptominisat2011
?,?,?,picosat
0.2219,0.1831,0.2087,restartsat
0.2109,0.083,0.8251,qutersat
0.6153,0.178,0.6568,ebglucose
0.6356,0.1843,0.6706,mphaseSAT
0.9069,0.0439,0.9971,allfair
0.8293,0.0178,0.9995,mxc09
0.4386,0.1611,0.4015,ebminisat
0.5212,0.1359,0.6558,glucose2
0.6153,0.178,0.6567,allfair
0.6071,0.1789,0.744,allfair
0.0812,0.2186,0.156,picosat
0.8293,0.0178,0.9995,clasp2
0.0181,0.2042,0.0252,mxc09
0.1174,0.2072,0.1209,ebminisat
0.0161,0.2023,0.0252,mxc09
0.9607,0.0571,0.9835,ebminisat
0.5987,0.176,0.7566,ebglucose
0.1396,0.1019,0.5335,glucose2
0.5856,0.1739,0.7541,qutersat
0.6356,0.1843,0.6706,lingeling
0.4006,0.1531,0.7295,picosat
0.4047,0.025,0.9811,clasp1
0.0718,0.1696,0.0104,cryptominisat2011
0.0742,0.1443,0.0635,glueminisat
0.4161,0.2086,0.6957,lingeling
0.0716,0.0454,0.1663,glucose2
0.1814,0.1138,0.6832,glucose2
0.1344,0.1295,0.6495,glucose2
0.1229,0.1328,0.6206,glucose2
0.3914,0.0085,0.6934,glucose2
0.7751,0.1484,0.8851,cryptominisat2011
?,?,?,lingeling
0.028,0.0114,0.5448,restartsat
0.5517,0.1562,0.6283,glueminisat
0.0669,0.0416,0.1451,glucose2
0.127,0.1341,0.6132,glucose2
0.5669,0.1628,0.6454,lingeling
0.1298,0.1236,0.6814,lrglshr
0.1966,0.2187,0.2098,glueminisat
0.6001,0.0429,0.9969,lrglshr
0.6423,0.1882,0.7517,allfair
0.0114,0.0192,0.0659,lrglshr
0.0167,0.0067,0.5652,allfair
0.0149,0.2012,0.0252,allfair
0.7171,0.0234,0.8752,glucose2
0.217,0.241,0.1759,ebglucose
0.5908,0.1752,0.7644,allfair
0.6356,0.1843,0.6706,lingeling
0.7657,0.0322,0.4906,mphaseSAT64
0.2358,0.2155,0.1824,glucose2
0.5524,0.063,0.8491,lrglshr
0.8894,0.0402,0.9496,lrglshr
0.3465,0.1415,0.1245,ebglucose
0.1424,0.1817,0.1577,allfair
0.0599,0.0349,0.1002,glucose2
?,?,?,picosat
0.7174,0.0986,0.8207,picosat
0.0237,0.0102,0.3974,allfair
0.529,0.1482,0.5349,glueminisat
0.2645,0.1869,0.4925,ebminisat
0.5776,0.1666,0.635,lingeling
0.1551,0.1961,0.5377,allfair
?,?,?,lingeling
0.3787,0.0267,0.8996,allfair
0.9718,0.0499,0.9512,ebglucose
0.1532,0.1905,0.1282,spear-sw
0.1608,0.1475,0.5947,glueminisat
0.1365,0.128,0.6486,minisatpsm
0.2219,0.1831,0.2087,glucose2
0.1038,0.0959,0.6323,glucose2
0.9701,0.157,0.915,ebglucose
0.0765,0.2176,0.156,picosat
0.0718,0.1696,0.0103,cryptominisat2011
0.0722,0.1699,0.0107,cryptominisat2011
0.0228,0.2225,0.1552,picosat
0.1277,0.1255,0.6556,ebglucose
?,?,?,mxc09
0.0703,0.2108,0.156,picosat
0.4582,0.1954,0.6149,lrglshr
0.2421,0.1666,0.4468,glucose2
0.9636,0.0606,0.9015,mphaseSAT64
0.3324,0.2217,0.2205,glucose2
0.515,0.1442,0.7772,lingeling
?,?,?,picosat
0.8694,0.0692,0.8912,lrglshr
0.8293,0.0178,0.9995,clasp2
0.0219,0.0094,0.4761,allfair
0.1298,0.1236,0.6814,lrglshr
?,?,?,ebglucose
0.6339,0.0313,0.8295,glucose2
0.0807,0.171,0.0044,cryptominisat2011
0.5208,0.1352,0.6648,picosat
0.316,0.243,0.0917,allfair
?,?,?,mxc09
0.4402,0.1458,0.9971,glucose2
0.5913,0.1758,0.7674,allfair
0.8955,0.0332,0.9916,lrglshr
0.0219,0.0819,0.0022,allfair
0.1646,0.1524,0.4495,clasp2
0.1256,0.1249,0.6603,minisatpsm
0.5778,0.1714,0.7631,allfair
0.6551,0.2407,0.851,allfair
0.7657,0.0322,0.4921,mphaseSAT64
0.5621,0.1568,0.7404,minisatpsm
0.9501,0.0233,0.9992,lrglshr
0.5507,0.1577,0.6262,lingeling
0.0591,0.023,0.8757,clasp1
0.2019,0.1867,0.1648,minisatpsm
0.6586,0.2406,0.8516,mphaseSAT64
0.0723,0.17,0.0106,mphaseSAT
?,?,?,picosat
0.0228,0.2225,0.1515,cryptominisat2011
0.4972,0.0308,0.8079,picosat
0.119,0.1301,0.6148,picosat
0.6156,0.1814,0.7477,qutersat
0.6071,0.1789,0.742,allfair
0.2014,0.2409,0.1728,mphaseSAT
0.0742,0.1443,0.0635,cryptominisat2011
0.9899,0.1447,0.9466,mphaseSAT64
0.6848,0.0242,0.8566,glucose2
0.1678,0.1511,0.4006,glucose2
0.2608,0.2143,0.2633,qutersat
0.2282,0.1578,0.7185,lrglshr
0.3196,0.2434,0.0917,allfair
0.9264,0.0121,1,mxc09
0.1619,0.1488,0.3523,glueminisat
0.1305,0.1746,0.1137,glueminisat
0.156,0.135,0.5989,lrglshr
0.7723,0.148,0.8864,ebminisat
0.9903,0.1424,0.9468,ebglucose
0.2934,0.1801,0.4006,allfair
0.2035,0.2403,0.1721,mphaseSAT64
0.9709,0.1547,0.916,allfair
0.2671,0.214,0.2573,allfair
?,?,?,sapperlot
0.6703,0.0247,0.8501,glucose2
0.8292,0.0178,0.9995,spear-sw
0.3787,0.0267,0.8996,allfair
0.2969,0.2059,0.3452,precosat
0.3258,0.196,0.1515,allfair
0.6355,0.0364,0.9987,glucose2
0.9589,0.0714,0.9335,allfair
0.6156,0.1814,0.7477,qutersat
0.1291,0.1264,0.6643,ebglucose
0.9475,0.0193,0.9999,clasp1
0.9614,0.0563,0.9837,lrglshr
0.3093,0.2058,0.3257,glucose2
?,?,?,restartsat
0.9229,0.0193,0.9995,lrglshr
0.1209,0.1804,0.1566,allfair
0.5673,0.1586,0.6145,allfair
0.0831,0.0969,0.6491,glueminisat
0.4161,0.2086,0.6957,lingeling
0.1273,0.1341,0.6128,glucose2
0.2268,0.1964,0.2538,glueminisat
0.4974,0.1647,0.5007,ebglucose
0.3404,0.2237,0.121,allfair
?,?,?,mxc09
0.6067,0.1783,0.7419,allfair
0.2785,0.1738,0.456,glucose2
0.5034,0.1491,0.6278,qutersat
0.8894,0.0402,0.9496,lrglshr
0.0236,0.0091,0.962,minisatpsm
0.3412,0.2222,0.1233,qutersat
0.1273,0.1752,0.1837,cryptominisat2011
0.1758,0.1109,0.3012,glueminisat
0.1924,0.1847,0.1733,rcl
0.0611,0.1745,0.0144,allfair
0.1245,0.1416,0.5972,glueminisat
0.5753,0.1656,0.6486,allfair
0.2035,0.2403,0.1721,mphaseSAT64
0.3937,0.006,0.6917,precosat
0.0157,0.0063,0.5049,allfair
0.9264,0.0121,1,sapperlot
0.89,0.0579,0.965,lrglshr
0.3302,0.1894,0.4917,ebminisat
0.1265,0.1251,0.6601,minisatpsm
0.0826,0.172,0.0061,precosat
0.6633,0.2405,0.853,glucose2
0.9787,0.1518,0.9469,allfair
0.1271,0.1299,0.6344,glucose2
0.5003,0.1513,0.6169,picosat
0.3914,0.0085,0.6934,glucose2
0.401,0.0718,0.7812,ebglucose
0.6234,0.1828,0.7383,allfair
0.1293,0.1417,0.5915,glucose2
0.8664,0.0503,1,ebglucose
0.1658,0.2115,0.1654,lrglshr
0.0613,0.1745,0.0144,allfair
0.9544,0.1248,0.887,mphaseSAT64
0.6039,0.1647,0.6598,lingeling
0.7903,0.0327,0.5615,spear-sw
0.5832,0.1677,0.6511,mxc09
0.9909,0.1425,0.9451,allfair
0.0213,0.0091,0.4627,allfair
0.2611,0.137,0.3235,glueminisat
0.1826,0.2194,0.155,qutersat
0.1285,0.137,0.6165,minisatpsm
0.1229,0.1328,0.6206,glucose2
0.1239,0.1255,0.6558,glucose2
0.0718,0.1696,0.0104,mphaseSAT64
0.1418,0.1291,0.6523,lrglshr
0.6633,0.2405,0.853,glucose2
0.5198,0.1596,0.5773,picosat
0.9225,0.0443,0.9985,allfair
0.0064,0.0151,0.0606,mphaseSAT
0.3034,0.2074,0.3672,precosat
0.6663,0.2411,0.8519,mxc09
0.6435,0.0254,0.8353,mphaseSATm
0.0826,0.172,0.0061,mxc09
0.6715,0.1281,0.6505,restartsat
0.2268,0.1964,0.2538,glueminisat
0.6339,0.0313,0.8295,glucose2
0.4582,0.1954,0.6149,glueminisat
0.4407,0.1412,0.9934,mxc09
0.1826,0.2194,0.155,qutersat
0.9262,0.0121,1,minisatpsm
0.9285,0.0981,0.7383,ebminisat
0.1875,0.115,0.6826,glucose2
0.1282,0.1428,0.5806,glueminisat
0.6204,0.1296,0.626,minisatpsm
0.7749,0.1905,0.8159,ebminisat
0.9262,0.0121,1,glucose2
0.1886,0.1841,0.2003,cryptominisat2011
0.1924,0.1847,0.1733,rcl
0.133,0.134,0.6134,glucose2
0.3324,0.2051,0.4679,glucose2
0.1253,0.174,0.1834,glucose2
0.0722,0.1699,0.0107,cryptominisat2011
0.8296,0.0178,0.9995,clasp2
0.5614,0.1391,0.609,ebminisat
0.0256,0.0103,0.5447,ebminisat
0.3327,0.2089,0.3608,ebminisat
0.1941,0.1163,0.6818,spear-hw
0.2298,0.1571,0.6866,glueminisat
0.897,0.0538,0.9793,lrglshr
0.1387,0.1317,0.6353,glucose2
0.072,0.1696,0.0103,precosat
0.3922,0.0075,0.692,ebglucose
0.1734,0.067,0.8307,spear-hw
0.3838,0.1111,0.7019,lrglshr
0.9842,0.0402,0.9778,glucose2
0.9587,0.0718,0.9329,ebglucose
0.0723,0.17,0.0106,mphaseSAT
0.1619,0.1488,0.3523,glueminisat
0.4053,0.2421,0.5539,ebminisat
?,?,?,lingeling
0.0194,0.0089,0.5487,picosat
0.515,0.1442,0.7772,lingeling
0.3279,0.2308,0.2181,allfair
0.2317,0.124,0.3355,glueminisat
0.3922,0.0075,0.692,ebglucose
0.4172,0.1626,0.9433,lrglshr
0.526,0.2744,0.4862,qutersat
?,?,?,picosat
0.5867,0.1615,0.5473,rcl
0.5987,0.176,0.7406,ebglucose
0.4679,0.1583,0.4387,lrglshr
0.217,0.2415,0.1767,allfair
0.8567,0.0542,1,clasp1
0.0087,0.0172,0.0534,lrglshr
0.5534,0.1526,0.7867,glucose2
0.2989,0.2195,0.2192,picosat
0.0188,0.0084,0.5962,picosat
0.2174,0.2148,0.2338,precosat
0.6783,0.1265,0.662,picosat
0.2503,0.1012,0.8111,restartsat
0.218,0.1836,0.1494,allfair
0.816,0.087,0.8581,glueminisat
0.3937,0.006,0.6917,precosat
0.0691,0.043,0.1609,glucose2
0.1414,0.1969,0.5528,minisatpsm
0.3121,0.1818,0.3926,minisatpsm
0.9679,0.0143,1,lrglshr
0.0307,0.0114,0.6193,glueminisat
0.1924,0.1159,0.682,glucose2
0.8087,0.0912,0.8379,clasp2
0.2859,0.1947,0.385,lingeling
0.1213,0.1274,0.6543,glucose2
0.5577,0.1448,0.6062,clasp2
0.1375,0.1309,0.6357,glucose2
0.5939,0.1704,0.6355,cryptominisat2011
0.401,0.0718,0.7812,ebglucose
0.88,0.0633,0.9346,lrglshr
0.2182,0.2408,0.1765,mphaseSAT64
0.1646,0.1524,0.4495,clasp2
0.4233,0.1619,0.7375,restartsat
0.1614,0.1325,0.1699,marchrw
0.1104,0.1892,0.0484,picosat
0.3615,0.0869,0.8151,restartsat
0.541,0.1378,0.6564,lrglshr
0.2671,0.214,0.2573,ebglucose
0.5038,0.1247,0.3994,minisatpsm
0.1282,0.1428,0.5806,glueminisat
0.4719,0.1567,0.5865,restartsat
0.7405,0.0811,0.8739,glueminisat
0.0152,0.0063,0.4888,allfair
0.8664,0.0503,1,ebglucose
0.9164,0.1185,0.7916,lingeling
0.5497,0.1536,0.7472,lingeling
0.0724,0.17,0.0107,picosat
0.9876,0.1467,0.9186,rcl
0.5243,0.1468,0.7926,qutersat
0.5236,0.1469,0.7802,qutersat
0.8385,0.0302,0.9967,cryptominisat2011
0.5361,0.2059,0.9116,mphaseSAT64
0.0265,0.0102,0.5672,ebminisat
0.2182,0.2408,0.1765,mphaseSAT64
0.7426,0.0808,0.8718,glueminisat
0.2983,0.2105,0.3114,ebminisat
0.6147,0.1804,0.7371,minisatpsm
0.4972,0.0308,0.808,minisatpsm
