@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gc_array_int NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gc_at_least_most NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE gc_max_min_int NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,0,1,0,1,1,0,0,4,0,0.007194,0,0,1,0,2,7.876517,8.754888,2.334539,549,549,4,0.992806,235,19,8.816327,2.378528,8.754888,0.022812,2.321942,0,1.005425,0.994604
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,0,1,0,1,1,0,0,14,0,0.012658,0,0,1,0,2,8.870365,9.475733,2.343092,1079,1079,4,0.987342,468,59,24.551724,0.860448,9.475733,0.015858,2.315552,0,1.011894,0.988246
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,0,1,0,1,1,0,0,12,0,0.012658,0,0,1,0,2,8.870365,9.475733,2.342583,925,925,4,0.987342,468,51,24.551724,0.924092,9.475733,0.015857,2.315401,0,1.01174,0.988397
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0,0,1,1,0,0,0,0,14,0,14,0,5,0,0,1,1,2.439628,120,120,0,0.275362,2,6,0.4,2.445016,5.857981,0.956603,2.855072,0,0.854489,1.17029
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0,0,1,1,0,0,0,0,9,0,9,0,5,0,0,1,1,2.658683,68,68,0,0.340426,2,3,0.5,1.896642,5.129283,0.864639,3.148936,0,0.844311,1.184397
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.613636,110,110,5,0.006494,2,10,0.064516,0.148638,1.035221,0.002828,5.272727,0,0.875,1.142857
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.391813,105,105,5,0.006711,2,9,0.08,0.150733,1.035221,0.002875,5.040268,0,0.871345,1.147651
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0,1,0,2,0,0,0,0,0,0,0,0,556,0,2,5.209453,11.399278,2.369684,902,902,2,1,37,24,4.625,4.518962,8.806302,0.033152,3.357629,0,0.705761,1.41691
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0,0,1,1,0,0,0,0,14,0,14,0,5,0,0,1,1,2.439628,120,120,0,0.275362,2,6,0.4,2.445016,5.857981,0.956603,2.855072,0,0.854489,1.17029
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,4.27003,250,270,3,0.495177,2,21,0.285714,2.663326,6.210112,0.524348,4.62701,0,0.922849,1.083601
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,0,1,0,1,1,0,0,7,0,0.009346,0,0,1,0,2,9.036174,9.831307,2.344549,736,736,4,0.990654,525,20,23.358974,1.55882,9.831307,0.021092,2.325768,0,1.008075,0.991989
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,0,0,1,1,0,0,0,0,0,0,0,0,5,0,2,1,1,3.013487,5320,5320,2,0.527116,2,13,0.013072,41.464452,16.955944,0.638157,2.660689,0,1.132597,0.882927
mznc12-problems/still-life-wastage/still-life.mzn_AND_mznc12-problems/still-life-wastage/09.dzn,1,0,1,0,1,0,0,0,0,0,0,0,0,81,0,1,1,1,5.101911,1944,1944,2,0.612583,2,9,0.028571,4.368694,7.924813,0.420737,4.125828,0,1.236579,0.808683
