@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gc_array_int NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gc_at_least_most NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE gc_max_min_int NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE gc_diffn NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,0,1,0,1,1,0,0,4,0,0.007194,0,0,1,0,2,7.876517,8.754888,2.334539,549,549,4,0.992806,235,19,8.816327,2.378528,8.754888,0.022812,2.321942,0,1.005425,0.994604,49,1.981107,24039,553,0,68,4.6,0.217391,128230.632653,46,1.897653,13.122966,4.372867,403.346335,1,6.900542,0,0.32715,24039,234079,19.937865,1.214625,0.124774,-0.674054,0.42835,1,423.289331,24039,1.386303,0,8.604235,0.205447
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,0,1,0,1,1,0,0,14,0,0.012658,0,0,1,0,2,8.870365,9.475733,2.343092,1079,1079,4,0.987342,468,59,24.551724,0.860448,9.475733,0.015858,2.315552,0,1.011894,0.988246,29,1.913015,19189,1093,0,32,0.866667,1.153846,364354.477833,26,1.240943,33.954254,3.90288,254.232599,1,3.875572,0,0.324728,19189,718797,21.623595,1.100994,0.030192,-0.035299,0.426786,1,657.63678,19189,1.360257,0,9.354835,0.319494
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,0,1,0,1,1,0,0,12,0,0.012658,0,0,1,0,2,8.870365,9.475733,2.342583,925,925,4,0.987342,468,51,24.551724,0.924092,9.475733,0.015857,2.315401,0,1.01174,0.988397,29,1.932083,19189,937,0,32,1,1,315045.374384,26,1.273294,29.922092,3.903807,254.232599,1,3.965848,0,0.324635,19189,618853,21.622883,1.101049,0.035219,-0.058405,0.426879,1,660.462113,19189,1.360606,0,9.354826,0.306937
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0,0,1,1,0,0,0,0,14,0,14,0,5,0,0,1,1,2.439628,120,120,0,0.275362,2,6,0.4,2.445016,5.857981,0.956603,2.855072,0,0.854489,1.17029,18,3.242353,58,135,0.050725,154,0.75,1.333333,568.846262,3,1.499262,2.04644,1.444888,130.301639,3,17.684211,0,0.612807,18,1818,6.919871,1.931658,0.47678,-1.643858,1.229695,0,5.628483,54,0.699271,0,1.864841,0.584606
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0,0,1,1,0,0,0,0,9,0,9,0,5,0,0,1,1,2.658683,68,68,0,0.340426,2,3,0.5,1.896642,5.129283,0.864639,3.148936,0,0.844311,1.184397,12,3.273939,35,83,0.06383,109,1,1,275.116162,3,1.192751,2.221557,1.502487,85.809962,3,17.389222,0,0.732241,10.666667,826,7.216897,1.541775,0.652695,-2.540555,1.128378,0,4.946108,32,0.491469,0,1.935767,0.389131
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.613636,110,110,5,0.006494,2,10,0.064516,0.148638,1.035221,0.002828,5.272727,0,0.875,1.142857,31,0.948206,6,45,0,1012,8.8,0.113636,160.973523,44,0.919396,7.403409,0.593023,46.584963,1,20.852273,0,0.272425,6,356,5.283019,1.338086,5.755682,-56.443755,0.216749,1,2.022727,6,1.581138,0,1.000229,0.179367
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,1,2,4.391813,105,105,5,0.006711,2,9,0.08,0.150733,1.035221,0.002875,5.040268,0,0.871345,1.147651,25,1.09181,6,45,0,1012,11,0.090909,156.185338,44,0.91173,7.169591,0.604364,46.584963,1,20.807018,0,0.280654,6,346,5.050906,1.312548,5.923977,-58.137527,0.227696,1,2.023392,6,1.544786,0,1.000236,0.170018
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0,1,0,2,0,0,0,0,0,0,0,0,556,0,2,5.209453,11.399278,2.369684,902,902,2,1,37,24,4.625,4.518962,8.806302,0.033152,3.357629,0,0.705761,1.41691,8,1.876049,9472,1458,0,36,-1,0,41652.875,2,0.759847,12.741427,1.659975,86.1418,1,10.436214,0,0.204988,9472,79800,18.362076,1.249189,0.026063,0.839824,0.421997,1,54.73251,9472,1.316656,0,5.570396,0.453546
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0,0,1,1,0,0,0,0,14,0,14,0,5,0,0,1,1,2.439628,120,120,0,0.275362,2,6,0.4,2.445016,5.857981,0.956603,2.855072,0,0.854489,1.17029,18,3.242353,58,135,0.050725,154,0.75,1.333333,568.846262,3,1.499262,2.04644,1.444888,130.301639,3,17.684211,0,0.612807,18,1818,6.919871,1.931658,0.47678,-1.643858,1.229695,0,5.628483,54,0.699271,0,1.864841,0.584606
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0,0,1,1,0,0,0,0,2,0,0,0,5,0,2,1,2,4.27003,250,270,3,0.495177,2,21,0.285714,2.663326,6.210112,0.524348,4.62701,0,0.922849,1.083601,27,3.564783,701,207,0.006431,505,35,0.028571,4514.982966,35,0.954104,6.72997,2.287016,163.18438,1,20.189911,0,0.50823,701,8891,15.1888,1.199419,1.557864,-12.818364,0.23419,0,26.382789,701,0.692972,34,3.085834,0.470745
