@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0,0.229885,30,30,30,0,0.066667,0.066667,100,0.222222,324,0,0,0.091828,6.666667
1-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.229885,30,30,30,0,0.066667,0.066667,100,0.222222,263,0,0,0.091828,6.666667
1-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.138616,93,93,93,0,0.021505,0.021505,593,0.137126,263,0,0,0.039056,12.752688
1-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.138616,93,93,93,0,0.021505,0.021505,593,0.137126,184,0,0,0.039056,12.752688
1-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0,0.007092,0.007092,3247,0.081661,263,0,0,0.016686,23.028369
1-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0,0.007092,0.007092,3247,0.081661,184,0,0,0.016686,23.028369
1-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0,0.007092,0.007092,3247,0.081661,169,0,0,0.016686,23.028369
1-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.10493,67,67,67,0,0.029851,0.029851,232,0.103364,324,0,0,0,6.925373
1-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.10493,67,67,67,0,0.029851,0.029851,232,0.103364,263,0,0,0,6.925373
1-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,263,0,0,0,12.148515
1-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,184,0,0,0,12.148515
1-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,169,0,0,0,12.148515
1-insertions-6-4.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,263,0,0,0,20.879736
1-insertions-6-5.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,184,0,0,0,20.879736
1-insertions-6-6.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,169,0,0,0,20.879736
1-insertions-6-7.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,154,0,0,0,20.879736
2-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0,0.038462,0.038462,201,0.148669,263,0,0,0.063836,7.730769
2-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0,0.038462,0.038462,201,0.148669,184,0,0,0.063836,7.730769
2-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,263,0,0,0.021882,15.292453
2-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,184,0,0,0.021882,15.292453
2-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0,0.009434,0.009434,1621,0.072134,169,0,0,0.021882,15.292453
2-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,263,0,0,0.007851,28.640845
2-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,184,0,0,0.007851,28.640845
2-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,169,0,0,0.007851,28.640845
2-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0,0.002347,0.002347,12201,0.033616,154,0,0,0.007851,28.640845
2-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0,0.054054,0.054054,72,0.105186,324,0,0,0,3.891892
