@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0,0.229885,30,30,30,0,0.066667,0.066667,100,0.222222,324,0,0,0.091828,6.666667,324,0.166667,0,0.366667,0.2,0.364781,0.068493,0.366667,324,3,324,324,6.666667,3,324,3
1-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.229885,30,30,30,0,0.066667,0.066667,100,0.222222,263,0,0,0.091828,6.666667,263,0.166667,0,0.366667,0.2,0.364781,0.068493,0.366667,263,4,263,263,6.666667,4,263,4
1-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.138616,93,93,93,0,0.021505,0.021505,593,0.137126,263,0,0,0.039056,12.752688,263,0.096774,0,0.344086,0.11828,0.236605,0.059392,0.344086,263,4,263,263,12.752688,4,263,4
1-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.138616,93,93,93,0,0.021505,0.021505,593,0.137126,184,0,0,0.039056,12.752688,184,0.096774,0,0.344086,0.11828,0.236605,0.059392,0.344086,184,5,184,184,12.752688,5,184,5
1-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0,0.007092,0.007092,3247,0.081661,263,0,0,0.016686,23.028369,263,0.053191,0,0.336879,0.070922,0.147531,0.04681,0.336879,263,4,263,263,23.028369,4,263,4
1-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0,0.007092,0.007092,3247,0.081661,184,0,0,0.016686,23.028369,184,0.053191,0,0.336879,0.070922,0.147531,0.04681,0.336879,184,5,184,184,23.028369,5,184,5
1-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0,0.007092,0.007092,3247,0.081661,169,0,0,0.016686,23.028369,169,0.053191,0,0.336879,0.070922,0.147531,0.04681,0.336879,169,6,169,169,23.028369,6,169,6
1-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.10493,67,67,67,0,0.029851,0.029851,232,0.103364,324,0,0,0,6.925373,324,0.074627,0,0.328358,0.089552,0.352067,0.040141,0.328358,324,3,324,324,6.925373,3,324,3
1-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.10493,67,67,67,0,0.029851,0.029851,232,0.103364,263,0,0,0,6.925373,263,0.074627,0,0.328358,0.089552,0.352067,0.040141,0.328358,263,4,263,263,6.925373,4,263,4
1-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,263,0,0,0,12.148515,263,0.039604,0,0.331683,0.049505,0.243809,0.032959,0.331683,263,4,263,263,12.148515,4,263,4
1-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,184,0,0,0,12.148515,184,0.039604,0,0.331683,0.049505,0.243809,0.032959,0.331683,184,5,184,184,12.148515,5,184,5
1-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0,0.009901,0.009901,1227,0.060141,169,0,0,0,12.148515,169,0.039604,0,0.331683,0.049505,0.243809,0.032959,0.331683,169,6,169,169,12.148515,6,169,6
1-insertions-6-4.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0,0.003295,0.003295,6337,0.034398,263,0,0,0,20.879736,263,0.023064,0,0.332784,0.029654,0.159787,0.024126,0.332784,263,4,263,263,20.879736,4,263,4
