@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_var_bool NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_table_count NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0,0.229885,30,30,30,0
1-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.229885,30,30,30,0
1-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.138616,93,93,93,0
1-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.138616,93,93,93,0
1-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0
1-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0
1-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.081951,282,282,282,0
1-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.10493,67,67,67,0
1-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.10493,67,67,67,0
1-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0
1-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0
1-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.06044,202,202,202,0
1-insertions-6-4.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0
1-insertions-6-5.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0
1-insertions-6-6.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0
1-insertions-6-7.xml.watchless.minion.gz,1,0,0,0.034455,607,607,607,0
2-fullins-3-4.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0
2-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.151584,52,52,52,0
2-fullins-4-4.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0
2-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0
2-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.072476,212,212,212,0
2-fullins-5-4.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0
2-fullins-5-5.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0
2-fullins-5-6.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0
2-fullins-5-7.xml.watchless.minion.gz,1,0,0,0.033656,852,852,852,0
2-insertions-3-3.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0
2-insertions-3-4.xml.watchless.minion.gz,1,0,0,0.108108,37,37,37,0
2-insertions-4-3.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0
2-insertions-4-4.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0
2-insertions-4-5.xml.watchless.minion.gz,1,0,0,0.049066,149,149,149,0
2-insertions-5-3.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0
2-insertions-5-4.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0
2-insertions-5-5.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0
2-insertions-5-6.xml.watchless.minion.gz,1,0,0,0.022124,597,597,597,0
3-fullins-3-5.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0
3-fullins-3-6.xml.watchless.minion.gz,1,0,0,0.109494,80,80,80,0
3-fullins-4-5.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0
3-fullins-4-6.xml.watchless.minion.gz,1,0,0,0.043075,405,405,405,0
