@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE gc_regular NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE gr_avg_deg_cg NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_min_deg_vars NUMERIC
@ATTRIBUTE dy_depth NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE dy_peak NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE dy_ratio_nodes NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE gc_all_diff NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE gc_range NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE gc_precede NUMERIC
@ATTRIBUTE c_priority NUMERIC
@ATTRIBUTE gc_nvalue NUMERIC
@ATTRIBUTE gc_member NUMERIC
@ATTRIBUTE gc_global_card NUMERIC
@ATTRIBUTE gc_schedule NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE c_bounds_d NUMERIC
@ATTRIBUTE c_bounds_r NUMERIC
@ATTRIBUTE gc_link_set NUMERIC
@ATTRIBUTE gc_set_weights NUMERIC
@ATTRIBUTE dy_sols NUMERIC
@ATTRIBUTE gc_sort NUMERIC
@ATTRIBUTE gc_max_min_int NUMERIC
@ATTRIBUTE s_set_search NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.392949,4,0,808,0,0,12.148515,4,6.074257,0.164629,2,0,0,0,4,2.997733,0,2,0,12.148515,0,0,2,79.37575,0,0,0,1227,0.799295,0.8,2.997733,0,0.1,4,0.183571,0.556014,0,404,2454,0.392361,1227,202,1227,0.451873,0,4.102625,699.618418,202,0,13.158416,29.594132,202,2454,4908,2454,2454,0,0,0.548023,2,5,0.059701,4.181638,46,2,0.548023,88,67,2.25,67,0.573638,0.982449,0.1,15,4,4,5,76,8754.27,0,10741485,1096,0,5,1,1,0.499772,1,0,0,129519,0,64730,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.271714,5,0,1410,0,0,23.028369,4.643856,11.514184,0.086849,2.321928,0,0,0,4.643856,5.028743,0,2,0,23.028369,0,0,2.321928,76.623423,0,0,0,3247,0.382381,0.625,5.028743,0,0.91,5,0.158057,0.568919,0,654.783723,6494,0.441158,3247,282,3247,0.386438,0,6.111276,1226.874573,282,0,8.315603,59.190638,282,7193.154741,15078.601048,7539.300524,6494,0,0,0.57323,2,8,0.052632,3.164648,23,2.321928,0.57323,188,95,3.24,95,0.617143,0.830799,0.28,22,5,4.643856,8,52,2709.49,0,8797719,2182,0,2,1,1,0.499753,1,0,0,44448,0,22213,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.688786,5,0,400,0,0,8.65,4.643856,4.325,0.231214,2.321928,0,0,0,4.643856,2.712249,0,2,0,8.65,0,0,2.321928,55.102877,0,0,0,346,0.896038,1.25,2.712249,0,0.01,5,0.133677,0.520879,0,185.754248,692,0.380075,346,80,346,0.33891,0,3.834419,238.234257,80,0,12.6875,18.976879,80,766.50186,1606.774242,803.387121,692,0,0,0.461017,2,4,0.263158,2.994468,20,2.321928,0.461017,36,19,2.08,19,0.343241,0.993023,0.04,6,5,4.643856,4,57,15073.3,0,5215372,551,0,2,1,1,0.499955,1,0,0,375702,0,187834,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.638606,4,0,268,0,0,6.925373,4,3.462687,0.288793,2,0,0,0,4,2.049091,0,2,0,6.925373,0,0,2,42.78658,0,0,0,232,0.263777,1,2.049091,0,0,4,0.166151,0.514206,0,134,464,0.290433,232,67,232,0.301618,0,2.816527,181.77061,67,0,8.313433,13.939655,67,464,928,464,464,0,0,0.38835,2,4,0.181818,2.510417,12,2,0.38835,28,22,2.08,22,0.229746,0.849751,0.02,9,4,4,4,51,44656.5,0,10360314,263,0,5,1,1,0.499977,1,0,0,666593,0,333281,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.790584,3,0,168,0,0,3.928571,3.169925,1.964286,0.509091,1.584963,0,0,0,3.169925,0.83827,0,2,0,3.928571,0,-1,1.584963,44.272727,0,0,0,110,0.129234,1,0.83827,-1,0,3,0.207336,0.429697,0,88.7579,220,0.153346,110,56,110,0.298106,0,1.15678,108.894019,56,0,13.678571,6.4,56,183.089358,348.69175,174.345875,220,0,0,0.262851,2,3,0.272727,3.174512,26,1.584963,0.262851,12,11,2.04,11,0.315084,0.468996,0.02,5,3,3.169925,3,34,82070.3,0,9027736,109,0,9,1,1,0.499992,1,0,0,871368,0,435677,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.357065,4,0,2388,0,0,13.18593,4,6.592965,0.151677,2,0,0,0,4,2.650763,0,2,0,13.18593,0,0,2,213.168058,0,0,0,3936,0.611723,0.8,2.650763,0,0.9,4,0.207279,0.552028,0,1194,7872,0.378003,3936,597,3936,0.78234,0,3.546667,2142.505766,597,0,17.172529,35.327744,597,7872,15744,7872,7872,0,0,0.644545,2,5,0.026846,3.802394,52,2,0.644545,185,149,3.37,149,0.311121,0.998867,0.41,15,4,4,5,132,769.115,0,3027238,5837,0,6,1,1,0.498978,1,0,0,54810,0,27349,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.585998,4,0,1124,0,0,7.44484,4,3.72242,0.268642,2,0,0,0,4,1.588719,0,2,0,7.44484,0,0,2,164.665368,0,0,0,1046,0.148968,1,1.588719,0,0.06,4,0.210349,0.510277,0,562,2092,0.258952,1046,281,1046,0.654286,0,2.227353,793.13323,281,0,46.128114,16.489484,281,2092,4184,2092,2092,0,0,0.491696,2,4,0.071429,4.728864,67,2,0.491696,66,56,2.23,56,0.296572,0.655908,0.11,9,4,4,4,180,3013.75,0,3152380,2128,0,10,1,1,0.49975,1,0,0,319634,0,159737,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.267799,3,0,1791,0,0,13.18593,3.169925,6.592965,0.151677,1.584963,0,0,0,3.169925,2.650763,0,2,0,13.18593,0,-1,1.584963,159.876043,0,0,0,3936,0.328641,0.6,2.650763,-1,0.91,3,0.207279,0.552028,0,946.222613,7872,0.378003,3936,597,3936,0.78234,0,3.546667,2142.505766,597,0,17.172529,35.327744,597,6551.270113,12476.824806,6238.412403,7872,0,0,0.644545,2,5,0.020134,3.802394,52,1.584963,0.644545,185,149,3.38,149,0.311121,0.998867,0.41,15,3,3.169925,5,20,2374.12,0,9344546,2180,0,6,1,1,0.499932,1,0,0,29288,0,14642,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-37s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.380231,1.942857,0,2312,0.119471,0,6.746218,2.649652,2.535294,0.394432,0.996886,1.109068,0,0,11,2.449867,0.315997,2.660921,0,6.378151,0.660386,0.031238,1,452.475211,0,0,0,3017,1.031375,1,2.489038,0.659001,1.14,2,0.210709,0.663227,1.104903,1122,9051,0.421823,3846.78752,1190,3017,1.464002,0,4.976591,2824.82321,1190,0,13.619328,31.807756,1190,3830.478467,7994,3007.606061,8028,0,0,1.41051,11,0,0.010753,4.838565,68,0.666667,1.518549,213,135,3.98,186,0.804541,0.414485,0.77,4,1,2,0,33,2551.19,0,7696951,1861,0,0,1,1,0.49984,1,0,0,68662,0,34320,1,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.31051,5,0,3035,0,0,20.879736,4.643856,10.439868,0.095787,2.321928,0,0,0,4.643856,3.833265,0,2,0,20.879736,0,0.000001,2.321928,188.479618,0,0,0,6337,0.613743,0.833333,3.833265,0.000001,3.09,5,0.195967,0.582444,0,1409.410354,12674,0.488583,6337,607,6337,0.626101,0,5.277076,2537.644916,607,0,11.640857,60.302036,607,14038.503725,29428.116675,14714.058337,12674,0,0,0.701374,2,6,0.024752,3.127213,30,2.321928,0.701374,268,202,3.86,202,0.455654,0.819367,0.72,23,5,4.643856,6,-1,-1,0,-1,-1,0,5,1,1,-1,1,0,0,-1,0,-1,0,0,2,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
