@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.392949,4,0,808,0,0,12.148515
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.271714,5,0,1410,0,0,23.028369
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.688786,5,0,400,0,0,8.65
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.638606,4,0,268,0,0,6.925373
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.790584,3,0,168,0,0,3.928571
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.357065,4,0,2388,0,0,13.18593
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.585998,4,0,1124,0,0,7.44484
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.267799,3,0,1791,0,0,13.18593
normalized-37s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.380231,1.942857,0,2312,0.119471,0,6.746218
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.31051,5,0,3035,0,0,20.879736
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.248408,4,0,2428,0,0,20.879736
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.181949,4,0,3408,0,0,28.640845
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.362095,5,0,2025,0,0,17.402469
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.372612,6,0,3642,0,0,20.879736
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.572503,4,0,1900,0,0,7.557895
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.756897,6,0,924,0,0,10.285714
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.883046,7,0,1078,0,0,10.285714
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.491187,5,0,1010,0,0,12.148515
normalized-46s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.378053,1.801489,0,2904,0.221416,0,6.377792
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.439498,3,0,843,0,0,7.44484
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.590743,4,0,208,0,0,7.730769
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604333,2,0,400,0,0,3.4
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736667,2,0,600,0,0,2.933333
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.406858,6,0,4140,0,0,19.275362
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.272923,6,0,5112,0,0,28.640845
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.335645,4,0,5624,0,0,13.790896
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.419556,5,0,7030,0,0,13.790896
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.5,2,0,400,0,0,4
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737286,2,0,600,0,0,2.93
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0,0.5,0,0.667222,2,0,600,0,0,3.33
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.502513,0,0.333333,0.666667,0,0.497487,0,0.670556,2,0,600,0,0,3.31
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.429377,3,0,1425,0,0,7.557895
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500833,2,0,400,0,0,3.995
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737444,2,0,600,0,0,2.926667
normalized-25s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.396665,1.787658,0,9067,0.228772,0,7.048107
normalized-44s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.405183,1.761616,0,872,0.241877,0,5.705051
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.329631,2,0,400,0,0,6.085
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736222,2,0,600,0,0,2.933333
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.739222,2,0,600,0,0,2.926667
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500833,2,0,400,0,0,3.995
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.60525,2,0,800,0,0,3.3975
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604917,2,0,800,0,0,3.3975
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.786161,6,0,684,0,0,9.491228
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.556328,0,0.333333,0.666667,0,0.443672,0,0.737722,2,0,1200,0,0,2.926667
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.251734,3,0,4218,0,0,13.790896
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.446332,5,0,2985,0,0,13.18593
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737056,2,0,1200,0,0,2.93
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.474668,7,0,4830,0,0,19.275362
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.501253,0,0.333333,0.666667,0,0.498747,0,0.668333,2,0,600,0,0,3.323333
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736865,2,0,1200,0,0,2.933333
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736722,2,0,1200,0,0,2.931667
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.55788,0,0.333333,0.666667,0,0.44212,0,0.740921,2,0,1200,0,0,2.916667
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737833,2,0,1200,0,0,2.926667
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.667778,2,0,1200,0,0,3.326667
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.500626,0,0.333333,0.666667,0,0.499374,0,0.668056,2,0,1200,0,0,3.325
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.784567,3,0,237,0,0,3.949367
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.516058,8,0,8680,0,0,21.004608
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.502513,0,0.333333,0.666667,0,0.497487,0,0.671111,2,0,600,0,0,3.306667
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.6045,2,0,400,0,0,3.395
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736444,2,0,600,0,0,2.933333
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.227436,5,0,4260,0,0,28.640845
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.370714,0,0.333333,0.666667,0,0.629286,0,0.552905,2,0,1200,0,0,4.725
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.568182,0,0.333333,0.666667,0,0.431818,0,0.761111,2,0,300,0,0,2.846667
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.328631,2,0,400,0,0,6.1
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500417,2,0,800,0,0,3.9975
normalized-43s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.386944,1.858003,0,6791,0.187862,0,6.894938
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.737111,2,0,1200,0,0,2.931667
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.604667,2,0,400,0,0,3.4
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.605929,2,0,400,0,0,3.395
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0,0.444444,0,0.736833,2,0,1200,0,0,2.931667
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.252845,0,0.333333,0.666667,0,0.747155,0,0.468954,2,0,1200,0,0,7.231667
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.282717,7,0,14210,0,0,33.252217
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500417,2,0,800,0,0,3.9975
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.434514,6,0,2430,0,0,17.402469
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.5,2,0,200,0,0,4
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0,0,0,0.500833,2,0,800,0,0,3.995
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,0,0,0.501253,0,0.333333,0.666667,0,0.498747,0,0.668333,2,0,600,0,0,3.323333
