@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE gc_bool_lin NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE gc_table NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_set_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-37s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-46s-smv.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.555556,0,0.333333,0.666667,0
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,0,0,0.5,0,0.333333,0.666667,0
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,0,0,0.502513,0,0.333333,0.666667,0
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,0,0,1,0,1,0,0
