@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-max NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.6,0,6,1.55346,0.3125,4.36364,0.0625,16,0.3625,0.6,5,29,625,2,2.00998,8
BF1_cpmp_16_5_48_10_29_12,1,4.55556,0,7,1.61091,0.3125,4.36364,0.1875,16,0.3625,0.6,5,29,0.5625,2,2.26623,9
BF1_cpmp_16_5_48_10_29_14,1,4.3,0,7,1.72008,0.3125,4.36364,0.1875,16,0.3625,0.6,5,29,625,2,1.84662,7
BF1_cpmp_16_5_48_10_29_15,1,3.5,0,6,1.61091,0.3125,4.36364,0.0625,16,0.3625,0.6,5,29,0.5,2,2.29129,9
BF1_cpmp_16_5_48_10_29_17,1,4.66667,0,6,1.55346,0.3125,4.36364,125,16,0.3625,0.6,5,29,0.5625,2,2.44949,10
BF1_cpmp_16_5_48_10_29_18,1,4.5,0,6,1.55346,0.3125,4.36364,0.0625,16,0.3625,0.6,5,29,625,2,1.85742,8
BF1_cpmp_16_5_48_10_29_19,1,5.33333,0,7,1.77214,0.3125,4.36364,0.0625,16,0.3625,0.6,5,29,0.5625,2,2.10819,10
BF1_cpmp_16_5_48_10_29_20,1,4.9,0,6,1.55346,0.3125,4.36364,125,16,0.3625,0.6,5,29,625,2,2.66271,10
BF1_cpmp_16_5_48_10_29_3,1,4.33333,0,6,1.49379,0.3125,4.36364,125,16,0.3625,0.6,5,29,0.75,2,2.28522,9
BF1_cpmp_16_5_48_10_29_4,1,5,0,6,1.49379,0.3125,4.36364,0.1875,16,0.3625,0.6,5,29,625,2,2.09762,9
BF1_cpmp_16_5_48_10_29_5,1,5,0,7,1.72008,0.3125,4.36364,125,16,0.3625,0.6,5,29,0.5625,2,2,8
BF1_cpmp_16_5_48_10_29_6,1,3.91667,0,6,1.49379,0.3125,4.36364,0.25,16,0.3625,0.6,5,29,0.75,2,1.65622,7
BF1_cpmp_16_5_48_10_29_7,1,4.3,0,5,1.43164,0.3125,4.36364,0.0625,16,0.3625,0.6,5,29,625,2,2.05183,8
BF1_cpmp_16_5_48_10_29_8,1,4.55556,0,6,1.55346,0.3125,4.36364,125,16,0.3625,0.6,5,29,0.5625,2,2.00616,9
BF1_cpmp_16_5_48_10_29_9,1,4.66667,0,6,1.91988,0.3125,4.36364,125,16,0.3625,0.6,5,29,0.75,2,1.84089,8
BF10_cpmp_16_8_77_16_58_13,1,8,0,6,1.37702,0.5,4.52941,0.1875,16,0.453125,0.601562,8,58,625,2,3.4641,12
BF10_cpmp_16_8_77_16_58_3,1,6.9,0,8,1.57621,0.5,4.52941,0.1875,16,0.453125,0.601562,8,58,625,3,3.61801,15
BF10_cpmp_16_8_77_16_58_8,1,6.1,0,6,1.33362,0.5,4.52941,0.25,16,0.453125,0.601562,8,58,625,2,3.36006,12
BF11_cpmp_16_8_77_31_47_10,1,11.8333,0,5,0.896499,0.5,2.40625,0,16,0.367188,0.601562,8,49,0.75,2,7.32386,26
BF11_cpmp_16_8_77_31_47_11,1,10.8667,0,5,1.34302,0.5,2.40625,0,16,0.367188,0.601562,8,49,0.9375,2,6.05383,23
BF11_cpmp_16_8_77_31_47_16,1,10.2857,0,5,0.963696,0.5,2.40625,0,16,0.367188,0.601562,8,51,875,2,4.39852,17
BF11_cpmp_16_8_77_31_47_6,1,12.5,0,7,1.19529,0.5,2.40625,0,16,0.367188,0.601562,8,51,1,2,6.99107,25
BF11_cpmp_16_8_77_31_47_7,1,11.7333,0,5,1.08568,0.5,2.40625,0,16,0.367188,0.601562,8,49,0.9375,2,6.9519,26
