@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,4.6,0,6,1.55346,0.3125,4.36364,0.0625
BF1_cpmp_16_5_48_10_29_12,1,4.55556,0,7,1.61091,0.3125,4.36364,0.1875
BF1_cpmp_16_5_48_10_29_14,1,4.3,0,7,1.72008,0.3125,4.36364,0.1875
BF1_cpmp_16_5_48_10_29_15,1,3.5,0,6,1.61091,0.3125,4.36364,0.0625
BF1_cpmp_16_5_48_10_29_17,1,4.66667,0,6,1.55346,0.3125,4.36364,125
BF1_cpmp_16_5_48_10_29_18,1,4.5,0,6,1.55346,0.3125,4.36364,0.0625
BF1_cpmp_16_5_48_10_29_19,1,5.33333,0,7,1.77214,0.3125,4.36364,0.0625
BF1_cpmp_16_5_48_10_29_20,1,4.9,0,6,1.55346,0.3125,4.36364,125
BF1_cpmp_16_5_48_10_29_3,1,4.33333,0,6,1.49379,0.3125,4.36364,125
BF1_cpmp_16_5_48_10_29_4,1,5,0,6,1.49379,0.3125,4.36364,0.1875
BF1_cpmp_16_5_48_10_29_5,1,5,0,7,1.72008,0.3125,4.36364,125
BF1_cpmp_16_5_48_10_29_6,1,3.91667,0,6,1.49379,0.3125,4.36364,0.25
BF1_cpmp_16_5_48_10_29_7,1,4.3,0,5,1.43164,0.3125,4.36364,0.0625
BF1_cpmp_16_5_48_10_29_8,1,4.55556,0,6,1.55346,0.3125,4.36364,125
BF1_cpmp_16_5_48_10_29_9,1,4.66667,0,6,1.91988,0.3125,4.36364,125
BF10_cpmp_16_8_77_16_58_13,1,8,0,6,1.37702,0.5,4.52941,0.1875
BF10_cpmp_16_8_77_16_58_3,1,6.9,0,8,1.57621,0.5,4.52941,0.1875
BF10_cpmp_16_8_77_16_58_8,1,6.1,0,6,1.33362,0.5,4.52941,0.25
BF11_cpmp_16_8_77_31_47_10,1,11.8333,0,5,0.896499,0.5,2.40625,0
BF11_cpmp_16_8_77_31_47_11,1,10.8667,0,5,1.34302,0.5,2.40625,0
BF11_cpmp_16_8_77_31_47_16,1,10.2857,0,5,0.963696,0.5,2.40625,0
BF11_cpmp_16_8_77_31_47_6,1,12.5,0,7,1.19529,0.5,2.40625,0
BF11_cpmp_16_8_77_31_47_7,1,11.7333,0,5,1.08568,0.5,2.40625,0
BF12_cpmp_16_8_77_31_58_14,1,14.1667,0,6,1.08568,0.5,2.40625,125
BF17_cpmp_20_5_60_12_36_1,1,6.36364,0,7,1.54613,0.25,4.61538,0.1
BF17_cpmp_20_5_60_12_36_10,1,6,0,8,1.68881,0.25,4.61538,0.15
BF17_cpmp_20_5_60_12_36_11,1,4.61538,0,7,1.59511,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_12,1,5.23077,0,7,1.59511,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_15,1,5.92308,0,8,1.77757,0.25,4.61538,0.25
BF17_cpmp_20_5_60_12_36_16,1,5.53846,0,7,1.54613,0.25,4.61538,0.15
BF17_cpmp_20_5_60_12_36_17,1,5.46154,0,6,1.49556,0.25,4.61538,0.15
BF17_cpmp_20_5_60_12_36_2,1,5.25,0,8,1.82033,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_20,1,6.07143,0,8,1.77757,0.25,4.61538,0.1
BF17_cpmp_20_5_60_12_36_3,1,5.30769,0,7,1.54613,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_4,1,4.45455,0,7,1.68881,0.25,4.61538,0.15
BF17_cpmp_20_5_60_12_36_5,1,5.73333,0,7,1.49556,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_6,1,5,0,7,1.49556,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_7,1,5.54545,0,7,1.59511,0.25,4.61538,0.05
BF17_cpmp_20_5_60_12_36_8,1,4.93333,0,8,2.13175,0.25,4.61538,0.1
BF18_cpmp_20_5_60_12_45_1,1,5.92857,0,6,1.4432,0.25,4.61538,0.25
BF18_cpmp_20_5_60_12_45_12,1,5.33333,0,7,1.54613,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_13,1,6.41667,0,7,1.68881,0.25,4.61538,0.4
BF18_cpmp_20_5_60_12_45_14,1,7.30769,0,7,1.59511,0.25,4.61538,0.35
BF18_cpmp_20_5_60_12_45_15,1,5.33333,0,7,1.59511,0.25,4.61538,0.4
BF18_cpmp_20_5_60_12_45_16,1,5.83333,0,7,1.54613,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_17,1,5.92308,0,7,1.59511,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_18,1,6.58333,0,7,1.68881,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_19,1,6.69231,0,7,1.54613,0.25,4.61538,0.35
BF18_cpmp_20_5_60_12_45_2,1,7.08333,0,7,1.59511,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_3,1,5.25,0,7,1.73376,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_4,1,5.83333,0,6,1.4432,0.25,4.61538,0.25
BF18_cpmp_20_5_60_12_45_5,1,5.16667,0,9,2.20274,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_6,1,6.5,0,6,1.49556,0.25,4.61538,0.4
BF18_cpmp_20_5_60_12_45_7,1,5.92308,0,7,1.54613,0.25,4.61538,0.3
BF18_cpmp_20_5_60_12_45_8,1,5.5,0,8,1.94297,0.25,4.61538,0.35
BF18_cpmp_20_5_60_12_45_9,1,7,0,6,1.38888,0.25,4.61538,0.3
BF19_cpmp_20_5_60_24_36_1,1,10.1429,0,5,0.979796,0.25,2.4,0.1
BF19_cpmp_20_5_60_24_36_10,1,10.8571,0,6,1.13137,0.25,2.4,0.15
BF19_cpmp_20_5_60_24_36_11,1,9.4,0,5,0.938083,0.25,2.4,0.1
BF19_cpmp_20_5_60_24_36_14,1,8.21429,0,4,0.748331,0.25,2.4,0
BF19_cpmp_20_5_60_24_36_15,1,7.76923,0,5,1.0583,0.25,2.4,0.05
BF19_cpmp_20_5_60_24_36_16,1,9.23077,0,4,0.848528,0.25,2.4,0.05
BF19_cpmp_20_5_60_24_36_17,1,8.36364,0,4,0.979796,0.25,2.4,0.05
BF19_cpmp_20_5_60_24_36_18,1,10.0769,0,4,0.8,0.25,2.4,0.05
BF19_cpmp_20_5_60_24_36_2,1,10.1667,0,5,0.979796,0.25,2.4,0.05
BF19_cpmp_20_5_60_24_36_20,1,8.54545,0,4,1.0198,0.25,2.4,0.2
BF19_cpmp_20_5_60_24_36_3,1,10.0714,0,6,1.2,0.25,2.4,0.2
BF19_cpmp_20_5_60_24_36_5,1,10.75,0,4,0.848528,0.25,2.4,0.15
BF19_cpmp_20_5_60_24_36_6,1,8.58333,0,4,0.938083,0.25,2.4,0.1
BF19_cpmp_20_5_60_24_36_7,1,8.63636,0,4,1.0198,0.25,2.4,0.15
BF19_cpmp_20_5_60_24_36_8,1,11.2667,0,4,0.848528,0.25,2.4,0
BF19_cpmp_20_5_60_24_36_9,1,8.84615,0,5,0.894427,0.25,2.4,0.05
BF2_cpmp_16_5_48_10_36_1,1,4.8,0,7,1.66639,0.3125,4.36364,0.3125
BF2_cpmp_16_5_48_10_36_11,1,4.6,0,6,1.49379,0.3125,4.36364,0.25
