@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE csp_log_extra_booleans NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_log_ranges NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE csp_log_extra_bits NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE csp_percent_global NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE csp_percent_gac_predicate NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-VAR-entropy NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,?,?,?,?,?,0.816869,?,0.944361,?,0.479653,0.660065,0.825556,?,2.628313,?,0.20904,?,3.651416,0.976668,0.324843,?,0.777778,0.567514,?,0,0.293021,2.585756
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,?,?,?,?,?,0.76434,?,0.930218,?,0.483508,0.651508,0.835832,?,2.610938,?,0.206463,?,3.484095,0.987506,0.328985,?,0.789474,0.579817,?,0,0.297583,2.546167
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,?,?,?,?,?,0.769644,?,0.924554,?,0.481471,0.656667,0.827353,?,2.595134,?,0.203573,?,3.620413,0.987059,0.32901,?,0.764706,0.573834,?,0,0.282691,2.471178
bool/routing/s4-4-3-10.xml,1,52.294304,43.196203,46.186709,1.414214,1.414214,-1,100,-1,29.825949,-1,0.767897,-1,0.914008,100,0.462559,0.661915,0.844235,-1,2.646799,0,0.213428,22.250256,3.042629,0.98773,0.336567,47.705696,0.846154,0.559734,14.238703,0,0.321339,2.672379
bool/routing/s4-4-3-7.xml,1,52.413793,43.093596,46.187192,1.414214,1.414214,-1,100,-1,29.832512,-1,0.745359,-1,0.905148,100,0.449685,0.662032,0.83071,-1,2.603671,0,0.207762,22.330623,3.076241,0.990874,0.333778,47.586207,0.826087,0.56079,13.919794,0,0.29908,2.567531
bool/routing/s4-4-3-6.xml,1,52.866242,42.929936,46.072187,1.414214,1.414214,-1,100,-1,29.766454,-1,0.748011,-1,0.906368,100,0.443348,0.659588,0.826689,-1,2.591751,0,0.206536,22.338246,3.142299,0.990547,0.331598,47.133758,0.826087,0.562843,13.811776,0,0.295157,2.550192
bool/routing/s4-4-3-3.xml,1,52.09826,43.172979,45.957011,1.414214,1.414214,-1,100,-1,29.662231,-1,0.776151,-1,0.916379,100,0.447443,0.663327,0.827035,-1,2.607351,0,0.209201,22.453396,3.177639,0.985395,0.3309,47.90174,0.833333,0.558025,13.854284,0,0.299404,2.6054
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,?,?,?,?,?,0.765146,?,0.933322,?,0.481201,0.646067,0.841616,?,2.602402,?,0.209304,?,3.416667,0.9879,0.329536,?,0.809524,0.584632,?,0,0.307091,2.596976
bool/routing/s4-4-3-2.xml,1,52.663934,43.002049,45.932377,1.414214,1.414214,-1,100,-1,29.661885,-1,0.777142,-1,0.916689,100,0.448351,0.662973,0.827309,-1,2.609208,0,0.209541,22.390748,3.211032,0.985224,0.330922,47.336066,0.833333,0.558339,13.857592,0,0.300169,2.611825
bool/routing/s4-4-3-8.xml,1,51.226994,44.355828,51.779141,1.414214,1.414214,-1,100,-1,32.392638,-1,0.753923,-1,0.897477,100,0.436277,0.669053,0.806444,-1,2.493205,0,0.19902,22.166801,3.45073,0.989021,0.328171,48.773006,0.764706,0.552982,13.228819,0,0.262862,2.405508
