@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891,1630
adder-10-unsat-shuffled,1,3.134015,1630
adder-12-sat-shuffled,1,3.16967,2364
adder-12-unsat-shuffled,1,3.151899,2364
adder-14-sat-shuffled,1,3.179945,3234
adder-14-unsat-shuffled,1,3.164484,3234
adder-16-unsat-shuffled,1,3.173822,4240
Adder2-10-s-shuffled,1,1.313716,7829
Adder2-4-s-shuffled,1,1.300598,1139
Adder2-6-c-shuffled,1,1.308137,2695
Adder2-6-s-shuffled,1,1.308137,2705
adder-4-sat-shuffled,1,3,244
adder-6-sat-shuffled,1,3.091049,570
adder-8-sat-shuffled,1,3.131849,1032
adder-8-unsat-shuffled,1,3.106599,1032
aim-100-1_6-yes1-3-50-shuffled,1,1.722467,700
aim-100-1_6-yes1-3-90-shuffled,1,1.768617,583
aim-100-2_0-yes1-2-50-shuffled,1,1.90121,843
aim-100-2_0-yes1-2-90-shuffled,1,1.971564,732
aim-100-3_4-yes1-1-90-shuffled,1,2.482143,1219
aim-100-6_0-yes1-1-90-shuffled,1,2.951456,2142
aim-100-6_0-yes1-3-90-shuffled,1,2.958637,2134
aim-100-6_0-yes1-4-90-shuffled,1,2.952555,2135
aim-200-1_6-yes1-2-90-shuffled,1,1.762467,1193
aim-200-1_6-yes1-4-90-shuffled,1,1.757853,1188
aim-200-2_0-yes1-2-90-shuffled,1,1.971564,1469
aim-200-3_4-yes1-1-90-shuffled,1,2.479893,2431
aim-200-3_4-yes1-4-90-shuffled,1,2.475045,2453
aim-50-1_6-yes1-1-00-shuffled,1,1.683453,431
aim-50-1_6-yes1-1-90-shuffled,1,1.771277,296
aim-50-1_6-yes1-2-00-shuffled,1,1.679856,428
aim-50-1_6-yes1-2-50-shuffled,1,1.715517,359
aim-50-1_6-yes1-3-00-shuffled,1,1.676259,421
aim-50-1_6-yes1-4-50-shuffled,1,1.716814,352
aim-50-1_6-yes1-4-90-shuffled,1,1.760638,295
aim-50-2_0-yes1-1-90-shuffled,1,1.971429,363
aim-50-2_0-yes1-2-50-shuffled,1,1.896825,422
aim-50-2_0-yes1-3-90-shuffled,1,1.980952,366
aim-50-3_4-yes1-2-90-shuffled,1,2.492806,604
aim-50-3_4-yes1-3-90-shuffled,1,2.485714,607
aim-50-6_0-yes1-3-50-shuffled,1,2.851259,1093
aim-50-6_0-yes1-4-90-shuffled,1,2.965686,1062
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125,4998
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986,13732
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482,8796
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526,25906
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705,2082
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119,8668
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149,6298
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899,57332
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961,24442
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266,71893
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591,7254
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089
