@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE EXIST_VARS NUMERIC
@ATTRIBUTE NEG_HORN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE BINARY_CLAUSES NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCS_FORALL_NO_PER_VAR NUMERIC
@ATTRIBUTE OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE W_OCCS_FORALL_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE FORALL_NEG_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891,1630,1.053282,1840,592.5,0.010986,0.282784,0.779554,3621,1.127011,1185,40,0.715889,20,5.249382,26333,0.994507,11.022901,5.854962,0.104494,10.065649,1.982972,0.854035,0.835103,0.128546,655,6.64837,0.074811,0.92969,1.132939,0.078758,1.132939
adder-10-unsat-shuffled,1,3.134015,1630,0.377808,1858,761.5,0.001096,0.170238,0.854527,3649,1.144132,1523,4,0.843517,1,10.284932,40028,0.999726,7.426866,4.116418,0.072991,8.232836,0.681644,0.913469,0.967578,0.027706,335,4.810549,0.111022,0.303836,1.243463,0.062859,1.243463
adder-12-sat-shuffled,1,3.16967,2364,1.053268,2664,861,0.009067,0.264487,0.790835,5270,1.144969,1722,48,0.713697,24,5.643748,40370,0.995467,11.138004,5.919321,0.097549,10.174098,1.981866,0.863319,0.846019,0.121774,942,6.678679,0.071043,0.928598,1.134255,0.072989,1.134255
adder-12-unsat-shuffled,1,3.151899,2364,0.377757,2686,1100,0.000754,0.152968,0.867327,5304,1.1518,2200,4,0.844088,1,11.347597,63811,0.999811,7.432099,4.123457,0.065635,8.246914,0.680867,0.922242,0.970946,0.025199,486,4.834698,0.101268,0.30311,1.246269,0.056189,1.246269
adder-14-sat-shuffled,1,3.179945,3234,1.053205,3640,1179.5,0.007719,0.248711,0.800826,7227,1.161432,2359,56,0.712195,28,6.029359,58115,0.996141,11.21936,5.964871,0.091632,10.250585,1.980979,0.871339,0.855372,0.115822,1281,6.699725,0.067693,0.927774,1.135195,0.068101,1.135195
adder-14-unsat-shuffled,1,3.164484,3234,0.377683,3666,1500.5,0.00055,0.138979,0.877979,7267,1.158068,3001,4,0.844524,1,12.400936,95074,0.999862,7.434586,4.12782,0.059669,8.255639,0.680242,0.929346,0.973656,0.023129,665,4.851609,0.093148,0.302559,1.248295,0.050842,1.248295
adder-16-unsat-shuffled,1,3.173822,4240,0.377608,4798,1963,0.000419,0.127387,0.887007,9538,1.163311,3926,4,0.844867,1,13.448475,134769,0.999895,7.43578,4.130734,0.05472,8.261468,0.679736,0.935232,0.975891,0.021385,872,4.86411,0.086266,0.302128,1.249827,0.046447,1.249827
Adder2-10-s-shuffled,1,1.313716,7829,0.217819,7969,2474.666667,0.726821,0.79594,0.556811,4295,0.882103,7424,7024,0.955042,5368,2.008692,23622,0.444433,7.724771,3.862385,0.413789,10.577982,0.435637,0.566732,0.83996,0.089112,545,6.560296,0.354077,0.217819,1,0.426218,1
Adder2-4-s-shuffled,1,1.300598,1139,0.214947,1171,361.666667,0.72669,0.796548,0.556623,626,0.889488,1085,1021,0.958749,778,2.014947,3435,0.445552,7.023256,3.511628,0.415911,9.930233,0.429893,0.566194,0.84205,0.087918,86,6.53117,0.355459,0.214947,1,0.426705,1
Adder2-6-c-shuffled,1,1.308137,2695,0.144914,2765,651.5,0.726373,0.797047,0.556468,1490,0.935331,2606,2421,0.948054,1842,2.156916,8155,0.447045,6.075472,3.037736,0.411294,14.150943,0.289829,0.566171,0.893565,0.059227,159,7.6434,0.384304,0.144914,1,0.427095,1
