@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891,1630,1.053282,1840,592.5
adder-10-unsat-shuffled,1,3.134015,1630,0.377808,1858,761.5
adder-12-sat-shuffled,1,3.16967,2364,1.053268,2664,861
adder-12-unsat-shuffled,1,3.151899,2364,0.377757,2686,1100
adder-14-sat-shuffled,1,3.179945,3234,1.053205,3640,1179.5
adder-14-unsat-shuffled,1,3.164484,3234,0.377683,3666,1500.5
adder-16-unsat-shuffled,1,3.173822,4240,0.377608,4798,1963
Adder2-10-s-shuffled,1,1.313716,7829,0.217819,7969,2474.666667
Adder2-4-s-shuffled,1,1.300598,1139,0.214947,1171,361.666667
Adder2-6-c-shuffled,1,1.308137,2695,0.144914,2765,651.5
Adder2-6-s-shuffled,1,1.308137,2705,0.216597,2765,856.666667
adder-4-sat-shuffled,1,3,244,1.049057,280,87
adder-6-sat-shuffled,1,3.091049,570,1.052423,648,205.5
adder-8-sat-shuffled,1,3.131849,1032,1.053136,1168,374
adder-8-unsat-shuffled,1,3.106599,1032,0.377768,1182,485
aim-100-1_6-yes1-3-50-shuffled,1,1.722467,700,0.306905,454,177
aim-100-1_6-yes1-3-90-shuffled,1,1.768617,583,0.360902,376,138
aim-100-2_0-yes1-2-50-shuffled,1,1.90121,843,0.317073,496,198
aim-100-2_0-yes1-2-90-shuffled,1,1.971564,732,0.359375,422,161
aim-100-3_4-yes1-1-90-shuffled,1,2.482143,1219,0.367626,560,230
aim-100-6_0-yes1-1-90-shuffled,1,2.951456,2142,0.369092,824,362
aim-100-6_0-yes1-3-90-shuffled,1,2.958637,2134,0.370066,822,361
aim-100-6_0-yes1-4-90-shuffled,1,2.952555,2135,0.369852,822,361
aim-200-1_6-yes1-2-90-shuffled,1,1.762467,1193,0.360387,762,281
aim-200-1_6-yes1-4-90-shuffled,1,1.757853,1188,0.359643,764,282
aim-200-2_0-yes1-2-90-shuffled,1,1.971564,1469,0.360961,844,322
aim-200-3_4-yes1-1-90-shuffled,1,2.479893,2431,0.367207,1119,459.5
aim-200-3_4-yes1-4-90-shuffled,1,2.475045,2453,0.367398,1122,461
aim-50-1_6-yes1-1-00-shuffled,1,1.683453,431,0.262821,278,114
aim-50-1_6-yes1-1-90-shuffled,1,1.771277,296,0.369369,188,69
aim-50-1_6-yes1-2-00-shuffled,1,1.679856,428,0.246253,278,114
aim-50-1_6-yes1-2-50-shuffled,1,1.715517,359,0.288945,232,91
aim-50-1_6-yes1-3-00-shuffled,1,1.676259,421,0.248927,278,114
aim-50-1_6-yes1-4-50-shuffled,1,1.716814,352,0.31701,226,88
aim-50-1_6-yes1-4-90-shuffled,1,1.760638,295,0.371601,188,69
aim-50-2_0-yes1-1-90-shuffled,1,1.971429,363,0.363855,210,80
aim-50-2_0-yes1-2-50-shuffled,1,1.896825,422,0.3159,252,101
aim-50-2_0-yes1-3-90-shuffled,1,1.980952,366,0.362981,210,80
aim-50-3_4-yes1-2-90-shuffled,1,2.492806,604,0.366522,278,114
aim-50-3_4-yes1-3-90-shuffled,1,2.485714,607,0.363506,280,115
aim-50-6_0-yes1-3-50-shuffled,1,2.851259,1093,0.358974,437,193.5
aim-50-6_0-yes1-4-90-shuffled,1,2.965686,1062,0.371594,408,179
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,2.20125,4998,0.090828,3041,589
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,2.495986,13732,0.12517,7349,1185.666667
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,1.369482,8796,0,7543,7543
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,2.351526,25906,0.049117,14383,155.347826
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.478705,2082,0.018382,1761,41.97561
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,2.038119,8668,0.050611,5509,67.024691
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,1.975149,6298,0.046998,4185,40.86
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,2.578899,57332,0.049839,29335,201.317241
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,2.441961,24442,0.049241,13241,89.69863
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.670266,71893,0.054378,35747,152.424893
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,2.053591,7254,0.04504,4665,41.807339
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.534232,2247,0.016249,1855,55.242424
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,2.384598,23669,0.045244,13063,133.680412
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,1.584416,2522,0.029851,2079,34.254237
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.457335,24801,0.049673,13395,90.753425
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,2.594878,47733,0.055938,24405,127.452632
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,1.613726,2741,0.037623,2273,25.137931
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,2.749279,102159,0.057064,49565,142.669565
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,2.094995,4307,0.073596,2737,652
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,1.997402,8324,0.05735,5389,59.561798
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,2.569751,57089,0.053099,29297,189.246753
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,2.014063,6939,0.050238,4551,37.576271
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,2.465704,25851,0.061688,13923,70.040816
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-003-shuffled,1,1.984335,6553,0.054383,4341,37.767857
