@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC

@DATA
adder-10-sat-shuffled,1,3.154891,1630,1.053282,1840,592.5,0.010986
adder-10-unsat-shuffled,1,3.134015,1630,0.377808,1858,761.5,0.001096
adder-12-sat-shuffled,1,3.16967,2364,1.053268,2664,861,0.009067
adder-12-unsat-shuffled,1,3.151899,2364,0.377757,2686,1100,0.000754
adder-14-sat-shuffled,1,3.179945,3234,1.053205,3640,1179.5,0.007719
adder-14-unsat-shuffled,1,3.164484,3234,0.377683,3666,1500.5,0.00055
adder-16-unsat-shuffled,1,3.173822,4240,0.377608,4798,1963,0.000419
Adder2-10-s-shuffled,1,1.313716,7829,0.217819,7969,2474.666667,0.726821
Adder2-4-s-shuffled,1,1.300598,1139,0.214947,1171,361.666667,0.72669
Adder2-6-c-shuffled,1,1.308137,2695,0.144914,2765,651.5,0.726373
Adder2-6-s-shuffled,1,1.308137,2705,0.216597,2765,856.666667,0.726783
adder-4-sat-shuffled,1,3,244,1.049057,280,87,0.030189
adder-6-sat-shuffled,1,3.091049,570,1.052423,648,205.5,0.019063
adder-8-sat-shuffled,1,3.131849,1032,1.053136,1168,374,0.013937
adder-8-unsat-shuffled,1,3.106599,1032,0.377768,1182,485,0.001737
aim-100-1_6-yes1-3-50-shuffled,1,1.722467,700,0.306905,454,177,0.530691
aim-100-1_6-yes1-3-90-shuffled,1,1.768617,583,0.360902,376,138,0.506767
aim-100-2_0-yes1-2-50-shuffled,1,1.90121,843,0.317073,496,198,0.52492
aim-100-2_0-yes1-2-90-shuffled,1,1.971564,732,0.359375,422,161,0.50601
aim-100-3_4-yes1-1-90-shuffled,1,2.482143,1219,0.367626,560,230,0.504317
aim-100-6_0-yes1-1-90-shuffled,1,2.951456,2142,0.369092,824,362,0.498561
aim-100-6_0-yes1-3-90-shuffled,1,2.958637,2134,0.370066,822,361,0.501645
aim-100-6_0-yes1-4-90-shuffled,1,2.952555,2135,0.369852,822,361,0.500412
aim-200-1_6-yes1-2-90-shuffled,1,1.762467,1193,0.360387,762,281,0.503351
aim-200-1_6-yes1-4-90-shuffled,1,1.757853,1188,0.359643,764,282,0.509308
aim-200-2_0-yes1-2-90-shuffled,1,1.971564,1469,0.360961,844,322,0.504505
aim-200-3_4-yes1-1-90-shuffled,1,2.479893,2431,0.367207,1119,459.5,0.505586
aim-200-3_4-yes1-4-90-shuffled,1,2.475045,2453,0.367398,1122,461,0.50018
aim-50-1_6-yes1-1-00-shuffled,1,1.683453,431,0.262821,278,114,0.549145
aim-50-1_6-yes1-1-90-shuffled,1,1.771277,296,0.369369,188,69,0.501502
aim-50-1_6-yes1-2-00-shuffled,1,1.679856,428,0.246253,278,114,0.537473
aim-50-1_6-yes1-2-50-shuffled,1,1.715517,359,0.288945,232,91,0.515075
aim-50-1_6-yes1-3-00-shuffled,1,1.676259,421,0.248927,278,114,0.555794
aim-50-1_6-yes1-4-50-shuffled,1,1.716814,352,0.31701,226,88,0.525773
aim-50-1_6-yes1-4-90-shuffled,1,1.760638,295,0.371601,188,69,0.501511
aim-50-2_0-yes1-1-90-shuffled,1,1.971429,363,0.363855,210,80,0.510843
aim-50-2_0-yes1-2-50-shuffled,1,1.896825,422,0.3159,252,101,0.541841
aim-50-2_0-yes1-3-90-shuffled,1,1.980952,366,0.362981,210,80,0.504808
aim-50-3_4-yes1-2-90-shuffled,1,2.492806,604,0.366522,278,114,0.505051
aim-50-3_4-yes1-3-90-shuffled,1,2.485714,607,0.363506,280,115,0.50431
aim-50-6_0-yes1-3-50-shuffled,1,2.851259,1093,0.358974,437,193.5,0.513622
aim-50-6_0-yes1-4-90-shuffled,1,2.965686,1062,0.371594,408,179,0.500413
