@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.2943,0.2908,0.4013,0.007,0,32.318,40.813,0.0658,0.719,5.0606,47.405,0.8244,0.237,11,8,0,0.5822,42,0.2338,0,0.5867,52,0.1655,0.048,0.3926,21,17,53.165,18.264,9752,0.0002,148.32
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,1.7597,2.0163,2.377,1.3544,0.1194,9.019,9.4949,0.3744,1.7696,7.4146,10.592,0.904,0.0277,138,89,0,0.4113,1444,0.1323,0,0.692,11.688,1.6206,0.0282,0.5682,241,210,13.605,321.25,32750,0,1307.2
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0156,0.112,0.1916,0,0,23.693,23.693,0,0.8309,2.789,24.738,0.8575,0.5591,4227,4227,0.0431,0.6913,4397,0.0469,0.2,0.64,25.276,0,0.0009,0.1651,4356,4256,24.93,4278.3,110,0.0088,8.7044
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,1.3191,6.6383,4.6846,0.014,0.6199,0,0,2.5312,1.3557,5,0,1.0494,0.4145,0,0,0,0.2835,0,0.0475,0,0.7766,0,0.9825,0,0.8546,0,0,0,0,84942,0,16446
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.2932,0.2896,0.3998,0.0076,0,29.667,46.182,0.0653,0.7172,5.2043,57.6,0.8285,0.2391,5,4,0.0001,0.5781,21,0.2336,0,0.5883,66.583,0.1632,0.048,0.3951,10,8,68.129,8.2292,17527,0.0001,308.07
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.1936,0.4576,0.8917,0.2192,0,21.6,21.6,0.4074,0.7312,3,22.151,0.9689,0.3481,3790,3790,0.0077,0.4123,4236,0.0405,0.3333,0.3529,22.665,0.8565,0.0043,0.6752,4230,4214,22.525,4132,420,0.0011,14.05
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.2948,0.2911,0.3977,0.0057,0,30.211,43.478,0.0639,0.7103,5.0265,47.053,0.8223,0.2396,12,8,0,0.577,36,0.2339,0,0.5878,52.5,0.1537,0.0472,0.3936,22,17,54.161,18.144,9769,0.0002,158.52
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.5132,0.5454,0.5361,0.6234,0.585,0,0,0.4804,1.3791,17.091,0,0.9973,0.2523,0,0,0,0.5482,0,0.1733,0,0.9831,0,1.0373,0.0072,0.5835,0,0,0,0,150000,0,18164
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.2355,0.7131,1.0258,1.1818,0.2219,9.2949,10.311,0.3027,1.2995,8.5016,14.214,0.8613,0.0786,568,495,0.0001,0.8312,1028,0.1831,0,0.6554,21.112,1.2175,0.0221,0.263,931,768,23.789,781.73,6232,0.0003,447.85
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,4.0607,6.6361,6.4636,0.0064,0.9679,0,0,2.9707,0.416,4,0,1.0181,0.2533,0,0,0,0.2263,0,0.0143,0,0.2426,0,0.2542,0,0.9277,0,0,0,0,79604,0,24308
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,1.5958,1.8731,2.5162,0.6446,0.6339,0,0,2.4534,1.6811,12.597,0,0.9939,0.4208,0,0,0,0.471,0,0.0313,0,1.4194,0,1.7495,0.017,0.6786,0,0,0,0,8357,0.0004,536.3
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.8326,1.065,1.2377,1.2495,0.4161,10.497,10.497,1.6766,1.3213,7.5977,11.558,0.8829,0.1102,550,550,0.0001,0.4995,1045,0.2086,0,0.7935,13.599,1.0619,0.0134,0.5567,730,594,13.306,664.75,13761,0.0001,908.22
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.2462,0.5907,0.3127,0,0.8788,0,0,0.8469,0.4809,5.4615,0,0.9997,0.1986,0,0,0,0.1476,0,0.0129,0,0.2326,0,0.4533,0.0038,0.9558,0,0,0,0,24352,0.0001,94
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.2966,0.3002,0.3827,0.0062,0,22.295,22.295,0.073,0.7327,4,23.155,0.841,0.318,3849,3849,0.0045,0.6244,3962,0.2306,0,0.5906,23.401,0.163,0.0378,0.3674,3953,3901,23.965,3903.4,409,0.0036,14.635
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0,0.0398,0.1638,0,0,51.943,51.943,0,1.0093,2,52.702,0.8647,0.6357,3968,3968,0.0117,0.7112,4373,0.0118,0.1429,0.6756,54.855,0,0.0001,0.0672,4373,4162,53.617,4134,180,0.0026,16.546
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0429,0.1388,0,0,23.922,23.922,0,0.9999,2,24.017,0.875,0.6863,4397,4397,0.0111,0.7402,4588,0.0112,0.1429,0.6794,24.212,0,0,0.0547,4516,4509,24.193,4477.5,65,0.0067,8.0183
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,3.4014,5.6053,5.2206,0.0095,0.9475,0,0,2.5842,0.5625,3.8333,0,1.0128,0.2162,0,0,0,0.232,0,0.0193,0,0.2924,0,0.3769,0,0.9248,0,0,0,0,44203,0,6992
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.9218,0.5453,0.908,0.1157,0.0451,28.225,28.225,0.1406,1.2804,6.8981,55.107,0.7411,0.0498,730,730,0.0002,1.3487,1376,0.1601,0,0.842,66.835,0.6155,0.0548,0.0997,1280,955,71.188,1017,2840,0.0005,190.56
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.28,0.2856,0.3978,0.0028,0,25.819,25.819,0.0423,0.6081,4.0041,25.998,0.839,0.311,3768,3768,0.0047,0.6029,3976,0.2316,0,0.5782,26.573,0.0803,0.038,0.3713,3961,3892,27.289,3892.6,492,0.003,18.099
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.0799,0.1231,0.437,0,0,19.013,19.096,0.0782,1.1977,5,19.236,0.7797,0.9971,3635,3428,0.0216,0,4112,0.2629,0,0.8477,19.786,0.3326,0.3222,0,3975,3858,19.71,3820.3,61,0.0205,1.0062
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.2938,0.2902,0.4017,0.0064,0,31,49.5,0.0635,0.711,5.6705,59.4,0.8508,0.2247,3,1,0,0.5775,18,0.2337,0,0.5869,74,0.156,0.0474,0.3946,6,5,76.543,5.1825,29259,0.0001,884.86
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.231,0,0.3559,0.0182,0.8121,29.059,29.059,0.9538,1.0987,3,29.123,0.995,0.8708,4779,4779,0.0455,0.0152,4891,0.1636,0,1.0372,30.194,0.5281,0.185,0.8139,4869,4868,29.941,4837.7,108,0.0119,2
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.082,0.0977,0.2305,0,0,46.089,50.038,0,0.835,3,54.667,0.8452,0.4764,33,27,0.0124,0.6848,92,0.05,0.2,0.6497,58.104,0,0.0015,0.1692,48,41,57.746,42.594,1000,0.0009,44.849
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,1.4341,1.5143,1.8133,1.2922,0.1229,9.0179,9.6053,0.385,1.7619,7.4831,10.56,0.9099,0.0333,245,206,0,0.4458,479,0.1328,0,0.7062,11.178,1.6207,0.024,0.5643,388,340,11.533,351.84,22468,0.0001,971.67
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0,0.0408,0.1466,0,0,47.623,47.623,0,1.0012,2,47.79,0.868,0.6389,4032,4032,0.0117,0.7341,4388,0.0118,0.1429,0.6787,49.062,0,0.0001,0.0634,4388,4251,48.615,4187.8,160,0.0027,15.019
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.0206,0.0957,0.2359,0,0,27.587,27.587,0,0.8395,2.9922,28.54,0.8585,0.5494,4116,4116,0.0401,0.641,4437,0.0469,0.2,0.6418,28.621,0,0.001,0.1723,4353,4187,28.783,4221.6,130,0.0077,9.8506
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.2929,0.2902,0.3962,0.007,0,31.717,34.978,0.0673,0.7277,4.9984,37.099,0.8336,0.2529,43,33,0.0004,0.567,155,0.2333,0,0.5878,39.319,0.1744,0.0461,0.3949,66,56,39.647,60.067,3893,0.0004,76.719
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,1.6184,1.7985,2.1584,1.4117,0.1298,11.225,11.225,0.4106,1.8652,8.6176,11.875,0.8952,0.0328,118,118,0,0.4497,395,0.1236,0,0.7279,23.458,1.7163,0.0164,0.6164,395,289,17.538,266.25,56393,0,2192.5
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.5205,0.5379,0.5231,1.3917,0.5776,2.0133,2.0133,0.4291,1.3599,14.912,2.0133,1.0206,0.1311,75,75,0,0.5844,75,0.1666,0,1.0243,5.0933,1.0226,0.0018,0.5271,75,75,3.5533,75,59617,0,5612
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0864,0.0991,0.2278,0,0,47.333,54.559,0,0.829,3,57.294,0.8375,0.4732,24,17,0.0099,0.6712,59,0.05,0.2,0.6514,61.361,0,0.0015,0.1715,36,31,61.853,31.832,1250,0.0007,56.758
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0,0,0,0.0399,0.9822,0,0,2.3509,0,2,0,0.9996,1,0,0,0.0385,0.0001,0,0.0385,1,0,0,0.0895,0.031,0.9305,0,0,0,0,702,0.0028,0.2229
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.2766,0.2831,0.3916,0.0054,0,20.862,20.862,0.0578,0.6795,4,21.113,0.8459,0.3376,3882,3882,0.0074,0.5749,4090,0.232,0,0.5772,21.52,0.1406,0.0418,0.378,4036,3975,21.873,3970.6,344,0.0046,11.75
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,1.4947,4.3842,2.5423,0.2126,0.1019,17.936,18.064,0.4536,2.9316,3.9475,19.521,0.9613,0.4373,641,256,0.0012,0.232,2997,0.2118,0,0.9222,20.899,2.6115,0.4971,0.685,2653,1711,20.858,1802.8,1239,0.0003,15.051
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0352,0.1715,0,0,25.094,25.094,0,0.9933,2,25.17,0.8723,0.6804,4360,4360,0.0111,0.7396,4577,0.0112,0.1429,0.6819,25.817,0,0,0.0625,4480,4445,25.58,4449.7,70,0.0063,8.5122
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.0264,0.1023,0.2348,0,0,30.13,30.13,0,0.8085,3,30.66,0.8562,0.5421,4067,4067,0.0401,0.6955,4315,0.0469,0.2,0.6393,31.686,0,0.001,0.1752,4243,4113,31.75,4156.3,150,0.006,10.86
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.2279,0,0.3612,0.0055,0.897,59.106,59.106,1.4088,1.1095,3,61.49,0.997,0.9138,4715,4715,0.0152,0.0045,4858,0.0997,0,1.0418,84.153,0.3424,0.1562,0.8845,4858,4838,73.437,4784,360,0.0037,1.005
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,1.3838,1.2435,2.2425,0.1402,0.0774,11.18,14.309,0.38,2.5461,4.871,15.347,0.9103,0.248,1377,668,0.0001,0.1909,1990,0.1672,0,0.8835,16.483,2.0397,0.4735,0.7352,1844,1761,16.48,1682,2356,0.0002,47.576
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.8863,0.9001,0.8177,0.1159,0.087,19.239,19.239,0.2145,1.4994,6.2006,19.324,0.837,0.4593,3574,3574,0.0027,0.7198,3868,0.163,0,0.7255,20.564,1.0891,0.012,0.2021,3822,3740,20.593,3736,360,0.0039,23.99
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.1199,0.3387,0.2092,0,0,17.346,17.346,0.1543,1.7119,6.0101,25.666,0.963,0.2232,1082,1082,0.0028,1.4477,3766,0.1369,0,0.8508,27.851,0.9131,0.0894,0.0384,3424,3043,28.203,2867.6,298,0.0036,23.232
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,1.0531,1.1831,1.2688,0.6215,0.3246,93.951,93.951,0.4376,1.4348,22.153,136.72,0.8951,0.2717,1402,1402,0.0002,0.6947,1994,0.1973,0,0.9449,149.35,1.2565,0.0098,0.1836,1994,1693,167.11,1668.8,6781,0.0002,415.22
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0817,0.1006,0.2166,0,0,46.051,49.111,0,0.8332,3,51.931,0.8421,0.4771,38,30,0.0138,0.6919,104,0.05,0.2,0.651,54.773,0,0.0015,0.1754,57,48,54.53,50.735,900,0.0011,37.902
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.2874,0.2941,0.3663,0.0148,0,21.551,21.551,0.0579,0.6938,4,23.295,0.8472,0.3267,3818,3818,0.0057,0.594,4042,0.2337,0,0.58,24.287,0.1114,0.0462,0.381,4025,3959,24.156,3938,411,0.0037,13.227
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,1.6796,2.2849,2.1075,1.0977,0.2421,5.5053,5.9699,0.4194,1.8983,22.981,6.7131,0.9544,0.0683,397,114,0.0001,0.5309,584,0.1666,0,0.7574,7.9471,1.689,0.0402,0.4442,495,448,7.7223,437.6,16635,0.0001,830.8
SAT_RACE2006/SAT-Race-Benchmarks/goldb-heqc-dalumul.cnf,1,2.8301,4.4289,4.1397,0.003,0.2303,4.7206,7.5285,0.3548,1.2701,10.086,9.4639,0.9057,0.1108,247,238,0.0001,0.2964,556,0.1565,0,0.7327,12.283,1.0597,0.0277,0.598,424,374,12.116,375.95,9363,0.0001,500.28
SAT_Competition2009/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,1,0,0,0,0.037,0.9833,0,0,2.4435,0,2,0,0.9987,1,0,0,0.0357,0.0001,0,0.0358,1,0,0,0.0847,0.0215,0.9295,0,0,0,0,812,0.0024,5.2557
SAT_Competition2009/CRAFTED/edgematching/explicit/em_9_3_5_exp.cnf,1,0.2745,0.5915,0.3694,0,0.6731,15.273,19.83,0.6771,0.9764,5.5011,22.691,0.9964,0.1688,339,332,0.0001,0.325,625,0.0356,0,0.4033,26.449,0.8881,0.0031,0.8451,552,468,26.561,472.88,3853,0.0005,37.103
SAT_Competition2011/SAT07/industrial/babic/hsatv17/hsat_vc12062.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_Competition2009/CRAFTED/edgematching/explicit/em_8_4_5_exp.cnf,1,0.2907,0.5971,0.384,0,0.6285,15.845,16.682,0.627,1.0674,5.7241,19.338,0.9944,0.2032,457,403,0.0001,0.3358,853,0.0468,0,0.4419,23.61,0.9584,0.004,0.8185,724,680,22.501,648.86,2416,0.0008,34.178
SAT_Competition2007/crafted/Medium/contest05/sabharwal/gt-ordering-unsat-gt-030.sat05-1307.reshuffled-07.cnf,1,0,0,0.1827,0,0.0175,26.922,37.558,0.303,0.6262,3,41.579,0.998,0.7251,2478,1435,0.0046,0,3456,0.035,0,0.5881,43.335,0.0975,0,0.5268,2811,2673,43.888,2635,870,0.0017,6.6269
SAT_Competition2007/random/LargeSize/5SAT/v800/unif-k5-r20-v800-c16000-S2109328271-14.cnf,1,0.0751,0.0961,0.2261,0,0,43.682,46.66,0,0.8371,3,49.114,0.839,0.4855,45,38,0.0154,0.6886,133,0.05,0.2,0.6489,52.491,0,0.0015,0.1623,63,56,52.43,58.464,800,0.0012,39.042
SAT_Competition2007/random/LargeSize/7SAT/v140/unif-k7-r85-v140-c11900-S1426208256-08.cnf,1,0,0.0352,0.1691,0,0,42.762,42.762,0,1.0031,2,44.032,0.8682,0.6476,4142,4142,0.0117,0.652,4371,0.0118,0.1429,0.6841,44.795,0,0.0001,0.0683,4371,4326,44.284,4246,140,0.0032,13.657
SAT_Competition2009/CRAFTED/edgematching/all/em_8_4_5_all.cnf,1,0.3167,0.6398,0.4768,0,0.6948,25.853,26.744,0.599,0.9573,5.7302,27.433,0.9904,0.373,319,295,0.0001,0.2756,918,0.0384,0,0.3974,27.985,0.8605,0.0001,0.8496,540,416,28.902,456.96,2416,0.0008,114.66
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v175-c3727-S1126657927-015.SATISFIABLE.cnf,1,0.0325,0.0977,0.2433,0,0,34.104,34.104,0,0.8412,3,34.657,0.8549,0.5327,4008,4008,0.0368,0.7072,4267,0.047,0.2,0.6584,35.563,0,0.001,0.1602,4254,4078,35.631,4108.5,175,0.0053,13.001
SAT_Competition2009/CRAFTED/parity-games/instance_n5_i5_pp.cnf,1,0.965,1.1086,1.2945,0.1306,0.1968,15.45,15.45,0.3012,1.6268,6.1038,15.45,0.9309,0.0855,1515,1515,0.0003,0.6348,1918,0.108,0,0.6768,17.395,1.2933,0.0097,0.5078,1918,1863,17.772,1765.3,2509,0.0009,162.32
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-220-1.sat05-2173.reshuffled-07.cnf,1,0.0273,0,0.2996,0,0,26.756,26.756,0,0.5623,6.0457,27.128,0.8742,0.5694,4330,4330,0.0057,0,4534,0.25,0.3333,0.5774,28.708,0,0.042,0,4469,4468,28.083,4434.8,220,0.0069,12.161
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/transport-transport-three-cities-sequential-14nodes-1000size-4degree-100mindistance-4trucks-14packages-2008seed.020-NOTKNOWN.cnf,1,0.7991,4.7326,5.6617,0.6018,0.9903,0,0,5.8326,0.7405,22.889,0,1.7153,0.3416,0,0,0,0.3019,0,0.1424,0,1.2016,0,0.0741,0.0249,0.8162,0,0,0,0,366000,0,225000
