@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE reducedVars NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0,0.2387,3.1176,0,0.1604,20786,0,0.617,0,0,0,0,93490,0.5964,0.7857,2.5426
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0,0.135,2.4849,0.0006,0.1209,60.47,0.0013,0.8864,0.0001,0.0015,0.0015,0.0009,2106,1.5385,0.9171,0.151
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0,0.0097,0.9857,0.0004,0.018,94.0605,0.0003,0.0021,0.0001,0.0035,0.0035,0.0013,1600,0.9107,0.0363,0.25
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0,0.4831,4.1231,0,0.2696,1500390,0,0.9987,0,0,0,0,483003,13.386,1,0.0781
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0,0.2206,3.6748,0.0017,0.1792,50.7781,0.0007,0.851,0,0.0031,0.0031,0.0019,1047,1.3945,0.897,0.3878
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0,0.0194,0.8461,0.0001,0.0385,1727.41,0,0.006,0,0.0002,0.0002,0.0001,19903,0.5099,0.0665,1.4463
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0,0.1713,2.8827,0,0.1496,1307.17,0,0.6142,0,0.0001,0.0001,0.0001,32750,2.0163,0.7335,4.9941
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.0014,0.3855,3.9796,0.0001,0.297,6414,0,0.808,0,0.0001,0.0001,0.0001,30713,1.1802,0.9971,0.1674
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.4428,4.0721,0,0.2523,16446,0,0.9963,0,0,0,0,84942,6.6383,0.9999,0.1323
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0,0.1568,2.1233,0.0001,0.1801,1108.87,0.0001,0.5318,0,0.0002,0.0002,0.0001,18664,1.8479,0.5719,1.7399
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0,0.1168,2.0429,0,0.1379,2472.33,0,0.1373,0,0.0001,0.0001,0,54723,1.3113,0.4033,3.7759
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0,0.0441,1.302,0,0.0643,3032.83,0,0.1317,0,0.0001,0.0001,0.0001,37512,1.0802,0.3408,1.0597
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0,0.2388,3.1522,0,0.1578,2576,0,0.6119,0,0,0,0,68668,0.5994,0.7836,2.5898
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.0003,0.147,1.9719,0.0001,0.2553,396.048,0,0.8199,0,0.0003,0.0003,0.0001,13881,1.9974,0.8322,10.0823
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.0007,0.221,2.8825,0.0005,0.238,25.499,0.0004,0.7019,0,0.0024,0.0024,0.001,1957,1.5188,0.8535,6.4492
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0,0.2625,2.8426,0,0.1638,18164,0,0.7644,0,0,0,0,150440,0.5454,0.8447,0.9868
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,0,0.0735,1.9442,0.0003,0.1129,447.851,0.0001,0.2087,0,0.0005,0.0005,0.0003,6232,0.7131,0.3782,2.3864
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.0758,0.3877,1.471,0.0008,0.207,167.75,0.0003,0.8251,0,0.0009,0.0009,0.0004,5295,2.5291,0.8626,0.2585
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829,0,0.1565,2788.8,0,0.6568,0,0.0001,0.0001,0,44244,0.4451,0.8079,2.1373
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552,665.833,0,0.6706,0,0.0001,0.0001,0.0001,34133,0.4013,0.8056,2.1871
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,0.5002,4.0238,0,0.2372,116496,0,0.9971,0,0,0,0,188087,9.1027,0.9996,0.0753
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0,0.5141,4.0371,0,0.3273,61053,0,0.9995,0,0,0,0,81160,3.3798,1,0.7117
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,0,0.1496,3.0198,0,0.1655,2460.5,0,0.4015,0,0.0001,0.0001,0,44729,2.5235,0.8011,5.2587
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,0,0.22,3.5936,0,0.1598,2466.5,0,0.6558,0,0.0001,0.0001,0,53933,1.2092,0.8338,2.2488
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,0,0.2499,3.0829,0,0.1565,2918.2,0,0.6567,0,0.0001,0.0001,0,44244,0.4451,0.8081,2.1373
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,0,0.2652,2.8925,0,0.1624,4009,0,0.744,0,0,0,0,105677,0.4866,0.8376,1.0622
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,0,0.0915,1.6082,0,0.0874,1666.67,0,0.156,0,0.0001,0.0001,0.0001,29820,3.0847,0.1919,3.0716
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0,0.5141,4.0371,0,0.3273,54249,0,0.9995,0,0,0,0,81160,3.3798,1,0.7117
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0,0.0509,1.782,0.0032,0.0691,29.6313,0.0023,0.0252,0.0009,0.0078,0.0078,0.0044,450,0.291,0.1022,0.5733
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,0,0.061,2.0203,0,0.0712,3287.33,0,0.1209,0,0.0001,0.0001,0,57963,0.6056,0.2679,2.3211
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,0,0.0501,1.7705,0.0024,0.0683,38.9153,0.0017,0.0252,0.0007,0.0059,0.0059,0.0033,602,0.2829,0.1023,0.515
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,0.0003,0.4263,1.6649,0,0.326,1196960,0,0.9835,0,0,0,0,547237,1.9072,0.9919,0.2666
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0,0.2637,2.898,0,0.1634,12347,0,0.7566,0,0,0,0,124771,0.5067,0.8425,1.092
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,0,0.0726,2.7564,0,0.0605,263404,0,0.5335,0,0,0,0,453566,0.8793,0.6818,0.0308
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,0,0.2625,2.821,0,0.1635,11553,0,0.7541,0,0,0,0,129041,0.5444,0.8379,0.9554
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,0,0.2522,3.0944,0,0.1552,1266.6,0,0.6706,0,0.0001,0.0001,0.0001,34133,0.4013,0.8056,2.1871
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,0,0.2178,3.2658,0,0.1921,23017.7,0,0.7295,0,0.0001,0.0001,0,67417,3.4805,0.9999,6.9416
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,0,0.3373,4.0219,0,0.2414,842493,0,0.9811,0,0,0,0,199855,3.6567,0.9995,0.1772
SAT-Race-2010-CNF/cryptography/mizh/md5_48_3.cnf,1,0,0.0205,0.9718,0.0001,0.0385,2521.29,0,0.0104,0,0.0001,0.0001,0.0001,26689,0.6085,0.0878,1.5064
SAT_RACE2008/post-c32s-gcdm16-22.cnf,1,0,0.061,1.6455,0.0001,0.1052,1051.94,0,0.0635,0,0.0003,0.0003,0.0001,14271,1.2728,0.2249,8.085
