@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.GainRatioAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,41709,42000,84,0,53.1653,0.0006,52,64.9,0.0006,59.8,479.188,148.318,2150,2085,9752,2129.09,2130,26,2014.62,0.237,11,2165,0.0003,0.0003,2070,2183,0.3017,8,18.2639,17,13,0.0003,0.0017,21,0,0.048,0.0008,42,0.0283,0,0.1804,0.2673,0.093,0.0616,0.2338,0.0802,0.0002,10000,0.019,5.0606,0.0006,0.1256,6,0.2908,0.3926,0.2943,0.7922,0.719,0.1747,0.0658,0.2019,0.0826,0.1655,3.3528
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,41760,42000,86,0,54.1613,0.0007,52.5,69.2857,0.0006,59.4762,347.765,158.52,2159,2091,9769,2127.88,2130,26,2022.12,0.2396,12,2163,0.0003,0.0003,2081,2175,0.3052,8,18.1437,17,14,0.0003,0.002,22,0,0.0472,0.0009,36,0.0281,0,0.1878,0.2581,0.0925,0.0652,0.2339,0.0791,0.0002,10000,0.0186,5.0265,0.0005,0.1249,6,0.2911,0.3935,0.2948,0.6462,0.7103,0.1773,0.0639,0.2058,0.0864,0.1537,3.3526
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,7120,7120,29.3166,0.0111,28.5736,0.0875,28.372,29.3166,0.0111,28.6203,9.7683,9.6097,14,10,80,13.7119,14,4545,13.7424,0.6687,4338,17,0.0875,0.0875,10,17,0.7503,4338,4416.4,4385,4358,0.0875,0.0111,4456,0.0781,0,0.0958,4545,0,0,0.0138,0.1992,0.0001,1.7242,0.0112,0.0001,0.0055,80,0.1938,2,0.0074,0.0001,2,0.0415,0.0611,0,1.9698,1.004,0.0001,0,0.0198,0.0088,0,2.0649
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,15027,17354,36.8853,0.0001,29.8539,0.0021,28.5176,36.3352,0.0013,30.6136,82.7872,61.6392,1005,978,4798,1004.05,1001,751,994.926,0.1882,380,1038,0.0006,0.0006,975,1032,0.3942,338,499.84,435,398,0.0004,0.0056,535,0.0001,0.1024,0.0025,924,0.058,0.2525,0.1233,0.1066,0.1802,0.0869,0.3193,0.1668,0.0003,6500,0.0235,5.9545,0.0013,0.2418,7,0.4218,0.4281,0.4603,0.5312,1.3757,0.3089,0.2741,0.2159,0.0958,1.1269,3.0474
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17000,17000,59.0669,0.0117,57.5305,0.035,58.1688,59.0669,0.0117,59.0669,17.7512,18.056,33,27,200,33.4572,33,4287,32.9107,0.6302,3514,39,0.035,0.035,28,39,0.7266,3514,3854.75,3864,3754,0.035,0.0117,4287,0.0307,0.0001,0.04,4287,0.0001,0,0.025,0.1421,0.0001,1.2586,0.0118,0.0001,0.0021,200,0.1342,2,0.0031,0.0001,2,0.0429,0.0693,0,1.5963,1.0024,0.0002,0,0.0271,0.0131,0,2.1585
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,8010,8010,32.4942,0.0111,31.4722,0.0778,31.3501,32.4942,0.0111,31.4809,10.5497,10.4131,15,12,90,15.3671,15,4543,15.365,0.6625,4236,19,0.0778,0.0778,12,19,0.7487,4236,4362,4329,4298,0.0778,0.0111,4404,0.071,0,0.0849,4543,0,0,0.0173,0.1855,0.0001,1.7176,0.0112,0.0001,0.0049,90,0.1921,2,0.007,0.0001,2,0.039,0.0641,0,1.9129,1.0058,0.0001,0,0.0261,0.0152,0,2.0381
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,2343,2343,25.9397,0.0431,24.9297,0.0455,25.2758,25.9397,0.0457,25.4522,9.6703,8.7044,22,18,110,21.9929,22,4397,21.9929,0.5591,4227,27,0.0455,0.0455,18,27,0.6975,4227,4278.25,4256,4237,0.0455,0.0465,4356,0.0341,0.0009,0.0619,4397,0.0006,0,0.0277,0.1619,0.0019,1.1521,0.0469,0.0016,0.0088,110,0.162,2.789,0.0132,0.0025,3,0.112,0.1651,0.0156,1.5591,0.8309,0.004,0,0.0675,0.0394,0,2.8732
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,2343,2343,26.2152,0.0431,25.2032,0.0455,25.4038,26.2152,0.0456,26.0166,10.0267,9.0747,22,17,110,21.9697,22,4419,21.9015,0.5605,4192,26,0.0455,0.0455,18,27,0.704,4192,4277.375,4266,4227,0.0455,0.0465,4385,0.0359,0.0009,0.0568,4419,0.0006,0,0.0257,0.1617,0.0018,1.1488,0.0469,0.0014,0.0082,110,0.1625,2.8624,0.0137,0.0024,3,0.0992,0.1646,0.0149,1.563,0.8241,0.0033,0,0.0817,0.0486,0,2.8748
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,54263,54600,104.1667,0.0001,59.369,0.0005,59.1429,76.5,0.0005,66.7,580,541.35,2759,2674,12681,2632,2779,18,2508.18,0.2293,7,2824,0.0002,0.0002,2694,2809,0.3014,5,12.4356,11,9,0.0002,0.0017,15,0,0.0461,0.0008,31,0.0274,0,0.2051,0.3321,0.0919,0.0645,0.2337,0.0788,0.0001,13000,0.2359,5.038,0.0004,0.1228,6,0.2919,0.391,0.2953,0.7619,0.7093,0.1762,0.0638,0.2021,0.0842,0.1559,3.3507
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4450,4450,20.2036,0.011,19.7719,0.14,19.7117,20.2036,0.011,19.758,6.8891,6.3715,9,6,50,8.835,9,4646,8.9002,0.7049,4553,11,0.14,0.14,6,12,0.7737,4553,4584,4579,4555,0.14,0.011,4587,0.1245,0,0.1492,4646,0,0,0.0114,0.231,0.0001,1.9675,0.0112,0.0001,0.0088,50,0.2278,2,0.0119,0.0001,2,0.0366,0.0698,0,2.2224,0.9873,0.0001,0,0.034,0.0135,0,1.964
