@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.005425,0.994604,2.334539,68,13.122966,0.124774,553,8.754888,2.321942,-0.674054,0.022812,403.346335,19.937865,8.604235,2.378528,1.897653,2.979328,6.900542,0.885226,0.32715,1.214625,4.466809,231.881795,234079,128230.632653,4.372867,24039,0.42835,1.981107,1,47,0.923018
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.011894,0.988246,2.343092,32,33.954254,0.030192,1093,9.475733,2.315552,-0.035299,0.015858,254.232599,21.623595,9.354835,0.860448,1.240943,4.80862,3.875572,0.98921,0.324728,1.100994,3.874394,333.352679,718797,364354.477833,3.90288,19189,0.426786,1.913015,1,27,0.926504
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.01174,0.988397,2.342583,32,29.922092,0.035219,937,9.475733,2.315401,-0.058405,0.015857,254.232599,21.622883,9.354826,0.924092,1.273294,4.584824,3.965848,0.986054,0.324635,1.101049,3.875324,336.227721,618853,315045.374384,3.903807,19189,0.426879,1.932083,1,27,0.926504
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.854489,1.17029,2.439628,154,2.04644,0.47678,135,5.857981,2.855072,-1.643858,0.956603,130.301639,6.919871,1.864841,2.445016,1.499262,1.750986,17.684211,1.867133,0.612807,1.931658,0.364998,1.761134,1818,568.846262,1.444888,58,1.229695,3.242353,5,38,0.978071
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.844311,1.184397,2.658683,109,2.221557,0.652695,83,5.129283,3.148936,-2.540555,0.864639,85.809962,7.216897,1.935767,1.896642,1.192751,1.354917,17.389222,1.68967,0.732241,1.541775,0.467609,1.647402,826,275.116162,1.502487,35,1.128378,3.273939,5,28,0.860427
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0.875,1.142857,4.613636,1012,7.403409,5.755682,45,1.035221,5.272727,-56.443755,0.002828,46.584963,5.283019,1.000229,0.148638,0.919396,2.110857,20.852273,1.697772,0.272425,1.338086,0.050557,0.914622,356,160.973523,0.593023,6,0.216749,0.948206,1,45,0.863121
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0.871345,1.147651,4.391813,1012,7.169591,5.923977,45,1.035221,5.040268,-58.137527,0.002875,46.584963,5.050906,1.000236,0.150733,0.91173,2.042896,20.807018,1.817257,0.280654,1.312548,0.051791,0.913365,346,156.185338,0.604364,6,0.227696,1.09181,1,45,0.875472
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0.705761,1.41691,2.369684,36,12.741427,0.026063,1458,8.806302,3.357629,0.839824,0.033152,86.1418,18.362076,5.570396,4.518962,0.759847,3.818351,10.436214,1.537596,0.204988,1.249189,0.907263,28.568501,79800,41652.875,1.659975,9472,0.421997,1.876049,556,16,0.431226
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.854489,1.17029,2.439628,154,2.04644,0.47678,135,5.857981,2.855072,-1.643858,0.956603,130.301639,6.919871,1.864841,2.445016,1.499262,1.750986,17.684211,1.867133,0.612807,1.931658,0.364998,1.761134,1818,568.846262,1.444888,58,1.229695,3.242353,5,38,0.978071
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.922849,1.083601,4.27003,505,6.72997,1.557864,207,6.210112,4.62701,-12.818364,0.524348,163.18438,15.1888,3.085834,2.663326,0.954104,2.816521,20.189911,1.563305,0.50823,1.199419,2.365588,13.397576,8891,4514.982966,2.287016,701,0.23419,3.564783,5,37,0.928643
