@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.364781,324,0.166667,0.2,6.666667,6.666667,0,324,0.366667,3,30,324,30,30,0.091828,3
1-fullins-3-4.xml.watchless.minion.gz,1,0.364781,263,0.166667,0.2,6.666667,6.666667,0,263,0.366667,4,30,263,30,30,0.091828,4
1-fullins-4-4.xml.watchless.minion.gz,1,0.236605,263,0.096774,0.11828,12.752688,12.752688,0,263,0.344086,4,93,263,93,93,0.039056,4
1-fullins-4-5.xml.watchless.minion.gz,1,0.236605,184,0.096774,0.11828,12.752688,12.752688,0,184,0.344086,5,93,184,93,93,0.039056,5
1-fullins-5-4.xml.watchless.minion.gz,1,0.147531,263,0.053191,0.070922,23.028369,23.028369,0,263,0.336879,4,282,263,282,282,0.016686,4
1-fullins-5-5.xml.watchless.minion.gz,1,0.147531,184,0.053191,0.070922,23.028369,23.028369,0,184,0.336879,5,282,184,282,282,0.016686,5
1-fullins-5-6.xml.watchless.minion.gz,1,0.147531,169,0.053191,0.070922,23.028369,23.028369,0,169,0.336879,6,282,169,282,282,0.016686,6
1-insertions-4-3.xml.watchless.minion.gz,1,0.352067,324,0.074627,0.089552,6.925373,6.925373,0,324,0.328358,3,67,324,67,67,0,3
1-insertions-4-4.xml.watchless.minion.gz,1,0.352067,263,0.074627,0.089552,6.925373,6.925373,0,263,0.328358,4,67,263,67,67,0,4
1-insertions-5-4.xml.watchless.minion.gz,1,0.243809,263,0.039604,0.049505,12.148515,12.148515,0,263,0.331683,4,202,263,202,202,0,4
1-insertions-5-5.xml.watchless.minion.gz,1,0.243809,184,0.039604,0.049505,12.148515,12.148515,0,184,0.331683,5,202,184,202,202,0,5
1-insertions-5-6.xml.watchless.minion.gz,1,0.243809,169,0.039604,0.049505,12.148515,12.148515,0,169,0.331683,6,202,169,202,202,0,6
1-insertions-6-4.xml.watchless.minion.gz,1,0.159787,263,0.023064,0.029654,20.879736,20.879736,0,263,0.332784,4,607,263,607,607,0,4
1-insertions-6-5.xml.watchless.minion.gz,1,0.159787,184,0.023064,0.029654,20.879736,20.879736,0,184,0.332784,5,607,184,607,607,0,5
1-insertions-6-6.xml.watchless.minion.gz,1,0.159787,169,0.023064,0.029654,20.879736,20.879736,0,169,0.332784,6,607,169,607,607,0,6
1-insertions-6-7.xml.watchless.minion.gz,1,0.159787,154,0.023064,0.029654,20.879736,20.879736,0,154,0.332784,7,607,154,607,607,0,7
2-fullins-3-4.xml.watchless.minion.gz,1,0.331856,263,0.096154,0.134615,7.730769,7.730769,0,263,0.288462,4,52,263,52,52,0.063836,4
2-fullins-3-5.xml.watchless.minion.gz,1,0.331856,184,0.096154,0.134615,7.730769,7.730769,0,184,0.288462,5,52,184,52,52,0.063836,5
2-fullins-4-4.xml.watchless.minion.gz,1,0.205428,263,0.04717,0.061321,15.292453,15.292453,0,263,0.259434,4,212,263,212,212,0.021882,4
2-fullins-4-5.xml.watchless.minion.gz,1,0.205428,184,0.04717,0.061321,15.292453,15.292453,0,184,0.259434,5,212,184,212,212,0.021882,5
2-fullins-4-6.xml.watchless.minion.gz,1,0.205428,169,0.04717,0.061321,15.292453,15.292453,0,169,0.259434,6,212,169,212,212,0.021882,6
2-fullins-5-4.xml.watchless.minion.gz,1,0.122158,263,0.021127,0.029343,28.640845,28.640845,0,263,0.252347,4,852,263,852,852,0.007851,4
2-fullins-5-5.xml.watchless.minion.gz,1,0.122158,184,0.021127,0.029343,28.640845,28.640845,0,184,0.252347,5,852,184,852,852,0.007851,5
2-fullins-5-6.xml.watchless.minion.gz,1,0.122158,169,0.021127,0.029343,28.640845,28.640845,0,169,0.252347,6,852,169,852,852,0.007851,6
2-fullins-5-7.xml.watchless.minion.gz,1,0.122158,154,0.021127,0.029343,28.640845,28.640845,0,154,0.252347,7,852,154,852,852,0.007851,7
2-insertions-3-3.xml.watchless.minion.gz,1,0.458347,324,0.081081,0.108108,3.891892,3.891892,0,324,0.243243,3,37,324,37,37,0,3
2-insertions-3-4.xml.watchless.minion.gz,1,0.458347,263,0.081081,0.108108,3.891892,3.891892,0,263,0.243243,4,37,263,37,37,0,4
2-insertions-4-3.xml.watchless.minion.gz,1,0.340533,324,0.033557,0.053691,7.261745,7.261745,0,324,0.248322,3,149,324,149,149,0,3
2-insertions-4-4.xml.watchless.minion.gz,1,0.340533,263,0.033557,0.053691,7.261745,7.261745,0,263,0.248322,4,149,263,149,149,0,4
2-insertions-4-5.xml.watchless.minion.gz,1,0.340533,184,0.033557,0.053691,7.261745,7.261745,0,184,0.248322,5,149,184,149,149,0,5
2-insertions-5-3.xml.watchless.minion.gz,1,0.229052,324,0.015075,0.020101,13.18593,13.18593,0,324,0.249581,3,597,324,597,597,0,3
2-insertions-5-4.xml.watchless.minion.gz,1,0.229052,263,0.015075,0.020101,13.18593,13.18593,0,263,0.249581,4,597,263,597,597,0,4
2-insertions-5-5.xml.watchless.minion.gz,1,0.229052,184,0.015075,0.020101,13.18593,13.18593,0,184,0.249581,5,597,184,597,597,0,5
2-insertions-5-6.xml.watchless.minion.gz,1,0.229052,169,0.015075,0.020101,13.18593,13.18593,0,169,0.249581,6,597,169,597,597,0,6
3-fullins-3-5.xml.watchless.minion.gz,1,0.3083,184,0.075,0.0875,8.65,8.65,0,184,0.2375,5,80,184,80,80,0.051742,5
3-fullins-3-6.xml.watchless.minion.gz,1,0.3083,169,0.075,0.0875,8.65,8.65,0,169,0.2375,6,80,169,80,80,0.051742,6
3-fullins-4-5.xml.watchless.minion.gz,1,0.185323,184,0.02716,0.037037,17.402469,17.402469,0,184,0.207407,5,405,184,405,405,0.01485,5
3-fullins-4-6.xml.watchless.minion.gz,1,0.185323,169,0.02716,0.037037,17.402469,17.402469,0,169,0.207407,6,405,169,405,405,0.01485,6
3-fullins-4-7.xml.watchless.minion.gz,1,0.185323,154,0.02716,0.037037,17.402469,17.402469,0,154,0.207407,7,405,154,405,405,0.01485,7
3-fullins-5-5.xml.watchless.minion.gz,1,0.10708,184,0.010345,0.014286,33.252217,33.252217,0,184,0.201478,5,2030,184,2030,2030,0.004678,5
3-fullins-5-6.xml.watchless.minion.gz,1,0.10708,169,0.010345,0.014286,33.252217,33.252217,0,169,0.201478,6,2030,169,2030,2030,0.004678,6
3-fullins-5-7.xml.watchless.minion.gz,1,0.10708,154,0.010345,0.014286,33.252217,33.252217,0,154,0.201478,7,2030,154,2030,2030,0.004678,7
3-fullins-5-8.xml.watchless.minion.gz,1,0.10708,136,0.010345,0.014286,33.252217,33.252217,0,136,0.201478,8,2030,136,2030,2030,0.004678,8
3-insertions-3-3.xml.watchless.minion.gz,1,0.453656,324,0.053571,0.071429,3.928571,3.928571,0,324,0.196429,3,56,324,56,56,0,3
3-insertions-3-4.xml.watchless.minion.gz,1,0.453656,263,0.053571,0.071429,3.928571,3.928571,0,263,0.196429,4,56,263,56,56,0,4
3-insertions-4-3.xml.watchless.minion.gz,1,0.334833,324,0.017794,0.02847,7.44484,7.44484,0,324,0.199288,3,281,324,281,281,0,3
3-insertions-4-4.xml.watchless.minion.gz,1,0.334833,263,0.017794,0.02847,7.44484,7.44484,0,263,0.199288,4,281,263,281,281,0,4
3-insertions-4-5.xml.watchless.minion.gz,1,0.334833,184,0.017794,0.02847,7.44484,7.44484,0,184,0.199288,5,281,184,281,281,0,5
3-insertions-5-3.xml.watchless.minion.gz,1,0.221368,324,0.006401,0.01138,13.790896,13.790896,0,324,0.199858,3,1406,324,1406,1406,0,3
3-insertions-5-4.xml.watchless.minion.gz,1,0.221368,263,0.006401,0.01138,13.790896,13.790896,0,263,0.199858,4,1406,263,1406,1406,0,4
3-insertions-5-5.xml.watchless.minion.gz,1,0.221368,184,0.006401,0.01138,13.790896,13.790896,0,184,0.199858,5,1406,184,1406,1406,0,5
3-insertions-5-6.xml.watchless.minion.gz,1,0.221368,169,0.006401,0.01138,13.790896,13.790896,0,169,0.199858,6,1406,169,1406,1406,0,6
4-fullins-3-6.xml.watchless.minion.gz,1,0.289676,169,0.061404,0.061404,9.491228,9.491228,0,169,0.201754,6,114,169,114,114,0.044685,6
4-fullins-3-7.xml.watchless.minion.gz,1,0.289676,154,0.061404,0.061404,9.491228,9.491228,0,154,0.201754,7,114,154,114,114,0.044685,7
4-fullins-4-6.xml.watchless.minion.gz,1,0.170563,169,0.018841,0.021739,19.275362,19.275362,0,169,0.172464,6,690,169,690,690,0.011068,6
4-fullins-4-7.xml.watchless.minion.gz,1,0.170563,154,0.018841,0.021739,19.275362,19.275362,0,154,0.172464,7,690,154,690,690,0.011068,7
4-fullins-4-8.xml.watchless.minion.gz,1,0.170563,136,0.018841,0.021739,19.275362,19.275362,0,136,0.172464,8,690,136,690,690,0.011068,8
4-fullins-5-5.xml.watchless.minion.gz,1,0.27407,184,0.00603,0.007477,37.291365,37.291365,0,184,0.167631,5,4146,184,4146,4146,0.003157,5
4-fullins-5-6.xml.watchless.minion.gz,1,0.27407,169,0.00603,0.007477,37.291365,37.291365,0,169,0.167631,6,4146,169,4146,4146,0.003157,6
4-fullins-5-7.xml.watchless.minion.gz,1,0.27407,154,0.00603,0.007477,37.291365,37.291365,0,154,0.167631,7,4146,154,4146,4146,0.003157,7
4-fullins-5-8.xml.watchless.minion.gz,1,0.27407,136,0.00603,0.007477,37.291365,37.291365,0,136,0.167631,8,4146,136,4146,4146,0.003157,8
4-insertions-3-3.xml.watchless.minion.gz,1,0.450984,324,0.037975,0.050633,3.949367,3.949367,0,324,0.164557,3,79,324,79,79,0,3
4-insertions-3-4.xml.watchless.minion.gz,1,0.450984,263,0.037975,0.050633,3.949367,3.949367,0,263,0.164557,4,79,263,79,79,0,4
4-insertions-4-3.xml.watchless.minion.gz,1,0.331519,324,0.010526,0.016842,7.557895,7.557895,0,324,0.166316,3,475,324,475,475,0,3
4-insertions-4-4.xml.watchless.minion.gz,1,0.331519,263,0.010526,0.016842,7.557895,7.557895,0,263,0.166316,4,475,263,475,475,0,4
4-insertions-4-5.xml.watchless.minion.gz,1,0.331519,184,0.010526,0.016842,7.557895,7.557895,0,184,0.166316,5,475,184,475,475,0,5
5-fullins-3-6.xml.watchless.minion.gz,1,0.274114,169,0.051948,0.045455,10.285714,10.285714,0,169,0.175325,6,154,169,154,154,0.039801,6
5-fullins-3-7.xml.watchless.minion.gz,1,0.274114,154,0.051948,0.045455,10.285714,10.285714,0,154,0.175325,7,154,154,154,154,0.039801,7
5-fullins-3-8.xml.watchless.minion.gz,1,0.274114,136,0.051948,0.045455,10.285714,10.285714,0,136,0.175325,8,154,136,154,154,0.039801,8
5-fullins-4-6.xml.watchless.minion.gz,1,0.158896,169,0.013825,0.013825,21.004608,21.004608,0,169,0.147465,6,1085,169,1085,1085,0.008712,6
5-fullins-4-7.xml.watchless.minion.gz,1,0.158896,154,0.013825,0.013825,21.004608,21.004608,0,154,0.147465,7,1085,154,1085,1085,0.008712,7
5-fullins-4-8.xml.watchless.minion.gz,1,0.158896,136,0.013825,0.013825,21.004608,21.004608,0,136,0.147465,8,1085,136,1085,1085,0.008712,8
5-fullins-4-9.xml.watchless.minion.gz,1,0.158896,96,0.013825,0.013825,21.004608,21.004608,0,96,0.147465,9,1085,96,1085,1085,0.008712,9
