@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.364781,324,0.166667,0.2,6.666667,6.666667,0,324,0.366667,3,30,324,30,30,0.091828,3,100,0.222222,0.366667,3,0.066667,0.066667,324,0.068493,33,32,3.24,324,3,0.133333,2.054805,35
1-fullins-3-4.xml.watchless.minion.gz,1,0.364781,263,0.166667,0.2,6.666667,6.666667,0,263,0.366667,4,30,263,30,30,0.091828,4,100,0.222222,0.366667,4,0.066667,0.066667,263,0.068493,27,26,2.63,263,4,0.133333,2.054805,27
1-fullins-4-4.xml.watchless.minion.gz,1,0.236605,263,0.096774,0.11828,12.752688,12.752688,0,263,0.344086,4,93,263,93,93,0.039056,4,593,0.137126,0.344086,4,0.021505,0.021505,263,0.059392,27,26,0.443508,263,4,0.064516,5.523471,27
1-fullins-4-5.xml.watchless.minion.gz,1,0.236605,184,0.096774,0.11828,12.752688,12.752688,0,184,0.344086,5,93,184,93,93,0.039056,5,593,0.137126,0.344086,5,0.021505,0.021505,184,0.059392,21,17,0.310287,184,5,0.064516,5.523471,23
1-fullins-5-4.xml.watchless.minion.gz,1,0.147531,263,0.053191,0.070922,23.028369,23.028369,0,263,0.336879,4,282,263,282,282,0.016686,4,3247,0.081661,0.336879,4,0.007092,0.007092,263,0.04681,27,26,0.080998,263,4,0.028369,13.20055,27
1-fullins-5-5.xml.watchless.minion.gz,1,0.147531,184,0.053191,0.070922,23.028369,23.028369,0,184,0.336879,5,282,184,282,282,0.016686,5,3247,0.081661,0.336879,5,0.007092,0.007092,184,0.04681,21,17,0.056668,184,5,0.028369,13.20055,23
1-fullins-5-6.xml.watchless.minion.gz,1,0.147531,169,0.053191,0.070922,23.028369,23.028369,0,169,0.336879,6,282,169,282,282,0.016686,6,3247,0.081661,0.336879,6,0.007092,0.007092,169,0.04681,18,14,0.052048,169,6,0.028369,13.20055,19
1-insertions-4-3.xml.watchless.minion.gz,1,0.352067,324,0.074627,0.089552,6.925373,6.925373,0,324,0.328358,3,67,324,67,67,0,3,232,0.103364,0.328358,3,0.029851,0.029851,324,0.040141,33,32,1.396552,324,3,0.059701,2.689468,35
1-insertions-4-4.xml.watchless.minion.gz,1,0.352067,263,0.074627,0.089552,6.925373,6.925373,0,263,0.328358,4,67,263,67,67,0,4,232,0.103364,0.328358,4,0.029851,0.029851,263,0.040141,27,26,1.133621,263,4,0.059701,2.689468,27
1-insertions-5-4.xml.watchless.minion.gz,1,0.243809,263,0.039604,0.049505,12.148515,12.148515,0,263,0.331683,4,202,263,202,202,0,4,1227,0.060141,0.331683,4,0.009901,0.009901,263,0.032959,27,26,0.214344,263,4,0.024752,6.657663,27
