@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,6.074257
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,11.514184
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,4.325
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,3.462687
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1.964286
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,6.592965
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,3.72242
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,6.592965
normalized-37s-smv.xml.mzn_AND_NODATA,1,2.535294
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,10.439868
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,10.439868
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,14.320423
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,8.701235
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,10.439868
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,3.778947
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,5.142857
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,5.142857
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,6.074257
normalized-46s-smv.xml.mzn_AND_NODATA,1,1.723945
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,3.72242
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,3.865385
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1.3
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,9.637681
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,14.320423
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,6.895448
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,6.895448
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,1.5
normalized-aim-100-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-100-2-0-sat-3_ext.xml.mzn_AND_NODATA,1,1.333333
normalized-aim-100-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.326667
normalized-4-insertions-4-3.xml.mzn_AND_NODATA,1,3.778947
normalized-aim-100-2-0-3.xml.mzn_AND_NODATA,1,1.5
normalized-aim-100-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2
normalized-25s-smv.xml.mzn_AND_NODATA,1,1.868099
normalized-44s-smv.xml.mzn_AND_NODATA,1,1.278788
normalized-aim-100-3-4-2.xml.mzn_AND_NODATA,1,2.2
normalized-aim-100-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-100-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-100-2-0-1.xml.mzn_AND_NODATA,1,1.5
normalized-aim-200-1-6-2.xml.mzn_AND_NODATA,1,1.3
normalized-aim-200-1-6-3.xml.mzn_AND_NODATA,1,1.3
normalized-4-fullins-3-6.xml.mzn_AND_NODATA,1,4.745614
normalized-aim-200-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.198333
normalized-3-insertions-5-3.xml.mzn_AND_NODATA,1,6.895448
normalized-2-insertions-5-5.xml.mzn_AND_NODATA,1,6.592965
normalized-aim-200-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.2
normalized-4-fullins-4-7.xml.mzn_AND_NODATA,1,9.637681
normalized-aim-100-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.33
normalized-aim-200-1-6-unsat-4_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-200-1-6-sat-1_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-200-1-6-unsat-2_ext.xml.mzn_AND_NODATA,1,1.195
normalized-aim-200-2-0-sat-2_ext.xml.mzn_AND_NODATA,1,1.331667
normalized-aim-200-1-6-sat-4_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-200-2-0-unsat-2_ext.xml.mzn_AND_NODATA,1,1.331667
normalized-aim-200-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.331667
normalized-4-insertions-3-3.xml.mzn_AND_NODATA,1,1.974684
normalized-5-fullins-4-8.xml.mzn_AND_NODATA,1,10.502304
normalized-aim-100-2-0-unsat-3_ext.xml.mzn_AND_NODATA,1,1.326667
normalized-aim-100-1-6-2.xml.mzn_AND_NODATA,1,1.3
normalized-aim-100-1-6-sat-3_ext.xml.mzn_AND_NODATA,1,1.2
normalized-2-fullins-5-5.xml.mzn_AND_NODATA,1,14.320423
normalized-aim-200-3-4-sat-3_ext.xml.mzn_AND_NODATA,1,1.798333
normalized-aim-50-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.173333
normalized-aim-100-3-4-3.xml.mzn_AND_NODATA,1,2.2
normalized-aim-200-2-0-1.xml.mzn_AND_NODATA,1,1.5
normalized-43s-smv.xml.mzn_AND_NODATA,1,1.966621
normalized-aim-200-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-100-1-6-3.xml.mzn_AND_NODATA,1,1.3
normalized-aim-100-1-6-1.xml.mzn_AND_NODATA,1,1.3
normalized-aim-200-1-6-sat-2_ext.xml.mzn_AND_NODATA,1,1.2
normalized-aim-200-6-0-sat-4_ext.xml.mzn_AND_NODATA,1,2.636667
normalized-3-fullins-5-7.xml.mzn_AND_NODATA,1,16.626108
normalized-aim-200-2-0-2.xml.mzn_AND_NODATA,1,1.5
normalized-3-fullins-4-6.xml.mzn_AND_NODATA,1,8.701235
normalized-aim-50-2-0-3.xml.mzn_AND_NODATA,1,1.5
normalized-aim-200-2-0-4.xml.mzn_AND_NODATA,1,1.5
normalized-aim-100-2-0-sat-4_ext.xml.mzn_AND_NODATA,1,1.33
normalized-aim-200-3-4-sat-1_ext.xml.mzn_AND_NODATA,1,1.798333
normalized-aim-100-2-0-2.xml.mzn_AND_NODATA,1,1.5
normalized-army8-9ls.xml.mzn_AND_NODATA,1,1.509091
normalized-aim-100-2-0-unsat-4_ext.xml.mzn_AND_NODATA,1,1.333333
normalized-aim-200-2-0-unsat-1_ext.xml.mzn_AND_NODATA,1,1.331667
normalized-5-fullins-4-7.xml.mzn_AND_NODATA,1,10.502304
normalized-army13-24bt.xml.mzn_AND_NODATA,1,2.214286
normalized-aim-100-1-6-unsat-3_ext.xml.mzn_AND_NODATA,1,1.19
normalized-aim-200-3-4-3.xml.mzn_AND_NODATA,1,2.2
normalized-anna-10.xml.mzn_AND_NODATA,1,3.572464
normalized-aim-200-2-0-sat-1_ext.xml.mzn_AND_NODATA,1,1.328333
normalized-army12-21bt.xml.mzn_AND_NODATA,1,2.200935
