@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4,12.148515,1,4,0.392949,2,1,4,0,0,808,1227,0,1227,0,2.997733,404,0,0.799295,79.37575,0,2,2454,0,2.997733,1227,0.548023,0,0
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,11.514184,0.086849,23.028369,4.643856,23.028369,1,5,0.271714,2.321928,1,4.643856,0,0,1410,3247,0,3247,0,5.028743,654.783723,0,0.382381,76.623423,0,2.321928,6494,0,5.028743,3247,0.57323,0,0
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,4.325,0.231214,8.65,4.643856,8.65,1,5,0.688786,2.321928,1,4.643856,0,0,400,346,0,346,0,2.712249,185.754248,0,0.896038,55.102877,0,2.321928,692,0,2.712249,346,0.461017,0,0
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,3.462687,0.288793,6.925373,4,6.925373,1,4,0.638606,2,1,4,0,0,268,232,0,232,0,2.049091,134,0,0.263777,42.78658,0,2,464,0,2.049091,232,0.38835,0,0
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1.964286,0.509091,3.928571,3.169925,3.928571,1,3,0.790584,1.584963,1,3.169925,0,0,168,110,0,110,0,0.83827,88.7579,-1,0.129234,44.272727,-1,1.584963,220,0,0.83827,110,0.262851,0,0
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4,13.18593,1,4,0.357065,2,1,4,0,0,2388,3936,0,3936,0,2.650763,1194,0,0.611723,213.168058,0,2,7872,0,2.650763,3936,0.644545,0,0
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,4,7.44484,1,4,0.585998,2,1,4,0,0,1124,1046,0,1046,0,1.588719,562,0,0.148968,164.665368,0,2,2092,0,1.588719,1046,0.491696,0,0
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,3.169925,13.18593,1,3,0.267799,1.584963,1,3.169925,0,0,1791,3936,0,3936,0,2.650763,946.222613,-1,0.328641,159.876043,-1,1.584963,7872,0,2.650763,3936,0.644545,0,0
normalized-37s-smv.xml.mzn_AND_NODATA,1,2.535294,0.394432,6.746218,2.649652,6.378151,1,1.942857,0.380231,0.996886,1,11,0,0.119471,2312,3017,1.109068,3846.78752,0.315997,2.449867,1122,0.659001,1.031375,452.475211,0.031238,1,9051,0,2.489038,3017,1.41051,0,0
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4.643856,20.879736,1,5,0.31051,2.321928,1,4.643856,0,0,3035,6337,0,6337,0,3.833265,1409.410354,0.000001,0.613743,188.479618,0.000001,2.321928,12674,0,3.833265,6337,0.701374,0,0
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4,20.879736,1,4,0.248408,2,1,4,0,0,2428,6337,0,6337,0,3.833265,1214,0,0.318088,150.783695,0,2,12674,0,3.833265,6337,0.701374,0,0
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4,28.640845,1,4,0.181949,2,1,4,0,0,3408,12201,0,12201,0,5.055056,1704,0,0.04307,155.020452,0,2,24402,0,5.055056,12201,0.713313,0,0
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,4.643856,17.402469,1,5,0.362095,2.321928,1,4.643856,0,0,2025,3524,0,3524,0,3.790965,940.380878,0,0.741247,146.648435,0,2.321928,7048,0,3.790965,3524,0.623264,0,0
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,5.169925,20.879736,1,6,0.372612,2.584963,1,5.169925,0,0,3642,6337,0,6337,0,3.833265,1569.072238,-1,0.801339,226.175542,-1,2.584963,12674,0,3.833265,6337,0.701374,0,0
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,4,7.557895,1,4,0.572503,2,1,4,0,0,1900,1795,0,1795,0,1.408585,950,0,0.110769,271.938911,0,2,3590,0,1.408585,1795,0.531234,0,0
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.169925,10.285714,1,6,0.756897,2.584963,1,5.169925,0,0,924,792,0,792,0,2.448476,398.084225,0,1.061591,116.562068,0,2.584963,1584,0,2.448476,792,0.57589,0,0
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.61471,10.285714,1,7,0.883046,2.807355,1,5.61471,0,0,1078,792,0,792,0,2.448476,432.332658,0,1.061591,135.98908,0,2.807355,1584,0,2.448476,792,0.57589,0,0
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4.643856,12.148515,1,5,0.491187,2.321928,1,4.643856,0,0,1010,1227,0,1227,0,2.997733,469.029475,-1,0.998231,99.219688,-1,2.321928,2454,0,2.997733,1227,0.548023,0,0
normalized-46s-smv.xml.mzn_AND_NODATA,1,1.723945,0.580065,6.377792,3.649874,10.408189,1,1.801489,0.378053,0.985662,1,13,0,0.221416,2904,2779,1.350737,4212.421278,0.71894,3.379324,1292,0.982006,2.301525,609.421674,0.067324,1,8337,0,3.302871,2779,2.315368,0,0
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,3.169925,7.44484,1,3,0.439498,1.584963,1,3.169925,0,0,843,1046,0,1046,0,1.588719,445.374463,0,0.936117,123.499026,0,1.584963,2092,0,1.588719,1046,0.491696,0,0
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,3.865385,0.258706,7.730769,4,7.730769,1,4,0.590743,2,1,4,0,0,208,201,0,201,0,2.609496,104,0,0.890492,30.718615,0,2,402,0,2.609496,201,0.390634,0,0
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,1.3,0.769231,3.4,2.615385,5.62,1,2,0.604333,1,1,3,0,0,400,260,0.961237,353.594,0,1.157745,200,0.186016,0.346981,120.866667,0,1,780,0,1.803639,260,0.214677,0,0
