@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4,12.148515,1,4,0.392949
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,11.514184,0.086849,23.028369,4.643856,23.028369,1,5,0.271714
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,4.325,0.231214,8.65,4.643856,8.65,1,5,0.688786
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,3.462687,0.288793,6.925373,4,6.925373,1,4,0.638606
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,1.964286,0.509091,3.928571,3.169925,3.928571,1,3,0.790584
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,4,13.18593,1,4,0.357065
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,4,7.44484,1,4,0.585998
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,6.592965,0.151677,13.18593,3.169925,13.18593,1,3,0.267799
normalized-37s-smv.xml.mzn_AND_NODATA,1,2.535294,0.394432,6.746218,2.649652,6.378151,1,1.942857,0.380231
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4.643856,20.879736,1,5,0.31051
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,4,20.879736,1,4,0.248408
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,14.320423,0.06983,28.640845,4,28.640845,1,4,0.181949
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,8.701235,0.114926,17.402469,4.643856,17.402469,1,5,0.362095
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,10.439868,0.095787,20.879736,5.169925,20.879736,1,6,0.372612
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,3.778947,0.264624,7.557895,4,7.557895,1,4,0.572503
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.169925,10.285714,1,6,0.756897
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,5.142857,0.194444,10.285714,5.61471,10.285714,1,7,0.883046
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,6.074257,0.164629,12.148515,4.643856,12.148515,1,5,0.491187
normalized-46s-smv.xml.mzn_AND_NODATA,1,1.723945,0.580065,6.377792,3.649874,10.408189,1,1.801489,0.378053
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,3.72242,0.268642,7.44484,3.169925,7.44484,1,3,0.439498
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,3.865385,0.258706,7.730769,4,7.730769,1,4,0.590743
