@RELATION 'feature_values_premarshalling_astar_2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE container-density NUMERIC
@ATTRIBUTE group-same-mean NUMERIC
@ATTRIBUTE stacks NUMERIC
@ATTRIBUTE group-same-stdev NUMERIC
@ATTRIBUTE tiers NUMERIC
@ATTRIBUTE overstowing-stack-pct NUMERIC
@ATTRIBUTE stack-tier-ratio NUMERIC
@ATTRIBUTE group-same-min NUMERIC
@ATTRIBUTE group-same-max NUMERIC
@ATTRIBUTE bflb NUMERIC
@ATTRIBUTE empty-stack-pct NUMERIC
@ATTRIBUTE overstowage-pct NUMERIC
@ATTRIBUTE top-good-min NUMERIC
@ATTRIBUTE top-good-stdev NUMERIC
@ATTRIBUTE top-good-mean NUMERIC
@ATTRIBUTE top-good-max NUMERIC

@DATA
BF1_cpmp_16_5_48_10_29_1,1,0.6,4.36364,16,1.55346,5,625,0.3125,0,6,29,0.0625,0.3625,2,2.00998,4.6,8
BF1_cpmp_16_5_48_10_29_12,1,0.6,4.36364,16,1.61091,5,0.5625,0.3125,0,7,29,0.1875,0.3625,2,2.26623,4.55556,9
BF1_cpmp_16_5_48_10_29_14,1,0.6,4.36364,16,1.72008,5,625,0.3125,0,7,29,0.1875,0.3625,2,1.84662,4.3,7
BF1_cpmp_16_5_48_10_29_15,1,0.6,4.36364,16,1.61091,5,0.5,0.3125,0,6,29,0.0625,0.3625,2,2.29129,3.5,9
BF1_cpmp_16_5_48_10_29_17,1,0.6,4.36364,16,1.55346,5,0.5625,0.3125,0,6,29,125,0.3625,2,2.44949,4.66667,10
BF1_cpmp_16_5_48_10_29_18,1,0.6,4.36364,16,1.55346,5,625,0.3125,0,6,29,0.0625,0.3625,2,1.85742,4.5,8
BF1_cpmp_16_5_48_10_29_19,1,0.6,4.36364,16,1.77214,5,0.5625,0.3125,0,7,29,0.0625,0.3625,2,2.10819,5.33333,10
BF1_cpmp_16_5_48_10_29_20,1,0.6,4.36364,16,1.55346,5,625,0.3125,0,6,29,125,0.3625,2,2.66271,4.9,10
BF1_cpmp_16_5_48_10_29_3,1,0.6,4.36364,16,1.49379,5,0.75,0.3125,0,6,29,125,0.3625,2,2.28522,4.33333,9
BF1_cpmp_16_5_48_10_29_4,1,0.6,4.36364,16,1.49379,5,625,0.3125,0,6,29,0.1875,0.3625,2,2.09762,5,9
BF1_cpmp_16_5_48_10_29_5,1,0.6,4.36364,16,1.72008,5,0.5625,0.3125,0,7,29,125,0.3625,2,2,5,8
BF1_cpmp_16_5_48_10_29_6,1,0.6,4.36364,16,1.49379,5,0.75,0.3125,0,6,29,0.25,0.3625,2,1.65622,3.91667,7
BF1_cpmp_16_5_48_10_29_7,1,0.6,4.36364,16,1.43164,5,625,0.3125,0,5,29,0.0625,0.3625,2,2.05183,4.3,8
BF1_cpmp_16_5_48_10_29_8,1,0.6,4.36364,16,1.55346,5,0.5625,0.3125,0,6,29,125,0.3625,2,2.00616,4.55556,9
BF1_cpmp_16_5_48_10_29_9,1,0.6,4.36364,16,1.91988,5,0.75,0.3125,0,6,29,125,0.3625,2,1.84089,4.66667,8
BF10_cpmp_16_8_77_16_58_13,1,0.601562,4.52941,16,1.37702,8,625,0.5,0,6,58,0.1875,0.453125,2,3.4641,8,12
BF10_cpmp_16_8_77_16_58_3,1,0.601562,4.52941,16,1.57621,8,625,0.5,0,8,58,0.1875,0.453125,3,3.61801,6.9,15
BF10_cpmp_16_8_77_16_58_8,1,0.601562,4.52941,16,1.33362,8,625,0.5,0,6,58,0.25,0.453125,2,3.36006,6.1,12
BF11_cpmp_16_8_77_31_47_10,1,0.601562,2.40625,16,0.896499,8,0.75,0.5,0,5,49,0,0.367188,2,7.32386,11.8333,26
BF11_cpmp_16_8_77_31_47_11,1,0.601562,2.40625,16,1.34302,8,0.9375,0.5,0,5,49,0,0.367188,2,6.05383,10.8667,23
BF11_cpmp_16_8_77_31_47_16,1,0.601562,2.40625,16,0.963696,8,875,0.5,0,5,51,0,0.367188,2,4.39852,10.2857,17
BF11_cpmp_16_8_77_31_47_6,1,0.601562,2.40625,16,1.19529,8,1,0.5,0,7,51,0,0.367188,2,6.99107,12.5,25
BF11_cpmp_16_8_77_31_47_7,1,0.601562,2.40625,16,1.08568,8,0.9375,0.5,0,5,49,0,0.367188,2,6.9519,11.7333,26
BF12_cpmp_16_8_77_31_58_14,1,0.601562,2.40625,16,1.08568,8,0.75,0.5,0,6,58,125,0.453125,3,7.74417,14.1667,29
BF17_cpmp_20_5_60_12_36_1,1,0.6,4.61538,20,1.54613,5,0.55,0.25,0,7,36,0.1,0.36,2,3.11223,6.36364,12
BF17_cpmp_20_5_60_12_36_10,1,0.6,4.61538,20,1.68881,5,0.6,0.25,0,8,36,0.15,0.36,2,2.48328,6,11
BF17_cpmp_20_5_60_12_36_11,1,0.6,4.61538,20,1.59511,5,0.65,0.25,0,7,37,0.05,0.36,2,2.33826,4.61538,10
BF17_cpmp_20_5_60_12_36_12,1,0.6,4.61538,20,1.59511,5,0.65,0.25,0,7,36,0.05,0.36,2,2.69341,5.23077,10
BF17_cpmp_20_5_60_12_36_15,1,0.6,4.61538,20,1.77757,5,0.65,0.25,0,8,36,0.25,0.36,2,2.46394,5.92308,11
BF17_cpmp_20_5_60_12_36_16,1,0.6,4.61538,20,1.54613,5,0.65,0.25,0,7,36,0.15,0.36,2,2.70656,5.53846,11
BF17_cpmp_20_5_60_12_36_17,1,0.6,4.61538,20,1.49556,5,0.65,0.25,0,6,36,0.15,0.36,3,2.06119,5.46154,10
BF17_cpmp_20_5_60_12_36_2,1,0.6,4.61538,20,1.82033,5,0.6,0.25,0,8,36,0.05,0.36,2,2.34965,5.25,10
BF17_cpmp_20_5_60_12_36_20,1,0.6,4.61538,20,1.77757,5,0.7,0.25,0,8,36,0.1,0.36,2,3.26156,6.07143,12
BF17_cpmp_20_5_60_12_36_3,1,0.6,4.61538,20,1.54613,5,0.65,0.25,0,7,37,0.05,0.36,2,2.64239,5.30769,10
BF17_cpmp_20_5_60_12_36_4,1,0.6,4.61538,20,1.68881,5,0.55,0.25,0,7,37,0.15,0.36,2,1.97086,4.45455,7
BF17_cpmp_20_5_60_12_36_5,1,0.6,4.61538,20,1.49556,5,0.75,0.25,0,7,37,0.05,0.36,2,2.86279,5.73333,11
BF17_cpmp_20_5_60_12_36_6,1,0.6,4.61538,20,1.49556,5,0.75,0.25,0,7,36,0.05,0.36,2,2.47656,5,10
BF17_cpmp_20_5_60_12_36_7,1,0.6,4.61538,20,1.59511,5,0.55,0.25,0,7,36,0.05,0.36,2,2.31059,5.54545,9
BF17_cpmp_20_5_60_12_36_8,1,0.6,4.61538,20,2.13175,5,0.75,0.25,0,8,36,0.1,0.36,2,2.79205,4.93333,11
BF18_cpmp_20_5_60_12_45_1,1,0.6,4.61538,20,1.4432,5,0.7,0.25,0,6,45,0.25,0.45,2,3.15015,5.92857,11
BF18_cpmp_20_5_60_12_45_12,1,0.6,4.61538,20,1.54613,5,0.6,0.25,0,7,45,0.3,0.45,2,2.71825,5.33333,11
BF18_cpmp_20_5_60_12_45_13,1,0.6,4.61538,20,1.68881,5,0.6,0.25,0,7,45,0.4,0.45,2,2.8419,6.41667,11
BF18_cpmp_20_5_60_12_45_14,1,0.6,4.61538,20,1.59511,5,0.65,0.25,0,7,45,0.35,0.45,3,3.07307,7.30769,12
BF18_cpmp_20_5_60_12_45_15,1,0.6,4.61538,20,1.59511,5,0.6,0.25,0,7,45,0.4,0.45,2,2.65623,5.33333,10
BF18_cpmp_20_5_60_12_45_16,1,0.6,4.61538,20,1.54613,5,0.6,0.25,0,7,45,0.3,0.45,2,2.99537,5.83333,12
BF18_cpmp_20_5_60_12_45_17,1,0.6,4.61538,20,1.59511,5,0.65,0.25,0,7,45,0.3,0.45,2,3.19763,5.92308,10
BF18_cpmp_20_5_60_12_45_18,1,0.6,4.61538,20,1.68881,5,0.6,0.25,0,7,45,0.3,0.45,2,2.81242,6.58333,11
BF18_cpmp_20_5_60_12_45_19,1,0.6,4.61538,20,1.54613,5,0.65,0.25,0,7,45,0.35,0.45,2,2.99704,6.69231,11
BF18_cpmp_20_5_60_12_45_2,1,0.6,4.61538,20,1.59511,5,0.6,0.25,0,7,45,0.3,0.45,4,2.92855,7.08333,12
BF18_cpmp_20_5_60_12_45_3,1,0.6,4.61538,20,1.73376,5,0.6,0.25,0,7,45,0.3,0.45,2,2.71186,5.25,11
BF18_cpmp_20_5_60_12_45_4,1,0.6,4.61538,20,1.4432,5,0.6,0.25,0,6,45,0.25,0.45,2,2.85287,5.83333,12
BF18_cpmp_20_5_60_12_45_5,1,0.6,4.61538,20,2.20274,5,0.6,0.25,0,9,45,0.3,0.45,2,2.54406,5.16667,9
BF18_cpmp_20_5_60_12_45_6,1,0.6,4.61538,20,1.49556,5,0.6,0.25,0,6,45,0.4,0.45,3,2.5658,6.5,10
BF18_cpmp_20_5_60_12_45_7,1,0.6,4.61538,20,1.54613,5,0.65,0.25,0,7,45,0.3,0.45,2,3.04988,5.92308,11
BF18_cpmp_20_5_60_12_45_8,1,0.6,4.61538,20,1.94297,5,0.6,0.25,0,8,45,0.35,0.45,2,2.81366,5.5,12
BF18_cpmp_20_5_60_12_45_9,1,0.6,4.61538,20,1.38888,5,0.6,0.25,0,6,45,0.3,0.45,2,2.41523,7,11
BF19_cpmp_20_5_60_24_36_1,1,0.6,2.4,20,0.979796,5,0.7,0.25,0,5,36,0.1,0.36,2,5.9983,10.1429,21
BF19_cpmp_20_5_60_24_36_10,1,0.6,2.4,20,1.13137,5,0.7,0.25,0,6,36,0.15,0.36,2,5.70535,10.8571,20
BF19_cpmp_20_5_60_24_36_11,1,0.6,2.4,20,0.938083,5,0.5,0.25,0,5,36,0.1,0.36,4,5.78273,9.4,24
BF19_cpmp_20_5_60_24_36_14,1,0.6,2.4,20,0.748331,5,0.7,0.25,0,4,36,0,0.36,2,4.00319,8.21429,16
BF19_cpmp_20_5_60_24_36_15,1,0.6,2.4,20,1.0583,5,0.65,0.25,0,5,36,0.05,0.36,2,5.0559,7.76923,21
BF19_cpmp_20_5_60_24_36_16,1,0.6,2.4,20,0.848528,5,0.65,0.25,0,4,37,0.05,0.36,3,4.50903,9.23077,17
BF19_cpmp_20_5_60_24_36_17,1,0.6,2.4,20,0.979796,5,0.55,0.25,0,4,36,0.05,0.36,2,5.22708,8.36364,19
BF19_cpmp_20_5_60_24_36_18,1,0.6,2.4,20,0.8,5,0.65,0.25,0,4,36,0.05,0.36,2,5.10598,10.0769,20
BF19_cpmp_20_5_60_24_36_2,1,0.6,2.4,20,0.979796,5,0.6,0.25,0,5,36,0.05,0.36,3,4.82758,10.1667,20
BF19_cpmp_20_5_60_24_36_20,1,0.6,2.4,20,1.0198,5,0.55,0.25,0,4,36,0.2,0.36,2,6.21382,8.54545,22
BF19_cpmp_20_5_60_24_36_3,1,0.6,2.4,20,1.2,5,0.7,0.25,0,6,36,0.2,0.36,2,6.46379,10.0714,22
BF19_cpmp_20_5_60_24_36_5,1,0.6,2.4,20,0.848528,5,0.6,0.25,0,4,36,0.15,0.36,2,6.70976,10.75,23
BF19_cpmp_20_5_60_24_36_6,1,0.6,2.4,20,0.938083,5,0.6,0.25,0,4,37,0.1,0.36,2,6.03405,8.58333,24
BF19_cpmp_20_5_60_24_36_7,1,0.6,2.4,20,1.0198,5,0.55,0.25,0,4,36,0.15,0.36,3,5.80396,8.63636,24
BF19_cpmp_20_5_60_24_36_8,1,0.6,2.4,20,0.848528,5,0.75,0.25,0,4,39,0,0.36,4,4.9189,11.2667,21
BF19_cpmp_20_5_60_24_36_9,1,0.6,2.4,20,0.894427,5,0.65,0.25,0,5,38,0.05,0.36,3,4.12956,8.84615,16
BF2_cpmp_16_5_48_10_36_1,1,0.6,4.36364,16,1.66639,5,625,0.3125,0,7,36,0.3125,0.45,2,2.6,4.8,10
BF2_cpmp_16_5_48_10_36_11,1,0.6,4.36364,16,1.49379,5,625,0.3125,0,6,36,0.25,0.45,2,2.2,4.6,8
BF2_cpmp_16_5_48_10_36_12,1,0.6,4.36364,16,2.1436,5,625,0.3125,0,9,36,0.25,0.45,2,2.44949,5,9
BF2_cpmp_16_5_48_10_36_13,1,0.6,4.36364,16,1.87193,5,0.6875,0.3125,0,7,36,0.3125,0.45,2,2.4663,5.90909,10
BF2_cpmp_16_5_48_10_36_14,1,0.6,4.36364,16,1.82272,5,625,0.3125,0,7,36,0.3125,0.45,2,2.02237,4.9,8
BF2_cpmp_16_5_48_10_36_15,1,0.6,4.36364,16,1.66639,5,625,0.3125,0,7,36,0.3125,0.45,2,2.79285,5,10
BF2_cpmp_16_5_48_10_36_17,1,0.6,4.36364,16,1.43164,5,0.6875,0.3125,0,5,36,0.3125,0.45,2,2.38799,5.45455,10
BF2_cpmp_16_5_48_10_36_18,1,0.6,4.36364,16,1.55346,5,625,0.3125,0,6,36,0.3125,0.45,2,2.90517,5.4,10
BF2_cpmp_16_5_48_10_36_19,1,0.6,4.36364,16,1.61091,5,625,0.3125,0,6,36,0.3125,0.45,2,2.40832,5,8
BF2_cpmp_16_5_48_10_36_2,1,0.6,4.36364,16,1.72008,5,0.6875,0.3125,0,7,36,0.25,0.45,2,2.35312,5.90909,9
