@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_TRINARY+ NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE support_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC
@ATTRIBUTE direct_BINARY+ NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE support_BINARY+ NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE support_VCG-VAR-mean NUMERIC
@ATTRIBUTE directorder_VG-max NUMERIC
@ATTRIBUTE csp_log_constraints NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_VCG-VAR-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE csp_max_arity NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE support_horn-clauses-fraction NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_dyn_log_nodes NUMERIC
@ATTRIBUTE direct_reducedClauses NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE directorder_CG-featuretime NUMERIC
@ATTRIBUTE csp_dyn_log_avg_weight NUMERIC
@ATTRIBUTE csp_dyn_log_stdev_weight NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE csp_percent_global NUMERIC
@ATTRIBUTE direct_TRINARY+ NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,3.651416,0.660065,0.479653,?,0.825556,0.293021,0.976668,0.777778,0.20904,0.816869,0.979207,0.006536,1.656538,?,?,0.944361,0.801513,?,0.673224,0.567514,0.001901,0.24905,0.292424,0.324843,0.751209,0.439007,2.476587,?,0.536267,?,0.536267,0.744636,0.001445,0.001445,0.004341,?,2.31674,0.006897,0.476199,0.223239,0.004205,0.38341,?,0.223239,0.844536,0.751209,2.628313,?,0.801513,?,1.382979,?,0.08,?,?,?,0.439007,?,?,0.979207
bool/routing/s3-3-3-3.xml,1,?,?,?,?,3.484095,0.651508,0.483508,?,0.835832,0.297583,0.987506,0.789474,0.206463,0.76434,0.989001,0.006461,1.598451,?,?,0.930218,0.752187,?,0.69182,0.579817,0.00177,0.251374,0.29602,0.328985,0.754216,0.435713,2.455032,?,0.545315,?,0.545315,0.712568,0.001326,0.001326,0.004123,?,2.284446,0.0069,0.480723,0.222688,0.003373,0.392928,?,0.222688,0.855477,0.754216,2.610938,?,0.752187,?,1.33106,?,0.08,?,?,?,0.435713,?,?,0.989001
bool/routing/s3-3-3-1.xml,1,?,?,?,?,3.620413,0.656667,0.481471,?,0.827353,0.282691,0.987059,0.764706,0.203573,0.769644,0.988341,0.006307,1.703235,?,?,0.924554,0.760522,?,0.652395,0.573834,0.001983,0.256471,0.282438,0.32901,0.750221,0.439869,2.414206,?,0.532856,?,0.532856,0.71809,0.001526,0.001526,0.004559,?,2.248823,0.006691,0.467997,0.219396,0.003971,0.38525,?,0.219396,0.844462,0.750221,2.595134,?,0.760522,?,1.423158,?,0.06,?,?,?,0.439869,?,?,0.988341
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,3.042629,0.661915,0.462559,52.294304,0.844235,0.321339,0.98773,0.846154,0.213428,0.767897,0.989765,0.001992,1.222393,22.250256,14.238703,0.914008,0.752484,29.825949,0.949205,0.559734,0.000371,0.226453,0.317192,0.336567,0.766356,0.418256,2.589215,12.544482,0.551701,100,0.551701,0.681587,0.000258,0.000258,0.001263,12.319672,2.34107,0.002078,0.654877,0.224379,0.001038,0.397922,35,0.224379,0.870071,0.766356,2.646799,100,0.752484,11.584023,1.042821,-1,1.07,6.588144,8.325831,-1,0.418256,-1,0,0.989765
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,3.076241,0.662032,0.449685,52.413793,0.83071,0.29908,0.990874,0.826087,0.207762,0.745359,0.992154,0.002153,1.325718,22.330623,13.919794,0.905148,0.740949,29.832512,0.842843,0.56079,0.000455,0.241808,0.297968,0.333778,0.758938,0.42557,2.453363,12.225207,0.526881,100,0.526881,0.679863,0.000329,0.000329,0.001501,12.000704,2.208289,0.002227,0.616617,0.218561,0.001286,0.388754,28,0.218561,0.854457,0.758938,2.603671,100,0.740949,12.23721,1.102417,-1,0.57,7.601634,9.707798,-1,0.42557,-1,0,0.992154
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,3.142299,0.659588,0.443348,52.866242,0.826689,0.295157,0.990547,0.826087,0.206536,0.748011,0.991833,0.002372,1.380052,22.338246,13.811776,0.906368,0.74537,29.766454,0.814901,0.562843,0.0005,0.245513,0.294703,0.331598,0.755553,0.428764,2.459983,12.120238,0.519115,100,0.519115,0.683011,0.000363,0.000363,0.00161,11.890264,2.203308,0.002451,0.604699,0.217006,0.001439,0.386366,26,0.217006,0.850278,0.755553,2.591751,100,0.74537,12.635038,1.135992,-1,0.42,8.392287,10.294978,-1,0.428764,-1,0,0.991833
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,3.177639,0.663327,0.447443,52.09826,0.827035,0.299404,0.985395,0.833333,0.209201,0.776151,0.987416,0.002312,1.36466,22.453396,13.854284,0.916379,0.768292,29.662231,0.829021,0.558025,0.000488,0.240749,0.298627,0.3309,0.757162,0.427522,2.495726,12.160502,0.523898,100,0.523898,0.697848,0.000353,0.000353,0.001572,11.938844,2.247766,0.002385,0.607346,0.219206,0.001506,0.385778,27,0.219206,0.850968,0.757162,2.607351,100,0.768292,12.120886,1.130975,-1,0.47,7.456181,9.529843,-1,0.427522,-1,0,0.987416
bool/routing/s3-3-3-2.xml,1,?,?,?,?,3.416667,0.646067,0.481201,?,0.841616,0.307091,0.9879,0.809524,0.209304,0.765146,0.989517,0.006579,1.532627,?,?,0.933322,0.751018,?,0.738036,0.584632,0.001602,0.246327,0.3046,0.329536,0.755148,0.433981,2.549873,?,0.550543,?,0.550543,0.707889,0.001173,0.001173,0.004213,?,2.360935,0.007062,0.498845,0.224411,0.002917,0.397869,?,0.224411,0.862785,0.755148,2.602402,?,0.751018,?,1.279109,?,0.1,?,?,?,0.433981,?,?,0.989517
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,3.211032,0.662973,0.448351,52.663934,0.827309,0.300169,0.985224,0.833333,0.209541,0.777142,0.987276,0.002333,1.379749,22.390748,13.857592,0.916689,0.768839,29.661885,0.829477,0.558339,0.000493,0.240369,0.299301,0.330922,0.757404,0.427167,2.506381,12.166791,0.524938,100,0.524938,0.697,0.000357,0.000357,0.001583,11.938109,2.259649,0.002409,0.606948,0.219729,0.001517,0.386344,27,0.219729,0.851284,0.757404,2.609208,100,0.768839,11.909518,1.143547,-1,0.46,7.159019,8.714405,-1,0.427167,-1,0,0.987276
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,3.45073,0.669053,0.436277,51.226994,0.806444,0.262862,0.989021,0.764706,0.19902,0.753923,0.990043,0.002509,1.637232,22.166801,13.228819,0.897477,0.755399,32.392638,0.642607,0.552982,0.000766,0.261575,0.264899,0.328171,0.746465,0.438613,2.270791,11.537218,0.488745,100,0.488745,0.698635,0.000593,0.000593,0.002029,11.326429,2.068874,0.002561,0.560055,0.209147,0.002506,0.3716,18,0.209147,0.824459,0.746465,2.493205,100,0.755399,12.549785,1.331602,-1,0.2,8.059077,9.792346,-1,0.438613,-1,0,0.990043
