@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,3.651416,0.660065,0.479653
bool/routing/s3-3-3-3.xml,1,?,?,?,?,3.484095,0.651508,0.483508
bool/routing/s3-3-3-1.xml,1,?,?,?,?,3.620413,0.656667,0.481471
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,3.042629,0.661915,0.462559
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,3.076241,0.662032,0.449685
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,3.142299,0.659588,0.443348
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,3.177639,0.663327,0.447443
bool/routing/s3-3-3-2.xml,1,?,?,?,?,3.416667,0.646067,0.481201
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,3.211032,0.662973,0.448351
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,3.45073,0.669053,0.436277
bool/routing/s4-4-3-9.xml,1,43.349169,46.072842,1.414214,1.414214,3.049318,0.661665,0.463802
bool/routing/s4-4-3-4.xml,1,43.082061,46.001908,1.414214,1.414214,3.164738,0.664207,0.454356
bool/routing/s3-3-3-5.xml,1,?,?,?,?,3.575975,0.649799,0.489597
bool/routing/s4-4-3-5.xml,1,43.284133,45.97786,1.414214,1.414214,3.092734,0.661912,0.45823
bool/routing/s4-4-3-1.xml,1,43.106509,46.104536,1.414214,1.414214,3.095761,0.661693,0.450919
bool/ii/ii-16e2.xml,1,3.819552,41.550796,1.414214,1.414214,0.884513,0.511912,0.401338
bool/ii/ii-8b1.xml,1,?,?,?,?,4.6498,0.578858,0.471888
bool/ii/ii-32c1.xml,1,?,?,?,?,0.744196,0.464117,0.348551
bool/ii/ii-8d1.xml,1,?,?,?,?,3.570593,0.556236,0.459762
bool/ii/ii-16a1.xml,1,4.710248,24.250642,1.414214,1.414214,3.295422,0.521317,0.458073
bool/ii/ii-32c3.xml,1,4.714165,19.608561,1.414214,1.414214,0.677344,0.463872,0.347834
bool/ii/ii-8c2.xml,1,?,?,?,?,4.023025,0.553153,0.471446
bool/ii/ii-32b4.xml,1,3.131936,19.18208,1.414214,1.414214,0.687569,0.463795,0.347999
bool/ii/ii-16e1.xml,1,4.665542,41.512085,1.414214,1.414214,0.884606,0.513133,0.40218
bool/ii/ii-32b2.xml,1,5.555161,20.294431,1.414214,1.414214,0.729627,0.463912,0.348466
bool/ii/ii-32e5.xml,1,2.576082,19.518013,1.414214,1.414214,0.767464,0.46372,0.349025
bool/ii/ii-32c2.xml,1,6.145619,20.12752,1.414214,1.414214,0.682309,0.463938,0.347864
bool/ii/ii-8b3.xml,1,?,?,?,?,4.550882,0.577836,0.471508
bool/ii/ii-8a2.xml,1,?,?,?,?,2.521501,0.578641,0.437088
bool/ii/ii-8c1.xml,1,?,?,?,?,3.211945,0.559904,0.452243
bool/ii/ii-16d1.xml,1,4.30798,30.768782,1.414214,1.414214,1.32079,0.51219,0.414698
bool/ii/ii-16c1.xml,1,5.252951,30.442733,1.414214,1.414214,1.370353,0.509688,0.414623
bool/ii/ii-8b4.xml,1,?,?,?,?,4.698163,0.57773,0.474405
bool/ii/ii-8a1.xml,1,?,?,?,?,3.675862,0.558071,0.419291
bool/ii/ii-32e1.xml,1,?,?,?,?,0.719964,0.464125,0.348244
bool/ii/ii-32e3.xml,1,3.700935,19.592523,1.414214,1.414214,0.715979,0.463812,0.348344
bool/ii/ii-16b2.xml,1,3.754143,26.834913,1.414214,1.414214,1.914788,0.512173,0.425626
bool/ii/ii-32d2.xml,1,4.362066,20.680223,1.414214,1.414214,0.936415,0.465014,0.356276
bool/ii/ii-32e2.xml,1,5.31696,20.361766,1.414214,1.414214,0.755165,0.463898,0.34879
bool/ii/ii-8e2.xml,1,?,?,?,?,3.222497,0.558419,0.45781
bool/ii/ii-16b1.xml,1,3.909502,26.618401,1.414214,1.414214,1.950855,0.513006,0.430603
bool/ii/ii-32e4.xml,1,3.098892,19.237955,1.414214,1.414214,0.695385,0.46379,0.348099
bool/ii/ii-16a2.xml,1,?,?,?,?,3.505997,0.520844,0.462055
bool/ii/ii-32b3.xml,1,3.433081,19.276554,1.414214,1.414214,0.68703,0.46381,0.347985
bool/ii/ii-8a3.xml,1,?,?,?,?,2.407171,0.577525,0.435598
bool/ii/ii-8e1.xml,1,?,?,?,?,3.373979,0.558387,0.461085
bool/ii/ii-8a4.xml,1,?,?,?,?,2.047871,0.577096,0.427278
bool/ii/ii-16d2.xml,1,3.772279,30.915244,1.414214,1.414214,1.31224,0.512023,0.411646
bool/ii/ii-32b1.xml,1,?,?,?,?,0.76969,0.464108,0.348872
bool/ii/ii-8d2.xml,1,?,?,?,?,3.796677,0.554702,0.466692
bool/ii/ii-32d3.xml,1,2.435228,19.934982,1.414214,1.414214,0.885942,0.464776,0.355406
bool/ii/ii-16c2.xml,1,3.764514,29.168194,1.414214,1.414214,1.493457,0.512069,0.415915
bool/ii/ii-32d1.xml,1,?,?,?,?,0.987437,0.465301,0.357025
bool/ii/ii-8b2.xml,1,?,?,?,?,4.575962,0.577965,0.472456
bool/ii/ii-32a1.xml,1,2.847689,20.042395,1.414214,1.414214,0.897672,0.463667,0.350654
bool/ii/ii-32c4.xml,1,2.106286,18.53892,1.414214,1.414214,?,?,?
bool/mps/mps-neos16.xml,1,58.877456,96.688494,1.414214,1.414214,0.87908,0.525034,0.389118
bool/mps/mps-p0282.xml,1,?,?,?,?,0.421093,0.381098,0.089958
bool/mps/mps-gt2.xml,1,?,?,?,?,?,?,?
bool/mps/mps-air06.xml,1,4.317073,30.018293,1.414214,1.414091,?,?,?
bool/mps/mps-p6000.xml,1,?,?,?,?,?,?,?
bool/mps/mps-air03.xml,1,?,?,?,?,?,?,?
bool/mps/mps-neos18.xml,1,?,?,?,?,7.658275,0.51289,0.414984
bool/mps/mps-aflow30a.xml,1,54.551148,304.812109,1.414214,1.414214,?,?,?
bool/mps/mps-diamond.xml,1,?,?,?,?,-512,0,-512
bool/mps/mps-10teams.xml,1,0.882353,17.647059,1.414214,1.374369,0.716566,0.578959,0.481785
bool/mps/mps-p0548.xml,1,?,?,?,?,?,?,?
bool/mps/mps-p0291.xml,1,?,?,?,?,?,?,?
bool/mps/mps-stein15.xml,1,?,?,?,?,5.443182,0.625986,0.402367
bool/mps/mps-opt1217.xml,1,?,?,?,?,?,?,?
bool/mps/mps-p2756.xml,1,?,?,?,?,?,?,?
bool/mps/mps-air04.xml,1,1.749696,12.831106,1.414214,1.414214,?,?,?
bool/mps/mps-mzzv11.xml,1,?,?,?,?,?,?,?
bool/mps/mps-mod008.xml,1,?,?,?,?,?,?,?
bool/mps/mps-p0201.xml,1,?,?,?,?,0.408019,0.356395,0.084032
bool/mps/mps-neos5.xml,1,?,?,?,?,?,?,?
bool/mps/mps-vpm2.xml,1,49.62963,259.938272,1.414214,1.302615,?,?,?
bool/mps/mps-vpm1.xml,1,50.123457,272.613169,1.414214,1.302615,?,?,?
bool/mps/mps-seymour1.xml,1,?,?,?,?,?,?,?
bool/mps/mps-cracpb1.xml,1,?,?,?,?,?,?,?
bool/mps/mps-lp4l.xml,1,4.615385,40.473373,1.414214,1.414214,0.55484,0.594594,0.413483
bool/mps/mps-stein45.xml,1,?,?,?,?,10.86423,0.599009,0.3564
bool/mps/mps-bm23.xml,1,?,?,?,?,0.549768,0.495003,0.342637
bool/mps/mps-air02.xml,1,?,?,?,?,?,?,?
bool/mps/mps-mitre.xml,1,25.466993,66.542787,1.414214,1.414214,?,?,?
bool/mps/mps-p0040.xml,1,?,?,?,?,?,?,?
bool/mps/mps-protfold.xml,1,26.607725,74.695207,1.414214,1.414214,0.689736,0.518514,0.321795
bool/mps/mps-l152lav.xml,1,2.176166,14.611399,1.414214,1.414214,?,?,?
bool/mps/mps-sentoy.xml,1,?,?,?,?,?,?,?
bool/mps/mps-enigma.xml,1,?,?,?,?,?,?,?
bool/mps/mps-fit1d.xml,1,?,?,?,?,?,?,?
bool/mps/mps-seymour.xml,1,?,?,?,?,0.828413,0.580068,0.379698
bool/mps/mps-p0033.xml,1,?,?,?,?,?,?,?
bool/mps/mps-lseu.xml,1,?,?,?,?,?,?,?
bool/mps/mps-neos1.xml,1,35.15625,57,1.414214,1.414214,1.565736,0.592871,0.479788
bool/mps/mps-mod010.xml,1,2.268041,15.154639,1.414214,1.414214,0.530088,0.523789,0.308903
bool/mps/mps-aflow40b.xml,1,56.754508,314.868239,1.414214,1.414214,?,?,?
bool/mps/mps-air01.xml,1,?,?,?,?,0.508296,0.498173,0.309126
bool/mps/mps-pipex.xml,1,?,?,?,?,0.568127,0.598762,0.408407
bool/mps/mps-manna81.xml,1,?,?,?,?,0.971283,0.581655,0.53537
bool/mps/mps-air05.xml,1,2.535211,18.204225,1.414214,1.414214,?,?,?
bool/mps/mps-stein9.xml,1,?,?,?,?,4.214286,0.659574,0.390071
bool/mps/mps-stein27.xml,1,?,?,?,?,7.715736,0.608359,0.388043
bool/mps/mps-mzzv42z.xml,1,?,?,?,?,?,?,?
bool/logic-synthesis/5xp1-b.xml,1,?,?,?,?,0.480974,0.439125,0.293893
bool/logic-synthesis/ex5-pi.xml,1,?,?,?,?,0.460465,0.426442,0.2717
bool/logic-synthesis/alu4-b.xml,1,?,?,?,?,0.520367,0.470181,0.340412
bool/logic-synthesis/clip-b.xml,1,?,?,?,?,0.522082,0.45541,0.310104
