@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0124,0.0782,0.6646,1.0967,0.6552,0.1022,0.9218,0.8082,3.5574,0.0293,0.6491,15.6807,22.2967,0,10.9159,0.105,0.265,37.9667,38.1864,0.71,37.8226,38.1864,0.6249,37.891,23.9398,0.689,21294,38.1864,37.8226,0.0149,37.8226,21294
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0.0097,0.0908,0.017,0.6053,0.3918,0,0.7036,1.6542,0.1301,0.0445,5.7333,1.8382,0,6.7141,0.1176,0.1668,20.5678,21.7036,0.1227,19.2126,21.4716,0.0429,20.9786,1.031,0.1459,29282,21.7036,18.2995,0.0718,18.2995,29282
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0,0.0915,0.6469,1.0759,0.7026,0.1062,0.9085,0.7939,2.9895,0.0159,0.6431,34.2936,21.2099,0,23.3456,0.0514,0.1884,51.5407,58.886,0.6901,49.8067,51.5394,0.6343,50.7683,23.5432,0.6566,41426,62.3743,48.9554,0.1709,47.2687,41426
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.9439,0.8219,1.6272,0.7613,0.019,0.9439,0.8762,2.7898,0.0042,0.8116,207.891,35.6272,0.0417,22.5385,0.0348,0.9589,51.4256,67.3557,0.832,47.1034,52.022,0.7761,50.387,41.2197,0.8322,109920,69.625,45.5938,0.2533,44.0117,111739
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.8333,0.675,0.5831,0.4472,0.6708,0.0001,0.8333,0.8324,0,0.0125,0.5831,4.0352,1.1006,0,7.0228,0.025,0.2313,36.3925,40.9846,0.5832,34.8915,38.0412,0.5831,36.5026,0.5805,0.5832,480,40.9846,32.4055,0.0088,32.4055,480
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.972,0.8761,1.8403,0.8729,0.0203,0.972,0.9554,2.9852,0.0063,0.8649,11.9732,31.1851,0.039,24.2363,0.0811,11.8928,68.9673,78.5192,0.8878,67.0736,78.5192,0.8144,73.2541,31.8335,0.8904,44572,78.5192,57.0222,0.755,57.0222,45238
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0.875,0.7475,1.186,0.8259,0.0002,0.875,0.8672,0,0.0161,0.7474,14.2288,3.4182,0,14.8967,0.0667,0.078,76.9212,83.7463,0.7476,72.2519,83.7463,0.7473,74.7654,2.5406,0.7476,1800,83.7463,72.2519,0.0047,72.2519,1800
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0.8182,0.6721,0.8932,0.7824,0.0001,0.8182,0.8174,0,0.0345,0.6721,7.8199,2.5267,0,8.3109,0.1,0.0956,34.2879,35.387,0.6722,34.2412,35.387,0.672,34.7516,2.0526,0.6722,550,35.387,32.7716,0.0024,32.7716,550
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.9668,0.8687,1.8272,0.8406,0.0218,0.9668,0.9515,2.8638,0.0062,0.8555,14.5795,33.2679,0.0387,50.1405,0.0805,13.6648,69.9892,76.3785,0.8774,66.3086,76.3785,0.7881,67.2804,36.4759,0.8792,50102,76.3785,66.3086,0.6173,66.3086,50773
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.003,0.0831,0.6578,1.105,0.6994,0.1015,0.9169,0.8173,3.3642,0.0296,0.6446,17.5204,22.543,0,10.558,0.104,0.2858,45.7407,49.049,0.7059,40.5477,49.049,0.6291,47.6253,24.7775,0.6842,22023,49.049,40.5477,0.0179,40.5477,22023
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3424,0.0007,0.2548,0.4676,2.5823,0.3768,0.934,0.4406,0.0806,0.0003,4.458,1.2997,0.3957,5.0736,0.0504,0.4312,26.3131,27.6767,0.0251,25.3229,26.8427,0,26.4121,0.9793,0.0029,844,27.6767,24.9333,0.0148,24.9333,954
