@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE reducedClauses NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0124,0.0782,0.6646,1.0967,0.6552,0.1022,0.9218,0.8082,3.5574,0.0293,0.6491,15.6807,22.2967,0,10.9159,0.105,0.265,37.9667,38.1864,0.71,37.8226,38.1864,0.6249,37.891,23.9398,0.689,21294,38.1864,37.8226,0.0149,37.8226,21294,2.1457,2.2552,0.0124,0.0008,2,0.0093,200,0.1566,0.2395,0.0093,3,0.9949,1.1178,?,?,?,4.9846,79.5266,0.01,0.127,0.2854,0.357,0.0026,0.0081,4.7177,0.8411,0.0219,0.9811,79.5,0.2681,0.0094,0
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0.0097,0.0908,0.017,0.6053,0.3918,0,0.7036,1.6542,0.1301,0.0445,5.7333,1.8382,0,6.7141,0.1176,0.1668,20.5678,21.7036,0.1227,19.2126,21.4716,0.0429,20.9786,1.031,0.1459,29282,21.7036,18.2995,0.0718,18.2995,29282,2,0.0005,0.0018,0.0004,2,0.0029,85,0.027,0.0569,0.0029,2,0.9299,0.1728,?,?,?,1.318,8.9216,0.1017,0.0163,0.0632,0.2366,0.0821,0.0011,2.3439,0.0919,0.1176,0.1732,9,0.6461,0.0029,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0,0.0915,0.6469,1.0759,0.7026,0.1062,0.9085,0.7939,2.9895,0.0159,0.6431,34.2936,21.2099,0,23.3456,0.0514,0.1884,51.5407,58.886,0.6901,49.8067,51.5394,0.6343,50.7683,23.5432,0.6566,41426,62.3743,48.9554,0.1709,47.2687,41426,2.9923,2.4238,0.0065,0.0005,2,0.0073,389,0.1594,0.2615,0.008,3,0.9948,0.18,?,?,?,4.8805,150.613,0.0052,0.1254,0.2313,0.3714,0.002,0.0047,4.461,0.8131,0.0117,0.9785,150,0.2225,0.0094,0
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.9439,0.8219,1.6272,0.7613,0.019,0.9439,0.8762,2.7898,0.0042,0.8116,207.891,35.6272,0.0417,22.5385,0.0348,0.9589,51.4256,67.3557,0.832,47.1034,52.022,0.7761,50.387,41.2197,0.8322,109920,69.625,45.5938,0.2533,44.0117,111739,3,7.5434,0.0024,0.0007,3,0.0014,1375,0.0408,0.2128,0.003,3,0.9992,6.5188,?,?,?,5.3062,600.188,0.0011,0.0811,0.1807,0.2033,0.001,0.0014,4.7853,0.3544,0.0025,0.8837,607,0.1446,0.012,0.0165
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.8333,0.675,0.5831,0.4472,0.6708,0.0001,0.8333,0.8324,0,0.0125,0.5831,4.0352,1.1006,0,7.0228,0.025,0.2313,36.3925,40.9846,0.5832,34.8915,38.0412,0.5831,36.5026,0.5805,0.5832,480,40.9846,32.4055,0.0088,32.4055,480,4.4774,0.0001,0.0125,0.0021,4,0.0208,200,0,0,0.0249,5,0.9311,0.2451,0.4,0.0417,0.0139,0,51.967,0.0125,0.3333,0.3333,0.3081,0.0293,0.0073,1.3427,0.3333,0.0125,0.5833,52,0.3483,0.4167,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.972,0.8761,1.8403,0.8729,0.0203,0.972,0.9554,2.9852,0.0063,0.8649,11.9732,31.1851,0.039,24.2363,0.0811,11.8928,68.9673,78.5192,0.8878,67.0736,78.5192,0.8144,73.2541,31.8335,0.8904,44572,78.5192,57.0222,0.755,57.0222,45238,2,3.8924,0.0047,0.0014,2,0.0144,666,0.067,0.2101,0.0144,2,1.0019,0.2167,?,?,?,4.7883,297.141,0.0022,0.2021,0.3759,0.2524,0.0463,0.003,4.6093,0.5072,0.0044,0.9225,298,0.166,0.0144,0.0149
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0.875,0.7475,1.186,0.8259,0.0002,0.875,0.8672,0,0.0161,0.7474,14.2288,3.4182,0,14.8967,0.0667,0.078,76.9212,83.7463,0.7476,72.2519,83.7463,0.7473,74.7654,2.5406,0.7476,1800,83.7463,72.2519,0.0047,72.2519,1800,3,0.0018,0.0078,0.0078,3,0.0889,225,0,0,0.0889,3,0.9817,0.0905,0.0645,0.1167,0.0292,0,83.4249,0.0161,0.0345,0.0345,0,0.0072,0.0078,0,0.0345,0.0161,0.7478,83,0.3,0.125,0
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0.8182,0.6721,0.8932,0.7824,0.0001,0.8182,0.8174,0,0.0345,0.6721,7.8199,2.5267,0,8.3109,0.1,0.0956,34.2879,35.387,0.6722,34.2412,35.387,0.672,34.7516,2.0526,0.6722,550,35.387,32.7716,0.0024,32.7716,550,3,0.0012,0.0164,0.0164,3,0.1291,100,0,0,0.1291,3,0.9743,0.0746,0.0952,0.1636,0.0595,0,32.8031,0.0345,0.0526,0.0526,0,0.0166,0.0164,0,0.0526,0.0345,0.6724,33,0.3023,0.1818,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.9668,0.8687,1.8272,0.8406,0.0218,0.9668,0.9515,2.8638,0.0062,0.8555,14.5795,33.2679,0.0387,50.1405,0.0805,13.6648,69.9892,76.3785,0.8774,66.3086,76.3785,0.7881,67.2804,36.4759,0.8792,50102,76.3785,66.3086,0.6173,66.3086,50773,2,3.7055,0.0043,0.0014,2,0.0129,671,0.0628,0.1947,0.0129,2,0.996,0.2747,?,?,?,4.6442,301.095,0.0023,0.1,0.323,0.2179,0.058,0.003,4.2032,0.4657,0.0046,0.9205,303,0.1299,0.0129,0.0134
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.003,0.0831,0.6578,1.105,0.6994,0.1015,0.9169,0.8173,3.3642,0.0296,0.6446,17.5204,22.543,0,10.558,0.104,0.2858,45.7407,49.049,0.7059,40.5477,49.049,0.6291,47.6253,24.7775,0.6842,22023,49.049,40.5477,0.0179,40.5477,22023,2.1144,2.3397,0.0125,0.0009,2,0.009,202,0.1559,0.2483,0.0091,3,0.9951,3.9613,?,?,?,4.9607,79.8959,0.01,0.1283,0.2552,0.3595,0.0025,0.0086,4.6672,0.8273,0.0222,0.9816,80,0.2461,0.0092,0
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3424,0.0007,0.2548,0.4676,2.5823,0.3768,0.934,0.4406,0.0806,0.0003,4.458,1.2997,0.3957,5.0736,0.0504,0.4312,26.3131,27.6767,0.0251,25.3229,26.8427,0,26.4121,0.9793,0.0029,844,27.6767,24.9333,0.0148,24.9333,954,5.1232,1.0607,0.0178,0.0024,4,0.0071,194,0.0786,0.4607,0.0138,6,0.8684,0.4149,0.7164,0.1185,0.0468,1.6672,24.8103,0.0166,0,0.0147,0.3397,0.0611,0.0088,2.0954,0.6154,0.028,0.3736,25,0.3874,0.1647,0.1303
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0,0.4888,0.0026,0,0.7878,1.7821,1,0.9625,0.2209,0.0253,0.0008,1.1161,0.6854,0,2.7912,0.0173,0.5579,23.4383,27.2694,0.0281,21.7369,23.7839,0,22.594,0.4058,0.0107,356,27.2694,21.4828,0.0666,21.4828,356,6.2326,0.0432,0.0169,0,6,0.0169,173,0.0778,0.1134,0.017,7,0.8305,0.3258,0.2,0.0337,0.026,0.2209,24.6406,0.0169,0,0.0193,0.4223,0.0719,0.0085,1.5863,0.3333,0.0173,0.2153,25,0.3386,0.486,0
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0,0.0105,0.0886,0.0165,0.5127,0.6385,0,0.6443,1.5326,0.1131,0.0004,9.7488,1.1552,0,10.4022,0.0667,0.1789,17.8289,23.3741,0.1157,15.7149,19.6128,0.0002,16.878,0.6999,0.0979,55222,23.3741,15.6726,0.2024,15.6245,55222,2,0.0024,0.0011,0.0004,2,0.0027,150,0.0411,0.2775,0.0027,2,0.8622,0.1753,?,?,?,2.0433,17.2906,0.0401,0,0.0603,0.2621,0.0871,0.0007,2.9679,0.1204,0.0666,0.2135,17,0.5436,0.0027,0
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.0152,0.7538,0.4251,0.5846,0.774,0.0002,0.0152,0.8664,0,0.0082,0.425,20.6012,11.6955,0.3333,20.037,0.0167,0.0108,28.8228,31.3586,0.4251,26.7907,31.0847,0.425,29.0299,11.5795,0.4251,47520,34.762,25.8554,1.1173,25.6211,48480,2,0.0011,0.0041,0.0041,2,0.0151,960,0,0,0.0151,2,0.9987,0.5229,?,?,?,0,179.791,0.0082,0.0051,0.0051,0,0.0007,0.0041,0,0.0051,0.0082,0.4254,180,0.1407,0.0152,0.0202
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.9443,0.7188,0.7644,0.4568,0.4517,0.0932,0.947,0.7013,2.5469,0.0007,0.7097,196.581,2.4735,0,138.3,0.0024,0.3587,25.2998,32.1681,0.7946,21.5465,28.3841,0.1221,24.0455,2.9634,0.8099,43754,44.3182,19.3545,0.3552,17.4112,43754,6.9313,0.1079,0.0007,0.0001,6,0.0001,4979,0.0561,0.1632,0.0004,7,0.9828,0.4272,0.3333,0.0051,0.0002,2.5781,1852.58,0.0002,0.25,0.6848,0.3737,0.0095,0.0003,2.8815,0.8125,0.0004,0.9203,1848,0.605,0.1138,0
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.231,0.0355,0.1105,0.6533,0.5914,0.0262,0.7689,1.4434,0.1643,0.0179,2.9395,1.8582,0,3.62,0.1667,0.3712,0,0,0.0696,0,0,0.007,0,1.4998,0.0704,420,0,0,0,0,420,2,0.3152,0.0548,0.0214,2,0.069,30,0.0194,0.0238,0.069,2,0.9092,0.3709,0.357,0.3714,0.3232,1.6996,6.5353,0.1476,0,0.0235,0.2273,0.1297,0.0346,2.3035,0.0625,0.1562,0.1644,6,0.4393,0.0714,0
./SAT09/CRAFTED/rbsat/random/forced/rbsat-v1375c111739gyes10.cnf,1,0.9523,0.9523,0.791,1.8079,0.7814,0.082,0.9523,0.8974,2.6827,0.0026,0.7211,184.575,44.9564,0.0345,1242.18,0.0281,5.1787,61.3041,72.4554,0.8304,56.25,67.8447,0.6041,58.9625,51.7307,0.8495,212446,81.5094,53.2021,0.2694,51.9048,215164,3,12.1838,0.0015,0.0004,3,0.001,2100,0.0363,0.1721,0.002,3,1.073,4.5569,?,?,?,5.3448,924.65,0.0008,0.0856,0.1682,0.1646,0.3633,0.0009,4.8172,0.3231,0.0016,0.9303,941.5,0.0827,0.0096,0.0128
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p15-s99099953.cnf,1,0.9829,0.9829,0.9785,2.4667,0.9186,0.0701,0.9829,0.9574,3.3344,0.0017,0.9566,5744.47,97.7881,0.0209,1273.77,0.0426,3.5006,98.0399,108.2059,0.9761,94.0535,106.1429,0.1076,97.0272,99.2626,0.9924,496124,115.56,88.8889,0.7786,87.8406,498568,2,1.5082,0.0013,0.0003,2,0.0048,2444,0.0766,0.1693,0.0048,2,1.0114,3.8441,?,?,?,5.8426,1077.53,0.0005,0.1628,0.3575,0.2038,0.0411,0.0008,5.6581,0.6236,0.0012,1,1153,0.4473,0.0048,0.0049
./SAT11/crafted/skvortsov/automata-synchronization/crn_40_1520_u.cnf,1,0.0073,0.2613,0.0001,0.0583,0.0566,3.1172,0.0332,0.1106,0.4008,0.0013,0.0001,822,0.2524,1.0256,373.5,0.0001,1.3271,0,0,0.0192,0,0,0,0,0.2318,0.0002,117774,0,0,0,0,123900,748.525,0.2287,0.0003,0,743,0.0001,63840,0.0584,2.0996,0.0001,759,0.6826,1.066,0.9048,0.0014,0.001,0.5885,4303,0,0,0.0173,2.0912,0.0794,0,0.2133,0.9024,0.0001,0.9357,4322.5,1.6787,0.2676,0.052
./SAT11/crafted/mosoi/289/289-unsat-7x39.cnf,1,0.013,0.7532,0.408,0.5836,0.7325,0.0003,0.013,0.8098,0,0.0073,0.408,45.6368,11.9471,0.3333,47.1391,0.0147,4.5011,29.3595,32.9809,0.4081,27.0061,32.0355,0.4077,28.708,10.8717,0.408,63063,36.7606,26.6054,1.1442,26.1269,64155,2,0.0018,0.0036,0.0036,2,0.013,1092,0,0,0.013,2,0.994,3.9242,?,?,?,0,208.562,0.0073,0.0044,0.0044,0,0.0662,0.0036,0,0.0044,0.0073,0.4085,209,0.3513,0.013,0.0173
./SAT11/crafted/mosoi/289/289-unsat-6x30.cnf,1,0.0203,0.7551,0.457,0.5871,0.8507,0.0001,0.0203,0.9633,0,0.011,0.457,1.5435,7.0723,0.3333,0.6013,0.0222,1.2241,28.6955,32.7169,0.457,26.493,30.0563,0.4568,27.5762,5.9841,0.457,26640,38.1584,25.5971,1.204,25.3638,27360,2,0.0004,0.0055,0.0055,2,0.0202,720,0,0,0.0202,2,0.9949,28.5849,?,?,?,0,137.143,0.011,0.0068,0.0068,0,0.0018,0.0055,0,0.0068,0.011,0.4571,137,0.2732,0.0203,0.027
./SAT03/handmade/anton/UNSAT/SGI_30_60_20_50_3-dir.shuffled-as.sat03-114.cnf,1,0.9787,0.7464,0.8978,1.8278,0.9047,0.0217,0.9787,0.9711,3.0492,0.0071,0.8796,11.9654,38.6444,0.0345,45.4502,0.1,15.4138,83.1068,99.181,0.9087,73.157,90.232,0.8552,87.8974,37.6613,0.9129,48470,99.181,64.6269,0.7473,64.6269,49070,2,2.6608,0.0056,0.0009,2,0.0119,600,0.0837,0.1659,0.0119,2,1.0552,9.5123,?,?,?,4.206,272.007,0.0028,0.2718,0.458,0.3897,0.8963,0.0026,4.3811,0.6349,0.0046,0.9581,272,0.1758,0.012,0.0124
./SAT05/crafted/sabharwal05/planning/logistics/unsat/logistics-rotate-07t5.shuffled-as.sat05-1137.cnf,1,0.9511,0.7281,0.9432,0.5835,0.445,0.1168,0.9728,0.8863,2.4732,0.0019,0.7011,141.434,20.538,0.5513,18.45,0.0131,0.1085,27.199,27.8652,0.9235,27.4614,27.8652,0.5791,27.8585,17.2005,0.9512,79229,27.8652,25.6108,0.3739,25.6108,88373,4.7942,2.805,0.0015,0,4,0.0002,2721,0.2302,0.2523,0.0014,5,0.9991,10.5878,0.6667,0.0225,0.0005,2.759,813.667,0.0002,0.0667,0.7649,0.4208,0.0002,0.0008,3.7161,0.9669,0.0013,0.9971,818,0.2154,0.0221,0.1154
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-14_186.cnf,1,0,0.1265,0.56,0.8326,0.6767,0.1629,0.8735,0.809,2.8836,0.0321,0.5519,14.2115,11.2954,0,10.7719,0.0753,0.2592,36.8043,39.3333,0.6217,35.3844,39.3333,0.5364,37.7223,10.9847,0.5767,9795,39.3333,34.7772,0.004,34.7772,9795,2.9946,2.0373,0.0133,0.0014,2,0.0146,186,0.1535,0.2615,0.0163,3,0.9894,1.8442,?,?,?,4.4077,64.7466,0.0108,0.125,0.2271,0.3688,0.0058,0.0095,3.8153,0.7358,0.0236,0.9589,65,0.3133,0.019,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m37-q446.25-n35-p15-s25120921.cnf,1,0.9714,0.9714,0.8722,1.989,0.8669,0.0254,0.9714,0.9483,3.2305,0.0036,0.857,346.25,53.1227,0.0327,35.494,0.0672,2.3059,70.1392,92.5301,0.8872,59.5803,75.1852,0.8144,66.9394,53.8444,0.8879,128166,92.5301,56.4608,1.4244,56.4608,129272,2,13.3554,0.0025,0.0008,2,0.0083,1106,0.0631,0.1529,0.0083,2,1,9.1035,?,?,?,5.1389,496.04,0.0013,0.1588,0.3272,0.1716,0.003,0.0018,4.9206,0.5246,0.0028,0.9432,502,0.1715,0.0084,0.0086
./SAT11/crafted/skvortsov/battleship/battleship-11-11-unsat.cnf,1,0.8333,0.8333,0.6919,0.9583,0.7902,0.0001,0.8333,0.8269,0,0.0289,0.6919,10.5361,2.6539,0,11.0207,0.0909,0.0844,46.437,48.5704,0.692,47.0053,48.5704,0.6918,48.2732,2.0976,0.6919,726,48.5704,41.8992,0.0021,41.8992,726,2,0.0014,0.0138,0.0138,2,0.1653,121,0,0,0.1653,2,0.9718,0.0623,0.087,0.1515,0.0505,0,39.7839,0.0289,0.0476,0.0476,0,0.0147,0.0138,0,0.0476,0.0289,0.6922,40,0.3024,0.1667,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m52-q1041.25-n50-p30-s30907550.cnf,1,0.9819,0.9819,0.9705,2.5629,0.8838,0.0496,0.9819,0.9362,3.3492,0.0019,0.9515,25.5625,88.9836,0.0199,160.4,0.0406,3.3021,111.9684,133.1667,0.9762,99.3162,132.6667,0.2354,112.4,78.0606,0.9884,487748,133.48,95.5521,0.8904,91.0931,490309,2,1.2831,0.0014,0.0003,2,0.0051,2561,0.079,0.2668,0.0051,2,1.0011,0.1525,?,?,?,6.1822,1206.25,0.0004,0.122,0.3131,0.2906,0.0045,0.0008,5.8565,0.5465,0.0012,1,1206.5,0.1716,0.0051,0.0053
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_406.cnf,1,0.0031,0.0831,0.657,1.105,0.7061,0.1013,0.9169,0.8066,3.3339,0.0295,0.6449,15.7566,23.0011,0,13.692,0.1034,6.8078,47.403,49.7635,0.7056,45.0426,49.7635,0.6329,49.7635,25.1053,0.6856,22241,49.7635,45.0426,0.0108,45.0426,22241,2.1139,2.3313,0.0124,0.0008,2,0.009,203,0.1558,0.2483,0.0091,3,0.9943,0.2669,?,?,?,5.0456,80.1465,0.0098,0.1279,0.2552,0.3591,0.0314,0.0086,4.6707,0.8349,0.0221,0.9822,80,0.2462,0.0091,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_401.cnf,1,0.0124,0.0782,0.6648,1.0967,0.6597,0.1024,0.9218,0.8034,3.5664,0.0291,0.6474,15.4287,22.3937,0,13.9374,0.1045,5.9256,37.8653,39.059,0.7095,36.5443,39.059,0.6213,37.9927,23.8414,0.6884,21509,39.059,36.5443,0.0178,36.5443,21509,2.145,2.3077,0.0123,0.0008,2,0.0092,201,0.1564,0.2393,0.0093,3,0.9941,0.2613,?,?,?,4.9825,79.6543,0.01,0.1272,0.2851,0.3565,0.0309,0.0081,4.7203,0.8326,0.0218,0.9774,80,0.2566,0.0093,0
