@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,0.0002,0,263.417,64.8077,62536,63000,0.0001,11.1792,79.3077,56.4,63,783.125,0.0011,109.1667,49.5,15000,0.0004,8,7,5,11,0.9577,74.1818,17,21,0.0001,14607,3167,3132,3174.92,3221,0.0002
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,0.0043,140,22.4568,36.1175,2973,2982,0.002,3645.1429,40.6055,34.3506,35.3213,28.7795,0.0188,40.6055,33.1688,700,0.0057,3472,3462,3462,3688,0.2021,38.2519,3810,3810,0.0022,692,152,140,151.736,164,0.0044
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,0.0068,89,13.8122,25.9144,1907,1917,0.0052,3902.8571,29.0163,24.2236,25.7924,16.9488,0.0288,29.0163,23.5001,450,0.0084,3818,3793,3793,3869,0.1976,27.694,4049,4049,0.0034,439,98,88,97.759,107,0.0069
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,0.0175,57,32.6548,57.7886,34000,34000,0.0117,84.2564,65.0226,54.2262,57.2143,33.2124,0.0117,66.8647,52.451,400,0.0016,70,67,57,79,0.2585,60.6076,112,133,0.0011,400,65.5,56,65.7976,76,0.0175
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,0.0778,12,10.3075,31.7052,8010,8010,0.0111,4385.25,32.4376,31.7124,31.7829,10.5034,0.0111,32.4376,30.8879,90,0.0069,4290,4289,4289,4435,0.2967,32.4376,4527,4527,0.0049,90,15,12,15.4183,19,0.0778
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,0.14,6,6.3286,19.9056,4450,4450,0.011,4570.6,20.3076,19.7482,19.8762,6.8357,0.011,20.3076,19.6339,50,0.0126,4537,4499,4499,4557,0.3427,19.9622,4659,4659,0.0089,50,9,6,8.9003,12,0.14
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,0.004,223,56.827,61.3601,25000,25000,0.0097,33.217,70.5217,56.5625,61.0385,68.0332,0.0184,78.7619,53.5484,1250,0.0014,27,23,19,32,0.2235,65.3429,44,71,0.0007,1250,239,223,238.281,255,0.004
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,0.0055,111,14.1506,30.9712,2337,2343,0.0043,3822.4286,37.2312,28.8614,29.5637,16.9422,0.0218,37.2312,26.9066,550,0.0073,3736,3674,3674,3817,0.2165,34.7504,4014,4014,0.0028,544,121,110,120.724,132,0.0055
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,0.1,9,8.4841,25.9461,6230,6230,0.0111,4469,26.2427,25.8541,25.9741,8.7252,0.0111,26.2427,25.4551,70,0.0095,4400,4395,4395,4447,0.3104,26.2046,4607,4607,0.0069,70,12,9,12.1768,15,0.1
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,0.0039,160,19.5296,32.4931,3387,3408,0.003,1585.625,40.0484,28.6412,30.6303,24.6923,0.0192,40.1961,26.6508,800,0.005,839,724,695,1136,0.2133,37.9676,3206,3369,0.0019,779,172,159,171.73,184,0.0039
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,0.0875,10,9.5465,28.3985,7120,7120,0.0111,4412.8,28.8393,28.3909,28.4405,9.6988,0.0111,28.8393,27.7896,80,0.007,4370,4315,4315,4372,0.3003,28.5321,4525,4525,0.0055,80,14,10,13.6385,17,0.0875
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,0.1,9,8.4824,25.6407,6230,6230,0.0111,4435.8,26.5947,25.3567,25.5158,8.6501,0.0111,26.5947,24.9568,70,0.009,4380,4353,4353,4403,0.3187,25.7795,4552,4552,0.0063,70,12,9,12.0849,15,0.1
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,0.0051,120,16.0006,32.868,2545,2556,0.0035,3759,39.9817,30.0397,31.3884,19.9066,0.0232,39.9817,29.6514,600,0.0063,3669,3611,3611,3724,0.2091,35.6801,3995,3995,0.0025,589,131,120,130.73,142,0.0051
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,0.0002,0,397.875,71.4595,83418,84000,0,9.101,94.6,58.9474,68.3636,1190,0.0011,120,50.7,20000,0.0003,6,4,2,8,0.79,84.3333,15,23,0.0001,19502,4267.5,4215,4281.38,4341,0.0002
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,0.0467,20,14.1247,46.4415,12750,12750,0.0117,4188.5,47.2796,46.3281,46.9429,14.056,0.0117,47.2796,45.2154,150,0.0042,4105,4057,4057,4221,0.257,47.2796,4371,4371,0.003,150,25,20,24.8028,30,0.0467
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,0.05,16,7.8455,23.4234,2130,2130,0.0441,4302.5714,24.3948,22.8507,23.6806,8.8106,0.0465,24.3948,22.7653,100,0.0164,4261,4259,4259,4278,0.2579,23.708,4435,4435,0.0089,100,20,16,20.0829,24,0.05
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,0.0001,0,826.5,90.3884,146021,147000,0,4.4891,139,66,82.3333,2313.5,0.0005,200,56.8571,35000,0.0002,3,2,1,4,0.8189,105.8571,8,14,0,34143,7447.5,7421,7454.75,7465,0.0001
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,0.05,16,7.2239,23.6895,2130,2130,0.0441,4302.2857,25.7534,22.8297,23.4317,8.0772,0.0465,25.7534,22.8274,100,0.015,4256,4253,4253,4276,0.2615,24.0244,4408,4408,0.0092,100,20,16,20.2117,25,0.05
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,0.0001,8539,1612.5,91.8767,166897,168000,0,4.3256,140,64,91.5,1206,0.0005,202,53.2,40000,0.0001,3,1,1,4,0,109.6667,7,12,0,39032,8515.5,8474,8513.5,8534,0.0001
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,0.0001,6300,731.8,88.4753,125231,126000,0,5.2667,134,67.0769,83.6,919,0.0006,233,53.25,30000,0.0002,3,2,1,5,0.4222,99.5,9,14,0.0001,29270,6371,6236,6360.4,6396,0.0001
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,0.0033,269,61.4,66.4209,30000,30000,0.0083,26.0924,76.6875,60.7097,66.0435,79.6537,0.0146,90.0833,55.65,1500,0.0011,20,18,15,24,0.2651,71.85,36,48,0.0006,1500,287,271,287.608,304,0.0033
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,0.0333,24,11.3072,31.7884,3195,3195,0.041,4163.2857,33.0958,30.8469,31.5157,12.501,0.0463,33.0958,30.3354,150,0.0097,4090,4078,4078,4124,0.2442,32.9055,4320,4320,0.0059,150,30,24,29.7067,35,0.0333
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,0.0333,24,11.9093,32.2049,3195,3195,0.041,4176.5714,33.7334,31.6269,31.972,12.9832,0.0463,33.7334,30.955,150,0.0103,4061,4038,4038,4182,0.2434,33.1368,4363,4363,0.0066,150,29,24,29.4587,35,0.0333
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,0.0875,10,9.2549,28.5137,7120,7120,0.0111,4408.6,29.1253,28.4267,28.5106,9.4743,0.0111,29.1253,27.9901,80,0.0084,4357,4327,4327,4358,0.2977,28.5159,4549,4549,0.006,80,14,11,13.8743,17,0.0875
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,0.0875,10,9.6484,28.42,7120,7120,0.0111,4418,29.1588,28.2044,28.3577,9.8159,0.0111,29.1588,27.8808,80,0.0073,4344,4315,4315,4413,0.3024,28.4983,4514,4514,0.0054,80,14,10,13.788,17,0.0875
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,0.0077,78,12.1894,23.4231,1693,1704,0.0059,3928.5714,23.8866,23.1441,23.4128,14.7744,0.0366,23.8866,22.463,400,0.0083,3892,3834,3834,3922,0.2068,23.8661,4022,4022,0.0039,389,86,78,86.3066,95,0.0078
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,0.0056,109,14.8334,31.2851,2331,2343,0.0043,3823.7143,38.1678,29.3663,30.0989,18.4348,0.021,38.1678,27.8871,550,0.0064,3776,3726,3726,3791,0.2117,32.9217,3984,3984,0.0028,537,119,109,119.308,130,0.0056
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,0.0012,505,52.6684,34.2843,10427,10500,0.0008,116.8571,36.9828,32.2734,34.3874,78.3389,0.0072,43.51,30.9029,2500,0.0017,97,90,74,107,0.211,35.9032,140,322,0.0006,2433,529,512,529.8,551,0.0013
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,0.0778,12,10.5066,31.249,8010,8010,0.0111,4372.2,32.2223,31.0778,31.0874,10.591,0.0111,32.2223,30.556,90,0.006,4280,4278,4278,4293,0.2904,31.3013,4556,4556,0.0044,90,15,12,15.3607,19,0.0778
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,0.0875,10,9.7029,28.5038,7120,7120,0.0111,4411.8,29.106,28.2257,28.4435,9.9186,0.0111,29.106,28.0041,80,0.0076,4357,4302,4302,4408,0.3064,28.7396,4530,4530,0.0051,80,14,10,13.7092,17,0.0875
SAT11/random/medium/unif-k7-r89-v60-c5340-S239039906-021.SATISFIABLE.cnf,1,0.1167,8,7.4326,22.6802,5340,5340,0.011,4487.6,23.0636,22.5787,22.5915,7.8041,0.011,23.0636,22.5249,60,0.0101,4439,4436,4436,4458,0.3226,22.6422,4588,4588,0.0074,60,10,8,10.4649,13,0.1167
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S643238994-057-UNKNOWN.cnf,1,0.0001,6393,669.8,82.2434,125159,126000,0,5.2165,116.25,63.2857,77.125,976,0.0006,261,55.5,30000,0.0002,3,3,2,5,0.4488,92.5,9,15,0.0001,29224,6347,6299,6343,6355,0.0001
