@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.048,0.2338,0.093,0.1256,0.719,0.5855,0.5822,0.3926,0.0254,0.2908,0.1655,21,0.1747,0.5867,17,26
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0282,0.1323,0.0797,0.1191,1.7696,0.4444,0.4113,0.5682,4.9941,2.0163,1.6206,241,0.1457,0.692,210,1294
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0009,0.0469,0.0019,0.0025,0.8309,0.008,0.6913,0.1651,0,0.112,0,4356,0.004,0.64,4256,4397
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.0475,0.0924,0.1174,1.3557,0.5,0.2835,0.8546,0.1323,6.6383,0.9825,0,0.3595,0.7766,0,0
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.048,0.2336,0.0934,0.1258,0.7172,0.7541,0.5781,0.3951,0.027,0.2896,0.1632,10,0.1772,0.5883,8,12
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0043,0.0405,0.018,0.0222,0.7312,0.1319,0.4123,0.6752,0.2524,0.4576,0.8565,4230,0.0451,0.3529,4214,4236
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0472,0.2339,0.0925,0.1249,0.7103,0.9025,0.577,0.3936,0.0236,0.2911,0.1537,22,0.1773,0.5878,17,26
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0072,0.1733,0.0156,0.022,1.3791,0.1345,0.5482,0.5835,0.9868,0.5454,1.0373,0,0.0292,0.9831,0,0
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0221,0.1831,0.0377,0.0442,1.2995,0.2875,0.8312,0.263,2.3864,0.7131,1.2175,931,0.074,0.6554,768,1008
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0,0.0143,0.0511,0.0047,0.416,1,0.2263,0.9277,0.122,6.6361,0.2542,0,0.2505,0.2426,0,0
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.017,0.0313,0.1631,0.3135,1.6811,0.5,0.471,0.6786,10.418,1.8731,1.7495,0,0.4493,1.4194,0,0
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.0134,0.2086,0.0658,0.1328,1.3213,0.2171,0.4995,0.5567,2.9061,1.065,1.0619,730,0.1335,0.7935,594,1045
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0038,0.0129,0.0108,0.0119,0.4809,0.2259,0.1476,0.9558,0.0002,0.5907,0.4533,0,0.0232,0.2326,0,0
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0378,0.2306,0.0835,0.1147,0.7327,0.3832,0.6244,0.3674,0.0269,0.3002,0.163,3953,0.1706,0.5906,3901,3962
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0093,0.0002,0.7112,0.0672,0,0.0398,0,4373,0.0002,0.6756,4162,4373
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0112,0.0001,0.0001,0.9999,0.0001,0.7402,0.0547,0,0.0429,0,4516,0.0001,0.6794,4509,4588
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0,0.0193,0.0523,0.0134,0.5625,1,0.232,0.9248,0.1111,5.6053,0.3769,0,0.2684,0.2924,0,0
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0548,0.1601,0.0598,0.0697,1.2804,0.1012,1.3487,0.0997,0.082,0.5453,0.6155,1280,0.0698,0.842,955,1376
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.038,0.2316,0.0806,0.1097,0.6081,0.3342,0.6029,0.3713,0.0163,0.2856,0.0803,3961,0.1583,0.5782,3892,3976
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561,0.373,1.1977,0.3797,0,0,0.4262,0.1231,0.3326,3975,0.3786,0.8477,3858,4112
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931,0.1247,0.711,0.7443,0.5775,0.3946,0.0253,0.2902,0.156,6,0.1765,0.5869,5,9
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935,0.2006,1.0987,0.2198,0.0152,0.8139,0.1111,0,0.5281,4869,0.2009,1.0372,4868,4891
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027,0.0034,0.835,0.0118,0.6848,0.1692,0,0.0977,0,48,0.0049,0.6497,41,54
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786,0.1195,1.7619,0.443,0.4458,0.5643,4.8307,1.5143,1.6207,388,0.1472,0.7062,340,475
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001,0.0001,1.0012,0.0002,0.7341,0.0634,0,0.0408,0,4388,0.0002,0.6787,4251,4388
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019,0.0023,0.8395,0.0121,0.641,0.1723,0,0.0957,0,4353,0.0037,0.6418,4187,4437
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919,0.1235,0.7277,0.6623,0.567,0.3949,0.0275,0.2902,0.1744,66,0.1768,0.5878,56,77
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721,0.1191,1.8652,0.435,0.4497,0.6164,5.5414,1.7985,1.7163,395,0.1481,0.7279,289,395
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151,0.0258,1.3599,0.2025,0.5844,0.5271,2.0774,0.5379,1.0226,75,0.032,1.0243,75,75
