@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.048,0.2338,0.093
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0282,0.1323,0.0797
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0009,0.0469,0.0019
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0,0.0475,0.0924
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.048,0.2336,0.0934
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0043,0.0405,0.018
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0472,0.2339,0.0925
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.0072,0.1733,0.0156
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.0221,0.1831,0.0377
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0,0.0143,0.0511
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.017,0.0313,0.1631
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.0134,0.2086,0.0658
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0038,0.0129,0.0108
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.0378,0.2306,0.0835
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0.0001,0.0118,0.0001
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0.0112,0.0001
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0,0.0193,0.0523
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0548,0.1601,0.0598
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.038,0.2316,0.0806
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.3222,0.2629,0.3561
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.0474,0.2337,0.0931
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.185,0.1636,0.1935
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0.0015,0.05,0.0027
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.024,0.1328,0.0786
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0.0001,0.0118,0.0001
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0.001,0.0469,0.0019
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.0461,0.2333,0.0919
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.0164,0.1236,0.0721
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.0018,0.1666,0.0151
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0.0015,0.05,0.0028
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.031,0.0385,0.0312
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.0418,0.232,0.084
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.4971,0.2118,0.4212
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1846644927-079.SATISFIABLE.cnf,1,0,0.0112,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v150-c3195-S1632870961-099.SATISFIABLE.cnf,1,0.001,0.0469,0.002
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/harder/php-020-019.shuffled-as.sat05-1190.cnf,1,0.1562,0.0997,0.161
SAT_Competition2007/crafted/Hard/contest05/QG/QG7a-gensys-icl001.sat05-3822.reshuffled-07.cnf,1,0.4735,0.1672,0.4471
SAT_Competition2009/CRAFTED/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,1,0.012,0.163,0.032
SAT_Competition2007/crafted/Difficult/contest05/jarvisalo/mod2c-rand3bip-sat-210-3.sat05-2475.reshuffled-07.cnf,1,0.0894,0.1369,0.111
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/countbitssrl/countbitssrl032.cnf,1,0.0098,0.1973,0.0267
SAT_Competition2007/random/LargeSize/5SAT/v900/unif-k5-r20-v900-c18000-S422570514-15.cnf,1,0.0015,0.05,0.0029
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1136141672-041.cnf,1,0.0462,0.2337,0.0904
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bjrb07amba2andenv-tseitin.cnf,1,0.0402,0.1666,0.0751
