@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0.3918,0.0097,0.4952,0,0.0445,0.4946,18.2995,0.1301,0.0908,1.7953,0.4947,0.4944,0.1593,?,0.017
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.0267,0.2671,0.6494,0.5,0,0.4958,0.0576,0,0.0013,0.7927,19.355,0.1626,0.007,0.9864,?,0.8254
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0,0.2509,0.9093,0.099,0,0.6262,0.0148,25.887,0.0037,0.7431,8.6144,0.0334,0,0.9738,1.0454,0.5166
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.2206,0.2306,0.1152,1,0,0.5308,0.4995,11.8763,0.6034,0.6647,0.8134,0.4999,0.4909,0.7998,?,0.4259
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0.0118,0.0212,0.7118,0.0001,0,0.8685,0,57.779,0.0058,0.8879,39.6578,0,0,0.9115,?,1.9114
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,0,1.4096,0.5,0.3227,1,0.0016,0.3197,15.0611,0.0459,0.0047,0.9011,0.3207,0.3145,0.0598,0.0861,0
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0.0201,0.0195,0.9349,0,0.8,0.7887,0,44.1493,0.0057,0.7982,27.0562,0,0,0.8206,?,1.4631
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0,0.331,0.6497,0.3668,0,0.3654,0.028,18.8218,0.0056,0.5653,1.3762,0.2564,0.0206,0.9675,?,0.7612
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0.013,0.0202,0.7267,0,0,0.8555,0,58.1329,0.0059,0.8659,34.3686,0,0,0.8934,?,1.9953
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.2192,0.4123,0.0646,0.1319,0.3333,0.2068,0.011,21.5996,0.0258,0.4881,4.0415,0.0222,0.0043,0.9033,?,0.4074
