@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.0003,0.0003,479.188,0.0003,0.0006,2130,2165,148.318,10000,2150,2129.09,2085,2014.62,2070,2183,0.0006,0,0.2673,0.237,17,0.0802,18.2639,9752,0.0002,13,0.3017,11,0.048,0.019,8,26,0.0008
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0003,0.0003,347.765,0.0003,0.0007,2130,2163,158.52,10000,2159,2127.88,2091,2022.12,2081,2175,0.0006,0,0.2581,0.2396,17,0.0791,18.1437,9769,0.0002,14,0.3052,12,0.0472,0.0186,8,26,0.0009
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,0.0875,0.0875,9.7683,0.0875,0.0875,14,17,9.6097,80,14,13.7119,10,13.7424,10,17,0.0111,0.0781,0.1992,0.6687,4385,0.0001,4416.4,80,0.0055,4358,0.7503,4338,0,0.1938,4338,4545,0.0958
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,0.0006,0.0006,82.7872,0.0004,0.0021,1001,1038,61.6392,6500,1005,1004.05,978,994.926,975,1032,0.0013,0.0001,0.1066,0.1882,435,0.1668,499.84,4798,0.0003,398,0.3942,380,0.1024,0.0235,338,751,0.0025
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,0.035,0.035,17.7512,0.035,0.035,33,39,18.056,200,33,33.4572,27,32.9107,28,39,0.0117,0.0307,0.1421,0.6302,3864,0.0001,3854.75,200,0.0021,3754,0.7266,3514,0.0001,0.1342,3514,4287,0.04
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,0.0778,0.0778,10.5497,0.0778,0.0778,15,19,10.4131,90,15,15.3671,12,15.365,12,19,0.0111,0.071,0.1855,0.6625,4329,0.0001,4362,90,0.0049,4298,0.7487,4236,0,0.1921,4236,4543,0.0849
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0455,0.0455,9.6703,0.0455,0.0455,22,27,8.7044,110,22,21.9929,18,21.9929,18,27,0.0457,0.0341,0.1619,0.5591,4256,0.0016,4278.25,110,0.0088,4237,0.6975,4227,0.0009,0.162,4227,4397,0.0619
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,0.0455,0.0455,10.0267,0.0455,0.0455,22,26,9.0747,110,22,21.9697,17,21.9015,18,27,0.0456,0.0359,0.1617,0.5605,4266,0.0014,4277.375,110,0.0082,4227,0.704,4192,0.0009,0.1625,4192,4419,0.0568
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,0.0002,0.0002,580,0.0002,0.0005,2779,2824,541.35,13000,2759,2632,2674,2508.18,2694,2809,0.0005,0,0.3321,0.2293,11,0.0788,12.4356,12681,0.0001,9,0.3014,7,0.0461,0.2359,5,18,0.0008
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,0.14,0.14,6.8891,0.14,0.14,9,11,6.3715,50,9,8.835,6,8.9002,6,12,0.011,0.1245,0.231,0.7049,4579,0.0001,4584,50,0.0088,4555,0.7737,4553,0,0.2278,4553,4646,0.1492
