@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.0003,0.0003,479.188,0.0003,0.0006,2130,2165,148.318,10000,2150,2129.09,2085,2014.62,2070,2183,0.0006,0,0.2673,0.237,17,0.0802,18.2639,9752,0.0002,13,0.3017,11,0.048,0.019,8,26,0.0008,0.0283,21,0.0616,0.2338,0.093,0.0017,0.0006,0.7922,0.1256,0.2943,0.1747,42,84,0.2274,2.7143,41709,64.9,42000,5.0606,0.3668,0.1707,0.5867,0.2219,2.3332,1.7795,6,0.6589,52,59.8,0.1804,53.1653,0
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.0003,0.0003,347.765,0.0003,0.0007,2130,2163,158.52,10000,2159,2127.88,2091,2022.12,2081,2175,0.0006,0,0.2581,0.2396,17,0.0791,18.1437,9769,0.0002,14,0.3052,12,0.0472,0.0186,8,26,0.0009,0.0281,22,0.0652,0.2339,0.0925,0.002,0.0005,0.6462,0.1249,0.2948,0.1773,36,86,0.2274,2.7124,41760,69.2857,42000,5.0265,0.3096,0.1686,0.5878,0.2662,2.3261,0.9824,6,0.173,52.5,59.4762,0.1878,54.1613,0
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,0.0875,0.0875,9.7683,0.0875,0.0875,14,17,9.6097,80,14,13.7119,10,13.7424,10,17,0.0111,0.0781,0.1992,0.6687,4385,0.0001,4416.4,80,0.0055,4358,0.7503,4338,0,0.1938,4338,4545,0.0958,0,4456,1.7242,0.0112,0.0001,0.0111,0.0074,1.9698,0.0001,0,0.0001,4545,29.3166,0.0304,3.8445,7120,29.3166,7120,2,0.0171,0.0268,0.6799,0.4144,3.0116,0.2677,2,0.0963,28.372,28.6203,0.0138,28.5736,0.0032
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,0.0006,0.0006,82.7872,0.0004,0.0021,1001,1038,61.6392,6500,1005,1004.05,978,994.926,975,1032,0.0013,0.0001,0.1066,0.1882,435,0.1668,499.84,4798,0.0003,398,0.3942,380,0.1024,0.0235,338,751,0.0025,0.058,535,0.0869,0.3193,0.1802,0.0056,0.0013,0.5312,0.2418,0.4603,0.3089,924,36.8853,0.2923,2.6233,15027,36.3352,17354,5.9545,0.3086,0.2098,0.7575,0.293,2.1556,0.9419,7,0.091,28.5176,30.6136,0.1233,29.8539,0
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,0.035,0.035,17.7512,0.035,0.035,33,39,18.056,200,33,33.4572,27,32.9107,28,39,0.0117,0.0307,0.1421,0.6302,3864,0.0001,3854.75,200,0.0021,3754,0.7266,3514,0.0001,0.1342,3514,4287,0.04,0.0001,4287,1.2586,0.0118,0.0001,0.0117,0.0031,1.5963,0.0001,0,0.0002,4287,59.0669,0.0341,4.3154,17000,59.0669,17000,2,0.0726,0.0259,0.6789,0.4318,3.0585,0.2009,2,0.0629,58.1688,59.0669,0.025,57.5305,0.0011
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,0.0778,0.0778,10.5497,0.0778,0.0778,15,19,10.4131,90,15,15.3671,12,15.365,12,19,0.0111,0.071,0.1855,0.6625,4329,0.0001,4362,90,0.0049,4298,0.7487,4236,0,0.1921,4236,4543,0.0849,0,4404,1.7176,0.0112,0.0001,0.0111,0.007,1.9129,0.0001,0,0.0001,4543,32.4942,0.0317,3.8942,8010,32.4942,8010,2,0.0242,0.0243,0.6786,0.413,3.1112,0.2423,2,0.088,31.3501,31.4809,0.0173,31.4722,0.0032
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0.0455,0.0455,9.6703,0.0455,0.0455,22,27,8.7044,110,22,21.9929,18,21.9929,18,27,0.0457,0.0341,0.1619,0.5591,4256,0.0016,4278.25,110,0.0088,4237,0.6975,4227,0.0009,0.162,4227,4397,0.0619,0.0006,4356,1.1521,0.0469,0.0019,0.0465,0.0132,1.5591,0.0025,0.0156,0.004,4397,25.9397,0.0788,3.564,2343,25.9397,2343,2.789,0.0138,0.0616,0.64,0.433,2.7114,0.2899,3,0.0843,25.2758,25.4522,0.0277,24.9297,0.0051
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,0.0455,0.0455,10.0267,0.0455,0.0455,22,26,9.0747,110,22,21.9697,17,21.9015,18,27,0.0456,0.0359,0.1617,0.5605,4266,0.0014,4277.375,110,0.0082,4227,0.704,4192,0.0009,0.1625,4192,4419,0.0568,0.0006,4385,1.1488,0.0469,0.0018,0.0465,0.0137,1.563,0.0024,0.0149,0.0033,4419,26.2152,0.0792,3.4926,2343,26.2152,2343,2.8624,0.0179,0.0526,0.6414,0.4281,2.7746,0.272,3,0.0775,25.4038,26.0166,0.0257,25.2032,0.003
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,0.0002,0.0002,580,0.0002,0.0005,2779,2824,541.35,13000,2759,2632,2674,2508.18,2694,2809,0.0005,0,0.3321,0.2293,11,0.0788,12.4356,12681,0.0001,9,0.3014,7,0.0461,0.2359,5,18,0.0008,0.0274,15,0.0645,0.2337,0.0919,0.0017,0.0004,0.7619,0.1228,0.2953,0.1762,31,104.1667,0.225,2.7188,54263,76.5,54600,5.038,0.3721,0.17,0.5866,0.2496,2.339,1.1822,6,0.268,59.1429,66.7,0.2051,59.369,0
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,0.14,0.14,6.8891,0.14,0.14,9,11,6.3715,50,9,8.835,6,8.9002,6,12,0.011,0.1245,0.231,0.7049,4579,0.0001,4584,50,0.0088,4555,0.7737,4553,0,0.2278,4553,4646,0.1492,0,4587,1.9675,0.0112,0.0001,0.011,0.0119,2.2224,0.0001,0,0.0001,4646,20.2036,0.0348,3.5029,4450,20.2036,4450,2,0.0074,0.0259,0.687,0.4304,2.9188,0.2888,2,0.1144,19.7117,19.758,0.0114,19.7719,0.0061
