@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE gr_avg_deg_cg NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE dy_peak NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE dy_depth NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE dy_sols NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE dy_ratio_nodes NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE s_first_fail NUMERIC
@ATTRIBUTE s_goal NUMERIC
@ATTRIBUTE gc_at_least_most NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE gc_diffn NUMERIC
@ATTRIBUTE s_indomain_max NUMERIC
@ATTRIBUTE gc_all_diff NUMERIC
@ATTRIBUTE gc_inverse NUMERIC
@ATTRIBUTE gc_circuit NUMERIC
@ATTRIBUTE gc_member NUMERIC
@ATTRIBUTE gc_regular NUMERIC
@ATTRIBUTE gc_range NUMERIC
@ATTRIBUTE gc_precede NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.005425,0.994604,2.334539,403.346335,2.321942,553,0.022812,68,0.124774,1.897653,13.122966,4.466809,47,6.900542,2.378528,4.372153,234079,1.214625,0.838857,8.754888,0.923018,19.937865,5.451697,8.604235,-0.674054,8.754888,24039,0.885226,1,8.816327,1.688148,0.42835,1291,128230.632653,553,552,19,4735.798359,2.16,24039,0.836131,1.838185,0.06,7.876517,2.979328,0.992806,4.372867,0.205447,423.289331,231.881795,570.399345,1.981107,1.386303,1481,556,0.32715,48,11085.452705,637.279414,4783.954927,18.546763,0.05,-0.338626,2,235,2363.471488,96,49,549,549,0,4,0.001799,56.790942,24039,23.456077,49907,324,100202,2,44,24039,46,0,0.217391,4.6,192,1,0,1,0.498064,0.802614,28378,1,0,1,1,10,15664669,0,1,0,0,1,0,0,0,0,0,0.007194,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.011894,0.988246,2.343092,254.232599,2.315552,1093,0.015858,32,0.030192,1.240943,33.954254,3.874394,27,3.875572,0.860448,1.718294,718797,1.100994,0.382336,9.475733,0.926504,21.623595,4.750237,9.354835,-0.035299,9.475733,19189,0.98921,1,24.551724,1.289137,0.426786,2561,364354.477833,1093,1092,59,10183.52397,2.29,19189,0.379997,1.768525,0.18,8.870365,4.80862,0.987342,3.90288,0.319494,657.63678,333.352679,1145.910482,1.913015,1.360257,2941,1106,0.324728,28,23915.695718,1293.472213,10346.447767,12.126582,0.07,-0.444649,2,468,4860.906176,56,29,1079,1079,0,4,0.000904,29.178721,19189,32.748907,30645,1284,61440,2,25,19189,26,0,1.153846,0.866667,69,1,0,1,0.498779,0,14355.4,1,0,1,1,30,15676123,0,1,0,0,1,0,0,0,0,0,0.012658,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.01174,0.988397,2.342583,254.232599,2.315401,937,0.015857,32,0.035219,1.273294,29.922092,3.875324,27,3.965848,0.924092,1.838811,618853,1.101049,0.403801,9.475733,0.926504,21.622883,4.764253,9.354826,-0.058405,9.475733,19189,0.986054,1,24.551724,1.288211,0.426879,2195,315045.374384,937,936,51,8730.767402,2.23,19189,0.402017,1.781549,0.13,8.870365,4.584824,0.987342,3.903807,0.306937,660.462113,336.227721,982.19452,1.932083,1.360606,2521,948,0.324635,28,20498.492976,1107.054163,8868.37527,12.109705,0.06,-0.444897,2,468,4164.853399,56,29,925,925,0,4,0.001055,29.0539,19189,30.358326,34952,1156,70061,2,25,19189,26,0,1,1,74,1,0,1,0.49888,0,16765.1,1,0,1,1,26,15692178,0,1,0,0,1,0,0,0,0,0,0.012658,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.854489,1.17029,2.439628,130.301639,2.855072,135,0.956603,154,0.47678,1.499262,2.04644,0.364998,38,17.684211,2.445016,0.86691,1818,1.931658,1.594535,5.857981,0.978071,6.919871,2.469913,1.864841,-1.643858,1,18,1.867133,5,0.4,1.081264,1.229695,788,568.846262,323,76,6,424.914507,2.15,58,2.445856,3.414162,0.02,1,1.750986,0.275362,1.444888,0.584606,5.628483,1.761134,267.193986,3.242353,0.699271,662,276,0.612807,133,1909.884329,281.331846,514.696092,7.608696,0.09,0.212432,0,2,412.745021,100,18,120,120,0.050725,0,0.01087,9.594059,18,3.51493,96394,3996,193079,0,168,54,3,14,1.333333,0.75,3,1,14,0,0.499246,0.919636,5958.01,3,1,1,0,4,1888688,0,0,0.26087,0.582043,0.417957,72,0,0,0,188,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.844311,1.184397,2.658683,85.809962,3.148936,83,0.864639,109,0.652695,1.192751,2.221557,0.467609,28,17.389222,1.896642,0.743316,826,1.541775,1.387051,5.129283,0.860427,7.216897,2.381284,1.935767,-2.540555,1,10.666667,1.68967,5,0.5,0.933895,1.128378,444,275.116162,167,48,3,228.809962,2.11,35,2.010703,3.346506,0.01,1,1.354917,0.340426,1.502487,0.389131,4.946108,1.647402,161.731336,3.273939,0.491469,348,141,0.732241,82,1017.58249,169.173841,272.943132,7.815603,0.08,0.137466,0,2,247.217218,67,12,68,68,0.06383,0,0.021277,6.469734,10.666667,2.883904,95701,649,191475,0,91,32,3,9,1,1,0,1,9,0,0.499809,0.972524,17325.4,3,1,1,0,3,3291823,0,0,0.113475,0.502994,0.497006,16,0,0,0,84,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0.875,1.142857,4.613636,46.584963,5.272727,45,0.002828,1012,5.755682,0.919396,7.403409,0.050557,45,20.852273,0.148638,0.533807,356,1.338086,1.112036,1.035221,0.863121,5.283019,1.697772,1.000229,-56.443755,2,6,1.697772,1,0.064516,1.529134,0.216749,812,160.973523,176,1,10,177.584963,2.08,6,1.123249,2.959287,0.01,1,2.110857,0.006494,0.593023,0.179367,2.022727,0.914622,252.014005,0.948206,1.581138,286,154,0.272425,52,813.584963,273.435573,154.035221,14.25974,0.03,-0.512219,2,2,273.485512,44,31,110,110,0,5,0.006494,2.966292,6,13.228757,113902,181,227815,2,22,6,44,0,0.113636,8.8,0,2,0,0,0.499976,0,49556.3,1,0,0,0,5,7631668,0,1,0.422078,0.744318,0.255682,65,0.285714,0,44,131,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0.871345,1.147651,4.391813,46.584963,5.040268,45,0.002875,1012,5.923977,0.91173,7.169591,0.051791,45,20.807018,0.150733,0.539809,346,1.312548,1.101634,1.035221,0.875472,5.050906,1.817257,1.000236,-58.137527,2,6,1.817257,1,0.08,1.444362,0.227696,751,156.185338,171,1,9,172.584963,2.07,6,1.114662,3.008259,0.01,1,2.042896,0.006711,0.604364,0.170018,2.023392,0.913365,243.693024,1.09181,1.544786,271,149,0.280654,46,752.584963,261.742794,149.035221,14.630872,0.02,-0.534702,2,2,261.792733,44,25,105,105,0,5,0.006711,2.965318,6,13.038405,121089,181,242187,2,22,6,44,0,0.090909,11,0,2,0,0,0.499981,0,53067.2,1,0,0,0,4,7907008,0,1,0.402685,0.736842,0.263158,60,0.295302,0,44,126,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0.705761,1.41691,2.369684,86.1418,3.357629,1458,0.033152,36,0.026063,0.759847,12.741427,0.907263,16,10.436214,4.518962,8.667608,79800,1.249189,0.792204,8.806302,0.431226,18.362076,1.549508,5.570396,0.839824,11.399278,9472,1.537596,556,4.625,0.310973,0.421997,3455,41652.875,1458,1029,24,8047.340591,2.42,9472,0.740476,2.129386,0.31,5.209453,3.818351,1,1.659975,0.453546,54.73251,28.568501,1750.233125,1.876049,1.316656,3087,1029,0.204988,52,18894.576545,1566.128092,5731.937969,5.341108,0.06,-1.858694,2,37,4114.999135,92,8,902,902,0,2,0.000972,173.05985,9472,38.075086,36928,2183,73877,2,47,9472,2,0,0,-1,0,2,0,1,0.499858,0.552797,4428.8,1,0,1,0,0,2621849,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.854489,1.17029,2.439628,130.301639,2.855072,135,0.956603,154,0.47678,1.499262,2.04644,0.364998,38,17.684211,2.445016,0.86691,1818,1.931658,1.594535,5.857981,0.978071,6.919871,2.469913,1.864841,-1.643858,1,18,1.867133,5,0.4,1.081264,1.229695,788,568.846262,323,76,6,424.914507,2.16,58,2.445856,3.414162,0.02,1,1.750986,0.275362,1.444888,0.584606,5.628483,1.761134,267.193986,3.242353,0.699271,662,276,0.612807,133,1909.884329,281.331846,514.696092,7.608696,0.1,0.212432,0,2,412.745021,100,18,120,120,0.050725,0,0.01087,9.594059,18,3.51493,94702,3996,189696,0,168,54,3,14,1.333333,0.75,3,1,14,0,0.49923,0.919636,5855.79,3,1,1,0,4,1856287,0,0,0.26087,0.582043,0.417957,72,0,0,0,188,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.922849,1.083601,4.27003,163.18438,4.62701,207,0.524348,505,1.557864,0.954104,6.72997,2.365588,37,20.189911,2.663326,3.59156,8891,1.199419,1.218064,6.210112,0.928643,15.1888,4.189744,3.085834,-12.818364,2,701,1.563305,5,0.285714,1.444347,0.23419,1439,4514.982966,337,154,21,985.13233,2.1,701,1.433198,3.318525,0.05,1,2.816521,0.495177,2.287016,0.470745,26.382789,13.397576,489.565861,3.564783,0.692972,874,311,0.50823,76,4723.716704,514.452586,959.694415,21.344051,0.02,-0.530212,2,2,942.348323,86,27,250,270,0.006431,3,0.003215,26.570352,701,9.600911,108711,2326,217555,2,284,701,35,2,0.028571,35,13,1,0,0,0.499694,2.205556,8508.53,1,1,1,0,1,2518524,0,20,0.106109,0.385757,0.614243,33,0.344051,34,107,130,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
