@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.005425,0.994604,2.334539,403.346335,2.321942,553,0.022812,68,0.124774,1.897653,13.122966,4.466809,47,6.900542,2.378528,4.372153,234079,1.214625,0.838857,8.754888,0.923018,19.937865,5.451697,8.604235,-0.674054,8.754888,24039,0.885226,1,8.816327,1.688148,0.42835
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.011894,0.988246,2.343092,254.232599,2.315552,1093,0.015858,32,0.030192,1.240943,33.954254,3.874394,27,3.875572,0.860448,1.718294,718797,1.100994,0.382336,9.475733,0.926504,21.623595,4.750237,9.354835,-0.035299,9.475733,19189,0.98921,1,24.551724,1.289137,0.426786
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.01174,0.988397,2.342583,254.232599,2.315401,937,0.015857,32,0.035219,1.273294,29.922092,3.875324,27,3.965848,0.924092,1.838811,618853,1.101049,0.403801,9.475733,0.926504,21.622883,4.764253,9.354826,-0.058405,9.475733,19189,0.986054,1,24.551724,1.288211,0.426879
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.854489,1.17029,2.439628,130.301639,2.855072,135,0.956603,154,0.47678,1.499262,2.04644,0.364998,38,17.684211,2.445016,0.86691,1818,1.931658,1.594535,5.857981,0.978071,6.919871,2.469913,1.864841,-1.643858,1,18,1.867133,5,0.4,1.081264,1.229695
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.844311,1.184397,2.658683,85.809962,3.148936,83,0.864639,109,0.652695,1.192751,2.221557,0.467609,28,17.389222,1.896642,0.743316,826,1.541775,1.387051,5.129283,0.860427,7.216897,2.381284,1.935767,-2.540555,1,10.666667,1.68967,5,0.5,0.933895,1.128378
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,0.875,1.142857,4.613636,46.584963,5.272727,45,0.002828,1012,5.755682,0.919396,7.403409,0.050557,45,20.852273,0.148638,0.533807,356,1.338086,1.112036,1.035221,0.863121,5.283019,1.697772,1.000229,-56.443755,2,6,1.697772,1,0.064516,1.529134,0.216749
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,0.871345,1.147651,4.391813,46.584963,5.040268,45,0.002875,1012,5.923977,0.91173,7.169591,0.051791,45,20.807018,0.150733,0.539809,346,1.312548,1.101634,1.035221,0.875472,5.050906,1.817257,1.000236,-58.137527,2,6,1.817257,1,0.08,1.444362,0.227696
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,0.705761,1.41691,2.369684,86.1418,3.357629,1458,0.033152,36,0.026063,0.759847,12.741427,0.907263,16,10.436214,4.518962,8.667608,79800,1.249189,0.792204,8.806302,0.431226,18.362076,1.549508,5.570396,0.839824,11.399278,9472,1.537596,556,4.625,0.310973,0.421997
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.854489,1.17029,2.439628,130.301639,2.855072,135,0.956603,154,0.47678,1.499262,2.04644,0.364998,38,17.684211,2.445016,0.86691,1818,1.931658,1.594535,5.857981,0.978071,6.919871,2.469913,1.864841,-1.643858,1,18,1.867133,5,0.4,1.081264,1.229695
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.922849,1.083601,4.27003,163.18438,4.62701,207,0.524348,505,1.557864,0.954104,6.72997,2.365588,37,20.189911,2.663326,3.59156,8891,1.199419,1.218064,6.210112,0.928643,15.1888,4.189744,3.085834,-12.818364,2,701,1.563305,5,0.285714,1.444347,0.23419
