@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,324,6.666667,324,0,0.222222,0.091828,324,324,30,0.066667,0.066667,0.229885
1-fullins-3-4.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,263,6.666667,263,0,0.222222,0.091828,263,263,30,0.066667,0.066667,0.229885
1-fullins-4-4.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,263,12.752688,263,0,0.137126,0.039056,263,263,93,0.021505,0.021505,0.138616
1-fullins-4-5.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,184,12.752688,184,0,0.137126,0.039056,184,184,93,0.021505,0.021505,0.138616
1-fullins-5-4.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,263,23.028369,263,0,0.081661,0.016686,263,263,282,0.007092,0.007092,0.081951
1-fullins-5-5.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,184,23.028369,184,0,0.081661,0.016686,184,184,282,0.007092,0.007092,0.081951
1-fullins-5-6.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,169,23.028369,169,0,0.081661,0.016686,169,169,282,0.007092,0.007092,0.081951
1-insertions-4-3.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,324,6.925373,324,0,0.103364,0,324,324,67,0.029851,0.029851,0.10493
1-insertions-4-4.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,263,6.925373,263,0,0.103364,0,263,263,67,0.029851,0.029851,0.10493
1-insertions-5-4.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,263,12.148515,263,0,0.060141,0,263,263,202,0.009901,0.009901,0.06044
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,184,12.148515,184,0,0.060141,0,184,184,202,0.009901,0.009901,0.06044
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,169,12.148515,169,0,0.060141,0,169,169,202,0.009901,0.009901,0.06044
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,263,20.879736,263,0,0.034398,0,263,263,607,0.003295,0.003295,0.034455
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,184,20.879736,184,0,0.034398,0,184,184,607,0.003295,0.003295,0.034455
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,169,20.879736,169,0,0.034398,0,169,169,607,0.003295,0.003295,0.034455
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,154,20.879736,154,0,0.034398,0,154,154,607,0.003295,0.003295,0.034455
