@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,324,6.666667,324
1-fullins-3-4.xml.watchless.minion.gz,1,0.166667,0.364781,0.366667,0.2,263,6.666667,263
1-fullins-4-4.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,263,12.752688,263
1-fullins-4-5.xml.watchless.minion.gz,1,0.096774,0.236605,0.344086,0.11828,184,12.752688,184
1-fullins-5-4.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,263,23.028369,263
1-fullins-5-5.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,184,23.028369,184
1-fullins-5-6.xml.watchless.minion.gz,1,0.053191,0.147531,0.336879,0.070922,169,23.028369,169
1-insertions-4-3.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,324,6.925373,324
1-insertions-4-4.xml.watchless.minion.gz,1,0.074627,0.352067,0.328358,0.089552,263,6.925373,263
1-insertions-5-4.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,263,12.148515,263
1-insertions-5-5.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,184,12.148515,184
1-insertions-5-6.xml.watchless.minion.gz,1,0.039604,0.243809,0.331683,0.049505,169,12.148515,169
1-insertions-6-4.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,263,20.879736,263
1-insertions-6-5.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,184,20.879736,184
1-insertions-6-6.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,169,20.879736,169
1-insertions-6-7.xml.watchless.minion.gz,1,0.023064,0.159787,0.332784,0.029654,154,20.879736,154
2-fullins-3-4.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,263,7.730769,263
2-fullins-3-5.xml.watchless.minion.gz,1,0.096154,0.331856,0.288462,0.134615,184,7.730769,184
2-fullins-4-4.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,263,15.292453,263
2-fullins-4-5.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,184,15.292453,184
2-fullins-4-6.xml.watchless.minion.gz,1,0.04717,0.205428,0.259434,0.061321,169,15.292453,169
2-fullins-5-4.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,263,28.640845,263
2-fullins-5-5.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,184,28.640845,184
2-fullins-5-6.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,169,28.640845,169
2-fullins-5-7.xml.watchless.minion.gz,1,0.021127,0.122158,0.252347,0.029343,154,28.640845,154
2-insertions-3-3.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,324,3.891892,324
2-insertions-3-4.xml.watchless.minion.gz,1,0.081081,0.458347,0.243243,0.108108,263,3.891892,263
2-insertions-4-3.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,324,7.261745,324
2-insertions-4-4.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,263,7.261745,263
2-insertions-4-5.xml.watchless.minion.gz,1,0.033557,0.340533,0.248322,0.053691,184,7.261745,184
2-insertions-5-3.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,324,13.18593,324
2-insertions-5-4.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,263,13.18593,263
2-insertions-5-5.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,184,13.18593,184
2-insertions-5-6.xml.watchless.minion.gz,1,0.015075,0.229052,0.249581,0.020101,169,13.18593,169
3-fullins-3-5.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,184,8.65,184
3-fullins-3-6.xml.watchless.minion.gz,1,0.075,0.3083,0.2375,0.0875,169,8.65,169
3-fullins-4-5.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,184,17.402469,184
3-fullins-4-6.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,169,17.402469,169
3-fullins-4-7.xml.watchless.minion.gz,1,0.02716,0.185323,0.207407,0.037037,154,17.402469,154
3-fullins-5-5.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,184,33.252217,184
3-fullins-5-6.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,169,33.252217,169
3-fullins-5-7.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,154,33.252217,154
3-fullins-5-8.xml.watchless.minion.gz,1,0.010345,0.10708,0.201478,0.014286,136,33.252217,136
3-insertions-3-3.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,324,3.928571,324
3-insertions-3-4.xml.watchless.minion.gz,1,0.053571,0.453656,0.196429,0.071429,263,3.928571,263
3-insertions-4-3.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,324,7.44484,324
3-insertions-4-4.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,263,7.44484,263
3-insertions-4-5.xml.watchless.minion.gz,1,0.017794,0.334833,0.199288,0.02847,184,7.44484,184
3-insertions-5-3.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,324,13.790896,324
3-insertions-5-4.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,263,13.790896,263
3-insertions-5-5.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,184,13.790896,184
3-insertions-5-6.xml.watchless.minion.gz,1,0.006401,0.221368,0.199858,0.01138,169,13.790896,169
4-fullins-3-6.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,169,9.491228,169
4-fullins-3-7.xml.watchless.minion.gz,1,0.061404,0.289676,0.201754,0.061404,154,9.491228,154
4-fullins-4-6.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,169,19.275362,169
4-fullins-4-7.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,154,19.275362,154
4-fullins-4-8.xml.watchless.minion.gz,1,0.018841,0.170563,0.172464,0.021739,136,19.275362,136
4-fullins-5-5.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,184,37.291365,184
4-fullins-5-6.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,169,37.291365,169
4-fullins-5-7.xml.watchless.minion.gz,1,0.00603,0.27407,0.167631,0.007477,154,37.291365,154
