@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0.164629,6.074257,12.148515,12.148515,1,1227,202,4,0.392949,808,4,4,2.997733,404,0,1227
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0.086849,11.514184,23.028369,23.028369,1,3247,282,4.643856,0.271714,1410,5,4.643856,5.028743,654.783723,0,3247
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0.231214,4.325,8.65,8.65,1,346,80,4.643856,0.688786,400,5,4.643856,2.712249,185.754248,0,346
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0.288793,3.462687,6.925373,6.925373,1,232,67,4,0.638606,268,4,4,2.049091,134,0,232
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0.509091,1.964286,3.928571,3.928571,1,110,56,3.169925,0.790584,168,3,3.169925,0.83827,88.7579,0,110
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593,1,3936,597,4,0.357065,2388,4,4,2.650763,1194,0,3936
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0.268642,3.72242,7.44484,7.44484,1,1046,281,4,0.585998,1124,4,4,1.588719,562,0,1046
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593,1,3936,597,3.169925,0.267799,1791,3,3.169925,2.650763,946.222613,0,3936
normalized-37s-smv.xml.mzn_AND_NODATA,1,0.394432,2.535294,6.746218,6.378151,1,3017,1190,2.649652,0.380231,2312,1.942857,11,2.449867,1122,1.109068,3017
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736,1,6337,607,4.643856,0.31051,3035,5,4.643856,3.833265,1409.410354,0,6337
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736,1,6337,607,4,0.248408,2428,4,4,3.833265,1214,0,6337
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0.06983,14.320423,28.640845,28.640845,1,12201,852,4,0.181949,3408,4,4,5.055056,1704,0,12201
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0.114926,8.701235,17.402469,17.402469,1,3524,405,4.643856,0.362095,2025,5,4.643856,3.790965,940.380878,0,3524
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736,1,6337,607,5.169925,0.372612,3642,6,5.169925,3.833265,1569.072238,0,6337
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0.264624,3.778947,7.557895,7.557895,1,1795,475,4,0.572503,1900,4,4,1.408585,950,0,1795
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0.194444,5.142857,10.285714,10.285714,1,792,154,5.169925,0.756897,924,6,5.169925,2.448476,398.084225,0,792
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0.194444,5.142857,10.285714,10.285714,1,792,154,5.61471,0.883046,1078,7,5.61471,2.448476,432.332658,0,792
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0.164629,6.074257,12.148515,12.148515,1,1227,202,4.643856,0.491187,1010,5,4.643856,2.997733,469.029475,0,1227
