@RELATION 'FEATURE_VALUES_CSP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 4'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC

@DATA
normalized-1-insertions-5-4.xml.mzn_AND_NODATA,1,0.164629,6.074257,12.148515,12.148515
normalized-1-fullins-5-5.xml.mzn_AND_NODATA,1,0.086849,11.514184,23.028369,23.028369
normalized-3-fullins-3-5.xml.mzn_AND_NODATA,1,0.231214,4.325,8.65,8.65
normalized-1-insertions-4-4.xml.mzn_AND_NODATA,1,0.288793,3.462687,6.925373,6.925373
normalized-3-insertions-3-3.xml.mzn_AND_NODATA,1,0.509091,1.964286,3.928571,3.928571
normalized-2-insertions-5-4.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593
normalized-3-insertions-4-4.xml.mzn_AND_NODATA,1,0.268642,3.72242,7.44484,7.44484
normalized-2-insertions-5-3.xml.mzn_AND_NODATA,1,0.151677,6.592965,13.18593,13.18593
normalized-37s-smv.xml.mzn_AND_NODATA,1,0.394432,2.535294,6.746218,6.378151
normalized-1-insertions-6-5.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736
normalized-1-insertions-6-4.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736
normalized-2-fullins-5-4.xml.mzn_AND_NODATA,1,0.06983,14.320423,28.640845,28.640845
normalized-3-fullins-4-5.xml.mzn_AND_NODATA,1,0.114926,8.701235,17.402469,17.402469
normalized-1-insertions-6-6.xml.mzn_AND_NODATA,1,0.095787,10.439868,20.879736,20.879736
normalized-4-insertions-4-4.xml.mzn_AND_NODATA,1,0.264624,3.778947,7.557895,7.557895
normalized-5-fullins-3-6.xml.mzn_AND_NODATA,1,0.194444,5.142857,10.285714,10.285714
normalized-5-fullins-3-7.xml.mzn_AND_NODATA,1,0.194444,5.142857,10.285714,10.285714
normalized-1-insertions-5-5.xml.mzn_AND_NODATA,1,0.164629,6.074257,12.148515,12.148515
normalized-46s-smv.xml.mzn_AND_NODATA,1,0.580065,1.723945,6.377792,10.408189
normalized-3-insertions-4-3.xml.mzn_AND_NODATA,1,0.268642,3.72242,7.44484,7.44484
normalized-2-fullins-3-4.xml.mzn_AND_NODATA,1,0.258706,3.865385,7.730769,7.730769
normalized-aim-100-1-6-4.xml.mzn_AND_NODATA,1,0.769231,1.3,3.4,5.62
normalized-aim-100-1-6-unsat-1_ext.xml.mzn_AND_NODATA,1,0.833333,1.2,2.933333,4.46
normalized-4-fullins-4-6.xml.mzn_AND_NODATA,1,0.103759,9.637681,19.275362,19.275362
normalized-2-fullins-5-6.xml.mzn_AND_NODATA,1,0.06983,14.320423,28.640845,28.640845
normalized-3-insertions-5-4.xml.mzn_AND_NODATA,1,0.145023,6.895448,13.790896,13.790896
normalized-3-insertions-5-5.xml.mzn_AND_NODATA,1,0.145023,6.895448,13.790896,13.790896
normalized-aim-100-2-0-4.xml.mzn_AND_NODATA,1,0.666667,1.5,4,6.71
