@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE csp_log_search_vars NUMERIC
@ATTRIBUTE csp_log_constraints NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE csp_log_extra_booleans NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE csp_log_ranges NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE csp_dyn_log_avg_weight NUMERIC
@ATTRIBUTE csp_dyn_log_stdev_weight NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE csp_percent_gac_predicate NUMERIC
@ATTRIBUTE csp_log_extra_bits NUMERIC
@ATTRIBUTE csp_max_arity NUMERIC
@ATTRIBUTE csp_percent_global NUMERIC
@ATTRIBUTE csp_dyn_log_nodes NUMERIC
@ATTRIBUTE csp_percent_ext NUMERIC
@ATTRIBUTE csp_num_alldiff NUMERIC
@ATTRIBUTE csp_percent_cumulative NUMERIC
@ATTRIBUTE csp_log_booleans NUMERIC
@ATTRIBUTE csp_log_constants NUMERIC
@ATTRIBUTE csp_perten_binext NUMERIC
@ATTRIBUTE csp_log_extra_values NUMERIC
@ATTRIBUTE csp_perten_largeext NUMERIC
@ATTRIBUTE csp_perten_naryext NUMERIC
@ATTRIBUTE csp_percent_alldiff NUMERIC
@ATTRIBUTE csp_percent_element NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_BINARY+ NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_TRINARY+ NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_VCG-VAR-max NUMERIC
@ATTRIBUTE support_BINARY+ NUMERIC
@ATTRIBUTE direct_reducedClauses NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-mean NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.479653,0.293021,0.777778,0.816869,0.660065,0.536267,3.651416,0.20904,1.656538,0.825556,0.976668,0.944361,0.324843,0.801513,0.292424,0.751209,0.292424,0.979207,0.223239,0.439007,0.006536,0.24905,0.801513,0.004205,0.536267,1.382979,0.001901,0.751209
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.483508,0.297583,0.789474,0.76434,0.651508,0.545315,3.484095,0.206463,1.598451,0.835832,0.987506,0.930218,0.328985,0.752187,0.29602,0.754216,0.29602,0.989001,0.222688,0.435713,0.006461,0.251374,0.752187,0.003373,0.545315,1.33106,0.00177,0.754216
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.481471,0.282691,0.764706,0.769644,0.656667,0.532856,3.620413,0.203573,1.703235,0.827353,0.987059,0.924554,0.32901,0.760522,0.282438,0.750221,0.282438,0.988341,0.219396,0.439869,0.006307,0.256471,0.760522,0.003971,0.532856,1.423158,0.001983,0.750221
bool/routing/s4-4-3-10.xml,1,46.186709,43.196203,1.414214,1.414214,14.238703,12.212496,12.319672,12.544482,100,100,-1,52.294304,-1,22.250256,-1,-1,29.825949,6.588144,8.325831,-1,47.705696,-1,35,0,11.584023,0,0,-1,9.714246,-1,-1,-1,-1,-1,-1,-1,0.462559,0.321339,0.846154,0.767897,0.661915,0.551701,3.042629,0.213428,1.222393,0.844235,0.98773,0.914008,0.336567,0.752484,0.317192,0.766356,0.317192,0.989765,0.224379,0.418256,0.001992,0.226453,0.752484,0.001038,0.551701,1.042821,0.000371,0.766356
bool/routing/s4-4-3-7.xml,1,46.187192,43.093596,1.414214,1.414214,13.919794,11.893302,12.000704,12.225207,100,100,-1,52.413793,-1,22.330623,-1,-1,29.832512,7.601634,9.707798,-1,47.586207,-1,28,0,12.23721,0,0,-1,9.392317,-1,-1,-1,-1,-1,-1,-1,0.449685,0.29908,0.826087,0.745359,0.662032,0.526881,3.076241,0.207762,1.325718,0.83071,0.990874,0.905148,0.333778,0.740949,0.297968,0.758938,0.297968,0.992154,0.218561,0.42557,0.002153,0.241808,0.740949,0.001286,0.526881,1.102417,0.000455,0.758938
bool/routing/s4-4-3-6.xml,1,46.072187,42.929936,1.414214,1.414214,13.811776,11.78627,11.890264,12.120238,100,100,-1,52.866242,-1,22.338246,-1,-1,29.766454,8.392287,10.294978,-1,47.133758,-1,26,0,12.635038,0,0,-1,9.285402,-1,-1,-1,-1,-1,-1,-1,0.443348,0.295157,0.826087,0.748011,0.659588,0.519115,3.142299,0.206536,1.380052,0.826689,0.990547,0.906368,0.331598,0.74537,0.294703,0.755553,0.294703,0.991833,0.217006,0.428764,0.002372,0.245513,0.74537,0.001439,0.519115,1.135992,0.0005,0.755553
bool/routing/s4-4-3-3.xml,1,45.957011,43.172979,1.414214,1.414214,13.854284,11.82893,11.938844,12.160502,100,100,-1,52.09826,-1,22.453396,-1,-1,29.662231,7.456181,9.529843,-1,47.90174,-1,27,0,12.120886,0,0,-1,9.33985,-1,-1,-1,-1,-1,-1,-1,0.447443,0.299404,0.833333,0.776151,0.663327,0.523898,3.177639,0.209201,1.36466,0.827035,0.985395,0.916379,0.3309,0.768292,0.298627,0.757162,0.298627,0.987416,0.219206,0.427522,0.002312,0.240749,0.768292,0.001506,0.523898,1.130975,0.000488,0.757162
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.481201,0.307091,0.809524,0.765146,0.646067,0.550543,3.416667,0.209304,1.532627,0.841616,0.9879,0.933322,0.329536,0.751018,0.3046,0.755148,0.3046,0.989517,0.224411,0.433981,0.006579,0.246327,0.751018,0.002917,0.550543,1.279109,0.001602,0.755148
bool/routing/s4-4-3-2.xml,1,45.932377,43.002049,1.414214,1.414214,13.857592,11.83289,11.938109,12.166791,100,100,-1,52.663934,-1,22.390748,-1,-1,29.661885,7.159019,8.714405,-1,47.336066,-1,27,0,11.909518,0,0,-1,9.33985,-1,-1,-1,-1,-1,-1,-1,0.448351,0.300169,0.833333,0.777142,0.662973,0.524938,3.211032,0.209541,1.379749,0.827309,0.985224,0.916689,0.330922,0.768839,0.299301,0.757404,0.299301,0.987276,0.219729,0.427167,0.002333,0.240369,0.768839,0.001517,0.524938,1.143547,0.000493,0.757404
bool/routing/s4-4-3-8.xml,1,51.779141,44.355828,1.414214,1.414214,13.228819,11.207014,11.326429,11.537218,100,100,-1,51.226994,-1,22.166801,-1,-1,32.392638,8.059077,9.792346,-1,48.773006,-1,18,0,12.549785,0,0,-1,8.754888,-1,-1,-1,-1,-1,-1,-1,0.436277,0.262862,0.764706,0.753923,0.669053,0.488745,3.45073,0.19902,1.637232,0.806444,0.989021,0.897477,0.328171,0.755399,0.264899,0.746465,0.264899,0.990043,0.209147,0.438613,0.002509,0.261575,0.755399,0.002506,0.488745,1.331602,0.000766,0.746465
bool/routing/s4-4-3-9.xml,1,46.072842,43.349169,1.414214,1.414214,14.229269,12.203348,12.314583,12.533816,100,100,-1,51.781473,-1,22.04908,-1,-1,29.7308,6.77527,8.586961,-1,48.218527,-1,35,0,11.560333,0,0,-1,9.714246,-1,-1,-1,-1,-1,-1,-1,0.463802,0.322032,0.846154,0.768592,0.661665,0.552969,3.049318,0.213443,1.2239,0.845052,0.987624,0.91473,0.336827,0.75261,0.317758,0.766557,0.317758,0.989682,0.224457,0.41818,0.002005,0.226121,0.75261,0.001043,0.552969,1.0449,0.000374,0.766557
bool/routing/s4-4-3-4.xml,1,46.001908,43.082061,1.414214,1.414214,13.961811,11.936638,12.043027,12.269711,100,100,-1,52.480916,-1,22.365816,-1,-1,29.704198,7.204117,8.914693,-1,47.519084,-1,29,0,11.890644,0,0,-1,9.442943,-1,-1,-1,-1,-1,-1,-1,0.454356,0.303931,0.833333,0.77489,0.664207,0.532289,3.164738,0.21073,1.336051,0.831826,0.985956,0.915141,0.333458,0.764704,0.302405,0.760185,0.302405,0.987962,0.221608,0.424464,0.002138,0.23661,0.764704,0.001369,0.532289,1.119414,0.000454,0.760185
bool/routing/s3-3-3-5.xml,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.489597,0.300778,0.789474,0.767873,0.649799,0.551366,3.575975,0.207047,1.640637,0.838685,0.9869,0.933036,0.329418,0.753734,0.298805,0.755099,0.298805,0.988485,0.223995,0.435133,0.006674,0.250193,0.753734,0.003468,0.551366,1.368706,0.001838,0.755099
bool/routing/s4-4-3-5.xml,1,45.97786,43.284133,1.414214,1.414214,14.00422,11.97871,12.090112,12.309476,100,100,-1,51.845018,-1,22.380953,-1,-1,29.667897,7.506173,9.390635,-1,48.154982,-1,30,0,12.101319,0,0,-1,9.491853,-1,-1,-1,-1,-1,-1,-1,0.45823,0.304699,0.826087,0.749571,0.661912,0.536779,3.092734,0.208343,1.307675,0.83688,0.990718,0.906351,0.336799,0.74167,0.3027,0.761582,0.3027,0.992063,0.219926,0.423131,0.002032,0.236812,0.74167,0.001189,0.536779,1.10182,0.000433,0.761582
bool/routing/s4-4-3-1.xml,1,46.104536,43.106509,1.414214,1.414214,13.915506,11.889504,11.997179,12.221587,100,100,-1,52.366864,-1,21.849949,-1,-1,29.773176,6.468211,8.199842,-1,47.633136,-1,28,0,11.332037,0,0,-1,9.392317,-1,-1,-1,-1,-1,-1,-1,0.450919,0.299855,0.826087,0.746362,0.661693,0.528187,3.095761,0.207925,1.334012,0.83136,0.990751,0.905724,0.333904,0.74143,0.298634,0.759175,0.298634,0.992053,0.218875,0.42537,0.002171,0.24146,0.74143,0.001295,0.528187,1.109834,0.00046,0.759175
bool/ii/ii-16e2.xml,1,41.550796,3.819552,1.414214,1.414214,17.569403,10.055282,14.627021,14.596364,100,100,-1,93.634079,-1,20.943063,-1,-1,40.277612,4.994268,5.611457,-1,6.365921,-1,16,0,7.741467,0,0,-1,10.055282,-1,-1,-1,-1,-1,-1,-1,0.401338,0.349169,0.826087,0.789614,0.511912,0.521653,0.884513,0.187315,0.266847,0.89015,0.978883,1.008921,0.368917,0.758506,0.273879,0.728075,0.273879,0.987395,0.159066,0.453942,0.000126,0.255491,0.758506,0.001668,0.521653,0.141305,0.000042,0.728075
