@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE csp_log_search_vars NUMERIC
@ATTRIBUTE csp_log_constraints NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,?,?,?
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,?,?,?
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,?,?,?
bool/routing/s4-4-3-10.xml,1,46.186709,43.196203,1.414214,1.414214,14.238703,12.212496,12.319672,12.544482
bool/routing/s4-4-3-7.xml,1,46.187192,43.093596,1.414214,1.414214,13.919794,11.893302,12.000704,12.225207
bool/routing/s4-4-3-6.xml,1,46.072187,42.929936,1.414214,1.414214,13.811776,11.78627,11.890264,12.120238
bool/routing/s4-4-3-3.xml,1,45.957011,43.172979,1.414214,1.414214,13.854284,11.82893,11.938844,12.160502
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,?,?,?
bool/routing/s4-4-3-2.xml,1,45.932377,43.002049,1.414214,1.414214,13.857592,11.83289,11.938109,12.166791
bool/routing/s4-4-3-8.xml,1,51.779141,44.355828,1.414214,1.414214,13.228819,11.207014,11.326429,11.537218
bool/routing/s4-4-3-9.xml,1,46.072842,43.349169,1.414214,1.414214,14.229269,12.203348,12.314583,12.533816
bool/routing/s4-4-3-4.xml,1,46.001908,43.082061,1.414214,1.414214,13.961811,11.936638,12.043027,12.269711
bool/routing/s3-3-3-5.xml,1,?,?,?,?,?,?,?,?
bool/routing/s4-4-3-5.xml,1,45.97786,43.284133,1.414214,1.414214,14.00422,11.97871,12.090112,12.309476
bool/routing/s4-4-3-1.xml,1,46.104536,43.106509,1.414214,1.414214,13.915506,11.889504,11.997179,12.221587
bool/ii/ii-16e2.xml,1,41.550796,3.819552,1.414214,1.414214,17.569403,10.055282,14.627021,14.596364
bool/ii/ii-8b1.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-32c1.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-8d1.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-16a1.xml,1,24.250642,4.710248,1.414214,1.414214,16.66603,11.68825,14.701956,14.609756
bool/ii/ii-32c3.xml,1,19.608561,4.714165,1.414214,1.414214,17.674806,9.124121,13.820777,13.792689
bool/ii/ii-8c2.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-32b4.xml,1,19.18208,3.131936,1.414214,1.414214,18.646028,9.573647,14.808361,14.789075
bool/ii/ii-16e1.xml,1,41.512085,4.665542,1.414214,1.414214,18.495945,11.28193,15.549664,15.511722
bool/ii/ii-32b2.xml,1,20.294431,5.555161,1.414214,1.414214,17.036785,13.292465,13.254438,13.215381
bool/ii/ii-32e5.xml,1,19.518013,2.576082,1.414214,1.414214,18.956314,10.027906,15.227616,15.207853
bool/ii/ii-32c2.xml,1,20.12752,6.145619,1.414214,1.414214,17.098166,13.286125,13.249706,13.212344
bool/ii/ii-8b3.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-8a2.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-8c1.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-16d1.xml,1,30.768782,4.30798,1.414214,1.414214,17.626935,11.264443,15.015371,14.960771
bool/ii/ii-16c1.xml,1,30.442733,5.252951,1.414214,1.414214,17.649825,11.625709,15.041873,14.972666
bool/ii/ii-8b4.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-8a1.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-32e1.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-32e3.xml,1,19.592523,3.700935,1.414214,1.414214,18.031626,9.366322,14.23302,14.208082
bool/ii/ii-16b2.xml,1,26.834913,3.754143,1.414214,1.414214,17.037493,11.071462,14.709892,14.650771
bool/ii/ii-32d2.xml,1,20.680223,4.362066,1.414214,1.414214,17.214803,9.658211,13.687266,13.64239
bool/ii/ii-32e2.xml,1,20.361766,5.31696,1.414214,1.414214,17.005087,13.295625,13.256798,13.216897
bool/ii/ii-8e2.xml,1,?,?,?,?,?,?,?,?
bool/ii/ii-16b1.xml,1,26.618401,3.909502,1.414214,1.414214,17.610275,11.754888,15.309761,15.247037
