@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507,0.779554
adder-10-unsat-shuffled,1,0.999726,0.854527
adder-12-sat-shuffled,1,0.995467,0.790835
adder-12-unsat-shuffled,1,0.999811,0.867327
adder-14-sat-shuffled,1,0.996141,0.800826
adder-14-unsat-shuffled,1,0.999862,0.877979
adder-16-unsat-shuffled,1,0.999895,0.887007
Adder2-10-s-shuffled,1,0.444433,0.556811
Adder2-4-s-shuffled,1,0.445552,0.556623
Adder2-6-c-shuffled,1,0.447045,0.556468
Adder2-6-s-shuffled,1,0.444877,0.55674
adder-4-sat-shuffled,1,0.984906,0.729904
adder-6-sat-shuffled,1,0.990469,0.75084
adder-8-sat-shuffled,1,0.993031,0.766531
adder-8-unsat-shuffled,1,0.999566,0.838756
aim-100-1_6-yes1-3-50-shuffled,1,0.205882,0.594819
aim-100-1_6-yes1-3-90-shuffled,1,0.242105,0.598672
aim-100-2_0-yes1-2-50-shuffled,1,0.211029,0.595453
aim-100-2_0-yes1-2-90-shuffled,1,0.239183,0.598456
aim-100-3_4-yes1-1-90-shuffled,1,0.244604,0.599193
aim-100-6_0-yes1-1-90-shuffled,1,0.245376,0.599539
aim-100-6_0-yes1-3-90-shuffled,1,0.246299,0.599473
aim-100-6_0-yes1-4-90-shuffled,1,0.245058,0.599505
aim-200-1_6-yes1-2-90-shuffled,1,0.238273,0.598505
aim-200-1_6-yes1-4-90-shuffled,1,0.236039,0.598265
aim-200-2_0-yes1-2-90-shuffled,1,0.23964,0.59894
aim-200-3_4-yes1-1-90-shuffled,1,0.244324,0.599278
aim-200-3_4-yes1-4-90-shuffled,1,0.243253,0.599452
aim-50-1_6-yes1-1-00-shuffled,1,0.173077,0.590909
aim-50-1_6-yes1-1-90-shuffled,1,0.243243,0.598311
aim-50-1_6-yes1-2-00-shuffled,1,0.171306,0.59071
aim-50-1_6-yes1-2-50-shuffled,1,0.201005,0.593878
aim-50-1_6-yes1-3-00-shuffled,1,0.169528,0.59051
aim-50-1_6-yes1-4-50-shuffled,1,0.203608,0.594142
aim-50-1_6-yes1-4-90-shuffled,1,0.238671,0.597813
aim-50-2_0-yes1-1-90-shuffled,1,0.240964,0.599226
aim-50-2_0-yes1-2-50-shuffled,1,0.209205,0.594915
aim-50-2_0-yes1-3-90-shuffled,1,0.242788,0.598456
aim-50-3_4-yes1-2-90-shuffled,1,0.246753,0.59919
aim-50-3_4-yes1-3-90-shuffled,1,0.24569,0.599078
aim-50-6_0-yes1-3-50-shuffled,1,0.236378,0.59897
aim-50-6_0-yes1-4-90-shuffled,1,0.246903,0.599735
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284,0.571392
biu.mv.xl_ao.bb-b001-p010-MIF04-c05.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-005-shuffled,1,0.333315,0.571415
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-010-shuffled,1,0.304421,0.588151
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-007-shuffled,1,0.326662,0.573816
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.309191,0.577547
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-004-shuffled,1,0.321902,0.57431
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321574,0.572065
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-009-shuffled,1,0.329473,0.572631
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-005-shuffled,1,0.328303,0.572007
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.330601,0.571744
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf06.01X-QBF.BB1-01X.BB2-Zi.BB3-Zi.with-IOC.unfold-003-shuffled,1,0.323152,0.571518
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.313812,0.576866
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-006-shuffled,1,0.327858,0.572948
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-002-shuffled,1,0.316119,0.572319
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-005-shuffled,1,0.328987,0.571663
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf05.01X-QBF.BB1-Zi.BB2-01X.BB3-Zi.with-IOC.unfold-007-shuffled,1,0.330171,0.571709
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-002-shuffled,1,0.317612,0.568471
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.conf07.01X-QBF.BB1-Zi.BB2-Zi.BB3-Zi.with-IOC.unfold-008-shuffled,1,0.331648,0.571117
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-003-shuffled,1,0.333275,0.571386
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-004-shuffled,1,0.320236,0.574747
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-009-shuffled,1,0.329063,0.572797
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.conf03.01X-QBF.BB1-Zi.BB2-Zi.BB3-01X.with-IOC.unfold-003-shuffled,1,0.321629,0.571642
