@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 3'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC

@DATA
adder-10-sat-shuffled,1,0.994507,0.779554,592.5
adder-10-unsat-shuffled,1,0.999726,0.854527,761.5
adder-12-sat-shuffled,1,0.995467,0.790835,861
adder-12-unsat-shuffled,1,0.999811,0.867327,1100
adder-14-sat-shuffled,1,0.996141,0.800826,1179.5
adder-14-unsat-shuffled,1,0.999862,0.877979,1500.5
adder-16-unsat-shuffled,1,0.999895,0.887007,1963
Adder2-10-s-shuffled,1,0.444433,0.556811,2474.666667
Adder2-4-s-shuffled,1,0.445552,0.556623,361.666667
Adder2-6-c-shuffled,1,0.447045,0.556468,651.5
Adder2-6-s-shuffled,1,0.444877,0.55674,856.666667
adder-4-sat-shuffled,1,0.984906,0.729904,87
adder-6-sat-shuffled,1,0.990469,0.75084,205.5
adder-8-sat-shuffled,1,0.993031,0.766531,374
adder-8-unsat-shuffled,1,0.999566,0.838756,485
aim-100-1_6-yes1-3-50-shuffled,1,0.205882,0.594819,177
aim-100-1_6-yes1-3-90-shuffled,1,0.242105,0.598672,138
aim-100-2_0-yes1-2-50-shuffled,1,0.211029,0.595453,198
aim-100-2_0-yes1-2-90-shuffled,1,0.239183,0.598456,161
aim-100-3_4-yes1-1-90-shuffled,1,0.244604,0.599193,230
aim-100-6_0-yes1-1-90-shuffled,1,0.245376,0.599539,362
aim-100-6_0-yes1-3-90-shuffled,1,0.246299,0.599473,361
aim-100-6_0-yes1-4-90-shuffled,1,0.245058,0.599505,361
aim-200-1_6-yes1-2-90-shuffled,1,0.238273,0.598505,281
aim-200-1_6-yes1-4-90-shuffled,1,0.236039,0.598265,282
aim-200-2_0-yes1-2-90-shuffled,1,0.23964,0.59894,322
aim-200-3_4-yes1-1-90-shuffled,1,0.244324,0.599278,459.5
aim-200-3_4-yes1-4-90-shuffled,1,0.243253,0.599452,461
aim-50-1_6-yes1-1-00-shuffled,1,0.173077,0.590909,114
aim-50-1_6-yes1-1-90-shuffled,1,0.243243,0.598311,69
aim-50-1_6-yes1-2-00-shuffled,1,0.171306,0.59071,114
aim-50-1_6-yes1-2-50-shuffled,1,0.201005,0.593878,91
aim-50-1_6-yes1-3-00-shuffled,1,0.169528,0.59051,114
aim-50-1_6-yes1-4-50-shuffled,1,0.203608,0.594142,88
aim-50-1_6-yes1-4-90-shuffled,1,0.238671,0.597813,69
aim-50-2_0-yes1-1-90-shuffled,1,0.240964,0.599226,80
aim-50-2_0-yes1-2-50-shuffled,1,0.209205,0.594915,101
aim-50-2_0-yes1-3-90-shuffled,1,0.242788,0.598456,80
aim-50-3_4-yes1-2-90-shuffled,1,0.246753,0.59919,114
aim-50-3_4-yes1-3-90-shuffled,1,0.24569,0.599078,115
aim-50-6_0-yes1-3-50-shuffled,1,0.236378,0.59897,193.5
aim-50-6_0-yes1-4-90-shuffled,1,0.246903,0.599735,179
biu.mv.xl_ao.bb-b001-p005-OPF05-c02.blif-biu.inv1.prop.bb-bmc.with-IOC.unfold-004-shuffled,1,0.333284,0.571392,589
