@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0782,0,0.0124,0.3469,22.2967,15.6807,1,0.9218,10.9159,1.0967,0.71,0.8082,0,0.6491,2.2552,37.8226,23.9398,0,0.689,0,4539,1,0,0.6646,0,37.891,?,0.6249,0,0.0008,0.01,37.8226,0.0093,3.5574,0.8411,0.0094,4.9846,0.2854,0,0.127,0.0093,0.7882,0.7281,?,?,0,0.01,21294,4539,0.9811,0,0.105,0.997,0.0093,37.8226,0.9949,0.1022,0,?,4539,21294,38.1864,0.0149,0.002
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.0097,0.8047,0,0.009,1.8382,5.7333,0.2457,0,6.7141,0.017,0.1227,0.7036,1.3505,0.0445,0.0005,18.2995,1.031,0.4946,0.1459,0.4941,2729,0,0,0.0908,0.4947,20.9786,?,0.0429,0.4944,0.0004,0.0588,18.2995,0.0029,1.6542,0.0919,0.0029,1.318,0.0632,0,0.0163,0.0029,0.1729,0.1593,?,?,0.4944,0.1017,29282,2729,0.1732,0.4946,0.1176,0.8793,0.0029,19.2126,0.9299,0.3918,0.4949,?,2756,29282,21.7036,0.0718,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0.0915,0,0,0.306,21.2099,34.2936,1,0.9085,23.3456,1.0759,0.6901,0.7939,0,0.6431,2.4238,48.9554,23.5432,0,0.6566,0,305,1,0,0.6469,0,50.7683,?,0.6343,0,0.0005,0.0077,47.2687,0.0073,2.9895,0.8131,0.0094,4.8805,0.2313,0,0.1254,0.0094,0.7643,0.7046,?,?,0,0.0052,41426,314,0.9785,0,0.0514,0.9971,0.008,49.8067,0.9948,0.1062,0,?,321,41426,62.3743,0.1709,0.0714
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.0185,0.9439,0.2362,35.6272,207.891,0.9956,0.9439,22.5385,1.6272,0.832,0.8762,0.2249,0.8116,7.5434,45.5938,41.2197,0,0.8322,0,104,0.6,0.0417,0.8219,0,50.387,?,0.7761,0,0.0007,0.0015,44.0117,0.0014,2.7898,0.3544,0.012,5.3062,0.1807,0.0165,0.0811,0.0048,0.8508,0.8422,?,?,0,0.0011,111739,208,0.8837,0,0.0348,1.0107,0.003,47.1034,0.9992,0.019,0,?,227,109920,69.625,0.2533,0.2091
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.675,1.0005,0.8333,0.4506,1.1006,4.0352,0.4675,0.8333,7.0228,0.4472,0.5832,0.8324,1.1239,0.5831,0.0001,32.4055,0.5805,0.2295,0.5832,0.2294,4481,0,0,0.5831,0.2295,36.5026,0.0952,0.5831,0.2295,0.0021,0.01,32.4055,0.0208,0,0.3333,0.4167,0,0.3333,0,0.3333,0.025,0.5832,0.5832,0.8944,0.3252,0.2295,0.0125,480,4481,0.5833,0.2295,0.025,0.9024,0.0249,34.8915,0.9311,0.0001,0.2295,0.0139,4486,480,40.9846,0.0088,0.0246
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.011,0.972,0.1742,31.1851,11.9732,0.9984,0.972,24.2363,1.8403,0.8878,0.9554,0.11,0.8649,3.8924,57.0222,31.8335,0,0.8904,0,316,0.8947,0.039,0.8761,0,73.2541,?,0.8144,0,0.0014,0.0031,57.0222,0.0144,2.9852,0.5072,0.0144,4.7883,0.3759,0.0149,0.2021,0.0144,0.9092,0.9017,?,?,0,0.0022,45238,316,0.9225,0,0.0811,0.9997,0.0144,67.0736,1.0019,0.0203,0,?,951,44572,78.5192,0.755,0
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0,0.875,0.3768,3.4182,14.2288,1,0.875,14.8967,1.186,0.7476,0.8672,0,0.7474,0.0018,72.2519,2.5406,0.0302,0.7476,0.0302,4876,1,0,0.7475,0.0303,74.7654,0.0095,0.7473,0.0302,0.0078,0.0089,72.2519,0.0889,0,0.0345,0.125,0,0.0345,0,0.0345,0.0889,0.7478,0.7477,1.1339,0.3158,0.0302,0.0161,1800,4876,0.7478,0.0302,0.0667,0.98,0.0889,72.2519,0.9817,0.0002,0.0303,0.0292,4876,1800,83.7463,0.0047,0
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0,0.8182,0.4741,2.5267,7.8199,1,0.8182,8.3109,0.8932,0.6722,0.8174,0,0.6721,0.0012,32.7716,2.0526,0.0529,0.6722,0.0528,4886,1,0,0.6721,0.0529,34.7516,0.022,0.672,0.0528,0.0164,0.02,32.7716,0.1291,0,0.0526,0.1818,0,0.0526,0,0.0526,0.1291,0.6723,0.6722,0.825,0.3449,0.0528,0.0345,550,4886,0.6724,0.0529,0.1,0.9699,0.1291,34.2412,0.9743,0.0001,0.053,0.0595,4904,550,35.387,0.0024,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.0123,0.9668,0.1845,33.2679,14.5795,0.9979,0.9668,50.1405,1.8272,0.8774,0.9515,0.1337,0.8555,3.7055,66.3086,36.4759,0,0.8792,0,403,0.8667,0.0387,0.8687,0,67.2804,?,0.7881,0,0.0014,0.0031,66.3086,0.0129,2.8638,0.4657,0.0129,4.6442,0.323,0.0134,0.1,0.0129,0.8998,0.8904,?,?,0,0.0023,50773,403,0.9205,0,0.0805,0.9997,0.0129,66.3086,0.996,0.0218,0,?,403,50102,76.3785,0.6173,0
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.0831,0,0.003,0.3096,22.543,17.5204,1,0.9169,10.558,1.105,0.7059,0.8173,0,0.6446,2.3397,40.5477,24.7775,0,0.6842,0,4572,1,0,0.6578,0,47.6253,?,0.6291,0,0.0009,0.0099,40.5477,0.009,3.3642,0.8273,0.0092,4.9607,0.2552,0,0.1283,0.0091,0.7737,0.7239,?,?,0,0.01,22023,4572,0.9816,0,0.104,0.996,0.0091,40.5477,0.9951,0.1015,0,?,4572,22023,49.049,0.0179,0.0022
