@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,0.0087,3.3399,0.5031,0.9945,0.0575,32.2696,0.9608,0,0.5,0.7896,0,0.9835,0.3261,0,0,0,0.2482,0,2443200,0,0,0.2772,0,0.0104,0.0001,0.0731,1.9702,0.9482,150,150,0,0.9608
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.0052,0.3811,0.8349,0.5429,0.0561,0.4399,0.217,56.928,0.3218,0.3448,38.5745,0.1759,0.0901,0.0201,0.0448,28.678,0.4541,0.2788,60.5861,0.2693,257,0.1845,56.0982,0.0293,0.0019,0.072,0.8459,0.0412,10,8.9931,230,0.5004
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0,0.1466,2.8639,0.4945,0.0192,1.5384,0.0599,0,0.2793,0.0538,0,0.1002,0.0361,0.008,0.0096,0,0.004,0,4388,1.0952,0,0,0,0,0.0002,0.1005,0.9624,0.0098,7,7,0,0.1144
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.0264,0.7111,0.6773,0.5946,0.1706,0.1417,0.1279,38.0524,0.2404,0.4287,31.0699,0.1569,0.2438,0.0077,0.0121,30.2714,1.5488,0.1443,585.833,0.9141,4360,0.539,38.0524,0.0617,0.0003,0.2402,0.8832,0.0014,6,5.4613,0,0.381
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,0.02,0.6103,0.7402,0.6399,0.0588,0.4754,0.2604,12,0.4998,0.4843,4.8564,0.3503,0.1487,0.0112,0.0058,3,4.6487,0.6306,2493,0,11591,2.2619,9.5152,0.028,0.0001,0.1187,0.8881,0.0449,9,8.8132,11591,0.5949
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.0253,0.7096,0.678,0.5943,0.1705,0.153,0.1305,33.8246,0.2404,0.4305,28.1605,0.157,0.244,0.0061,0.0111,26.1941,1.5533,0.1004,216.833,0.2907,3984,0.5418,33.8246,0.0613,0.0003,0.2402,0.882,0.0016,6,5.4545,3805,0.3813
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.0006,0.3744,0.692,0.8292,0.1191,0.6209,0.1194,29.9928,0.4444,0.3756,14.4616,0.6142,0.1496,0.1539,0.4901,9.6432,4.9941,0.3959,3603,0.8797,0,1.3544,21.7805,0.0282,0.0001,0.1457,0.963,0.1894,8,7.3662,0,0.4435
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.0233,1.0202,0.7789,0.5304,0.0977,2.7709,0.2671,25.3072,0.4592,0.4387,25.3072,0.2573,0.1814,0,0,25.3072,1.7447,0,26856,0,0,0.7553,25.3072,0.0246,0,0.1325,1.5846,0.01,7,6.7455,0,0.5216
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,0.0088,3.2944,0.5086,0.9944,0.0577,19.3806,0.9602,0,0.5,0.786,0,0.9831,0.3246,0,0,0,0.4244,0,1357670,0,0,0.4827,0,0.0106,0.0001,0.0741,1.3293,0.9474,90,89.8,0,0.9602
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,0.0024,0.6191,1.0307,0.9106,0.0677,0.9183,0.5118,9,0.2649,0.3633,6.2933,0.5813,0.1635,0.0005,0.0016,4,1.1505,0.3325,28487,0,0,0.3948,9,0.0068,0,0.1254,0.9439,0.0681,76,70.5,0,0.603
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.0264,0.391,0.7453,0.7996,0.0648,0.4522,0.2299,14.7736,0.3013,0.4592,11.1341,0.7119,0.0709,0.1525,0.1498,9.662,0.0173,0.1908,1.1579,0.0499,2597,0.0072,14.7736,0.0371,0.0002,0.1013,0.8881,0.3783,11,9.0507,2528,0.4607
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.026,0.5536,0.6648,0.5848,0.0788,0.2943,0.1489,28.1643,0.2432,0.3877,18.2427,0.5502,0.1815,0.0176,0.0076,13.7033,1.7234,0.2866,1803.67,0.3084,6579,0.7009,28.1643,0.0616,0.0001,0.1749,0.8852,0.0295,6,5.4599,6528,0.4242
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0,13.2663,0.9597,1,0.2679,15.2952,0.9842,0,0.5,0.5179,0,0.9778,0.32,0,0,0,0.0486,0,1276740,0,0,0.0044,0,0.0006,0.0002,0.4933,1.0011,0.0688,17,15.5,0,0.9842
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.0199,0.7664,0.7369,0.548,0.0897,0.5197,0.2964,25.5212,0.4209,0.4802,10.5492,0.3132,0.1834,0.04,0.0119,6.2076,2.7128,0.5886,2763.67,0.9981,6321,1.0278,25.5212,0.023,0.0001,0.1154,0.9104,0.0212,7,6.7536,0,0.4981
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.0014,0.8702,0.9718,0.9513,0.0873,0.46,0.9005,104.85,0.5,0.4925,63.4109,0.8123,0.2947,0.0022,0.0078,43.1752,0.3071,0.4614,1420.57,0.5493,6805,0.1339,104.85,0.0019,0.0003,0.3324,0.9787,0.02,13,11.2111,0,0.9064
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.0001,0.4944,0.6399,0.9211,0.0847,1.1372,0.1224,23.3968,1,0.4848,12.4783,0.6128,0.1749,0.0304,0.4043,11.1825,6.607,0.3424,2969,0.8087,6079,2.3796,23.3968,0.0148,0.0001,0.0956,0.9971,0.3881,7,6.1348,0,0.4776
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.0005,0.4142,0.4806,0.9531,0.0854,3.3207,0.7698,0,0.2823,0.7688,0,0.8343,0.2633,0.0166,0.123,0,0.7895,0,1.3982,0.1809,44,1.0273,0,0.0099,0.0254,0.1193,0.9816,0.4131,7,5.5426,32,0.7802
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.0009,0.3687,0.7582,0.7174,0.0778,0.3075,0.2359,235.1361,0.2859,0.456,30.6903,0.3393,0.1192,0.0034,0.0097,7.7433,2.7092,2.2207,1378,0.7873,6199,0.9375,235.1361,0.0122,0.0001,0.1088,0.9022,0.0222,12,11.4659,6145,0.4676
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0,1.9187,0.5235,0.9899,0.1064,2.1996,0.5524,136.7586,0.4995,0.6938,65.2521,0.8491,0.2535,0.174,0.1753,42.9939,69.0141,0.441,88.4545,0.773,1557,10.1228,106.9508,0.0018,0.0007,0.169,0.9393,0.1111,5,4.9239,1471,0.8552
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.0033,1.9844,1.2726,0.9545,0.2382,1.6114,0.9764,575.7273,0.5282,0.379,281.4514,0.9254,0.1651,0.0367,0.559,150.1111,1.3233,0.5467,11766,0,0,0.7975,575.7273,0.0061,0.0002,0.2681,0.9951,0.2027,37,36.1383,0,0.9739
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0,2.6384,0.593,1,0.0358,15.7202,0.9069,0,0.5,0.7212,0,0.9971,0.2372,0,0,0,0.0753,0,232791,0,0,0.0073,0,0.0004,0.0001,0.1988,1.0338,0.8346,5,5,0,0.9495
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0,2.1534,0.5229,1,0.1086,395.696,0.9087,0,1,0.7691,0,0.9918,0.2634,0,0,0,0.2484,0,440797,0,0,0.029,0,0.0005,0,0.3412,1.8843,0.353,4,4,0,0.9301
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0173,0.169,0.6663,0.2234,0.107,0.5128,0.0223,23.2378,0.135,0.4544,21.9839,0.0253,0.0707,0.067,0.0925,21.7873,0.6913,0.061,20.589,0.2284,55,0.2849,23.2378,0.022,0.0062,0.1309,0.8009,0.0002,7,6.5354,43,0.4064
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.0001,0.6135,0.3541,0.9071,0.0113,3.0823,0.0943,28.8832,0.1517,0.8736,26.4462,0.8508,0.2169,0,0,25.3253,0.1352,0.0644,1543,0,0,0.0099,28.8832,0.0002,0.0002,0.026,1.1927,0.7761,6,5.5875,0,0.942
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.0017,0.4893,1.0234,0.8834,0.03,1.8712,0.6431,150.3333,0.0931,0.3912,54.819,0.582,0.1615,0.2635,1.4142,31.2727,0.8148,0.821,47596,0,0,0.5367,150.3333,0.0038,0,0.0406,1.1084,0.0497,20,18.9,0,0.7535
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.0268,0.5581,0.6638,0.586,0.0793,0.2569,0.1471,33.6678,0.2465,0.3862,19.6951,0.5507,0.1821,0.0082,0.007,14.1997,1.7192,0.4016,3139,0.5811,7104,0.6997,33.6678,0.0618,0.0001,0.175,0.8835,0.0273,6,5.439,0,0.4245
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0,0.2865,0.5485,0.6977,0,41.1292,0.3917,38.9025,0,0.5939,36.4418,0.6928,0.002,0.0003,0.0434,34.7874,0,0.0487,67.2995,0.1228,312,0,38.9025,0,0.0023,0,0.9996,0.6892,3,3,282,0.9993
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.0028,1.0023,0.9215,0.9685,0.2764,6.4773,0.401,0,0.5,0.3373,0,0.6386,0.249,0,0,0,7.3823,0,6493,0,0,1.0904,0,0.0396,0.0001,0.3398,1.086,0.1413,21,20.4615,0,0.6514
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0171,0.1795,0.7224,0.2222,0.0959,0.7541,0.0364,0,0.1342,0.4475,0,0.0175,0.0746,0.0731,0.1266,0,1.0548,0,11.4694,0.2472,30,0.5394,0,0.0385,0.0128,0.1169,0.8289,0.0003,7,6,22,0.4303
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.0001,0.503,1.0067,0.8792,0.028,1.612,0.6423,9.5321,0.1349,0.3982,9.5321,0.7515,0.1602,0.0662,0.0059,9.5321,1.1328,0,42886,0,0,0.7867,9.5321,0.0041,0,0.0325,0.9445,0.0873,16,15.2963,0,0.7554
