@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,62536,63000,14607,0.0002,0.0002,0.0002,3217,3221,0.0006,2786.38,0.0011,0.0001,0,3174.92,0.0004,0.2304,3132,3187,0.0004,15000,0.0894,783.125,8,56.4,74.1818,3167,109.1667,263.417,63,11.1792,0.0135,5.0899
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,2973,2982,692,0.0044,0.0044,0.0043,163,164,0.0098,151.591,0.0188,0.002,140,151.736,0.0058,0.2994,140,152,0.0086,700,0.2811,28.7795,3472,34.3506,38.2519,152,40.6055,22.4568,35.3213,3645.1429,0.0655,4.0145
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,1907,1917,439,0.0069,0.0069,0.0068,107,107,0.0147,97.803,0.0288,0.0052,89,97.759,0.0091,0.3212,88,98,0.0136,450,0.3571,16.9488,3818,24.2236,27.694,98,29.0163,13.8122,25.7924,3902.8571,0.0742,4
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,34000,34000,400,0.0175,0.0175,0.0175,75,76,0.0194,65.768,0.0117,0.0117,57,65.7976,0.0175,0.6048,56,65,0.0117,400,0.9441,33.2124,70,54.2262,60.6076,65.5,66.8647,32.6548,57.2143,84.2564,0.109,2.0401
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,8010,8010,90,0.0778,0.0778,0.0778,19,19,0.0841,15.3984,0.0111,0.0111,12,15.4183,0.0778,0.6615,12,15,0.0111,90,1.6974,10.5034,4290,31.7124,32.4376,15,32.4376,10.3075,31.7829,4385.25,0.1904,2
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4450,4450,50,0.14,0.14,0.14,12,12,0.1501,8.8815,0.011,0.011,6,8.9003,0.14,0.7054,6,9,0.011,50,1.9658,6.8357,4537,19.7482,19.9622,9,20.3076,6.3286,19.8762,4570.6,0.2308,2
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,25000,25000,1250,0.004,0.004,0.004,255,255,0.0058,239.251,0.0184,0.0097,223,238.281,0.004,0.4728,223,240,0.0137,1250,0.3383,68.0332,27,56.5625,65.3429,239,78.7619,56.827,61.0385,33.217,0.0895,3
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,2337,2343,544,0.0055,0.0055,0.0055,131,132,0.0116,120.957,0.0218,0.0043,111,120.724,0.0074,0.3111,110,121,0.0109,550,0.3202,16.9422,3736,28.8614,34.7504,121,37.2312,14.1506,29.5637,3822.4286,0.0713,4
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,6230,70,0.1,0.1,0.1,15,15,0.1104,12.1057,0.0111,0.0111,9,12.1768,0.1,0.6771,9,12,0.0111,70,1.8323,8.7252,4400,25.8541,26.2046,12,26.2427,8.4841,25.9741,4469,0.2097,2
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3387,3408,779,0.0039,0.0039,0.0039,185,184,0.0097,172.325,0.0192,0.003,160,171.73,0.0077,0.299,159,172,0.0078,800,0.2634,24.6923,839,28.6412,37.9676,172,40.1961,19.5296,30.6303,1585.625,0.0652,4.0167
SAT11/random/medium/unif-k7-r89-v80-c7120-S1801179747-047.SATISFIABLE.cnf,1,7120,7120,80,0.0875,0.0875,0.0875,17,17,0.0938,13.6877,0.0111,0.0111,10,13.6385,0.0875,0.6726,10,14,0.0111,80,1.7572,9.6988,4370,28.3909,28.5321,14,28.8393,9.5465,28.4405,4412.8,0.1965,2
SAT11/random/medium/unif-k7-r89-v70-c6230-S635440951-015.UNKNOWN.cnf,1,6230,6230,70,0.1,0.1,0.1,15,15,0.1077,12.0651,0.0111,0.0111,9,12.0849,0.1,0.6772,9,12,0.0111,70,1.856,8.6501,4380,25.3567,25.7795,12,26.5947,8.4824,25.5158,4435.8,0.2086,2
SAT11/random/medium/unif-k3-r4.26-v600-c2556-S379672572-039.SATISFIABLE.cnf,1,2545,2556,589,0.0051,0.0051,0.0051,141,142,0.0118,130.768,0.0232,0.0035,120,130.73,0.0068,0.3106,120,131,0.0101,600,0.3094,19.9066,3669,30.0397,35.6801,131,39.9817,16.0006,31.3884,3759,0.07,4.0068
SAT11/random/large/unif-k3-r4.2-v20000-c84000-S357264423-067-UNKNOWN.cnf,1,83418,84000,19502,0.0002,0.0002,0.0002,4227,4341,0.0005,3382,0.0011,0,0,4281.38,0.0003,0.2374,4215,4222,0.0003,20000,0.1166,1190,6,58.9474,84.3333,4267.5,120,397.875,68.3636,9.101,0.0114,5.2613
SAT11/random/large/unif-k7-r85-v150-c12750-S1737989193-079-UNKNOWN.cnf,1,12750,12750,150,0.0467,0.0467,0.0467,30,30,0.0521,25.0552,0.0117,0.0117,20,24.8028,0.0467,0.6391,20,25,0.0117,150,1.4105,14.056,4105,46.3281,47.2796,25,47.2796,14.1247,46.9429,4188.5,0.1543,2
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1189700536-035.SATISFIABLE.cnf,1,2130,2130,100,0.05,0.05,0.05,25,24,0.0615,20.117,0.0465,0.0441,16,20.0829,0.05,0.5661,16,20,0.0459,100,1.1841,8.8106,4261,22.8507,23.708,20,24.3948,7.8455,23.6806,4302.5714,0.1671,2.7374
SAT11/random/large/unif-k3-r4.2-v35000-c147000-S625465881-078-UNKNOWN.cnf,1,146021,147000,34143,0.0001,0.0001,0.0001,0,7465,0.0002,3784,0.0005,0,0,7454.75,0.0002,0.224,7421,3784,0.0002,35000,0.1826,2313.5,3,66,105.8571,7447.5,200,826.5,82.3333,4.4891,0.005,5.8837
SAT11/random/medium/unif-k5-r21.3-v100-c2130-S1980330668-030.SATISFIABLE.cnf,1,2130,2130,100,0.05,0.05,0.05,25,25,0.0601,20.2585,0.0465,0.0441,16,20.2117,0.05,0.5687,16,20,0.0459,100,1.1978,8.0772,4256,22.8297,24.0244,20,25.7534,7.2239,23.4317,4302.2857,0.1688,2.7172
SAT11/random/large/unif-k3-r4.2-v40000-c168000-S64788608-008-UNKNOWN.cnf,1,166897,168000,39032,0.0001,0.0001,0.0001,8539,8534,0.0002,8539,0.0005,0,8539,8513.5,0.0002,0.2177,8474,8539,0.0002,40000,0.5718,1206,3,64,109.6667,8515.5,202,1612.5,91.5,4.3256,0.004,5.9444
SAT11/random/large/unif-k3-r4.2-v30000-c126000-S913491256-073-UNKNOWN.cnf,1,125231,126000,29270,0.0001,0.0001,0.0001,6300,6396,0.0003,6320,0.0006,0,6300,6360.4,0.0002,0.2194,6236,6320,0.0002,30000,0.2068,919,3,67.0769,99.5,6371,233,731.8,83.6,5.2667,0.0125,5.7321
SAT11/random/large/unif-k5-r20-v1500-c30000-S303265982-092-UNKNOWN.cnf,1,30000,30000,1500,0.0033,0.0033,0.0033,306,304,0.0043,285.966,0.0146,0.0083,269,287.608,0.0033,0.4692,271,287,0.0117,1500,0.2714,79.6537,20,60.7097,71.85,287,90.0833,61.4,66.0435,26.0924,0.049,3
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S31505198-038.UNKNOWN.cnf,1,3195,3195,150,0.0333,0.0333,0.0333,35,35,0.0423,29.7083,0.0463,0.041,24,29.7067,0.0333,0.5418,24,30,0.044,150,1.0053,12.501,4090,30.8469,32.9055,30,33.0958,11.3072,31.5157,4163.2857,0.141,3
SAT11/random/medium/unif-k5-r21.3-v150-c3195-S375894551-007.UNKNOWN.cnf,1,3195,3195,150,0.0333,0.0333,0.0333,35,35,0.0423,29.6066,0.0463,0.041,24,29.4587,0.0333,0.5405,24,29,0.0441,150,1.0089,12.9832,4061,31.6269,33.1368,29,33.7334,11.9093,31.972,4176.5714,0.1418,3
SAT11/random/medium/unif-k7-r89-v80-c7120-S1623694027-006.SATISFIABLE.cnf,1,7120,7120,80,0.0875,0.0875,0.0875,17,17,0.0958,13.7394,0.0111,0.0111,10,13.8743,0.0875,0.6697,11,14,0.0111,80,1.7419,9.4743,4357,28.4267,28.5159,14,29.1253,9.2549,28.5106,4408.6,0.199,2
SAT11/random/medium/unif-k7-r89-v80-c7120-S1901567697-013.UNKNOWN.cnf,1,7120,7120,80,0.0875,0.0875,0.0875,17,17,0.0973,13.7505,0.0111,0.0111,10,13.788,0.0875,0.6707,10,14,0.0111,80,1.758,9.8159,4344,28.2044,28.4983,14,29.1588,9.6484,28.3577,4418,0.199,2
SAT11/random/medium/unif-k3-r4.26-v400-c1704-S895193371-061.UNKNOWN.cnf,1,1693,1704,389,0.0078,0.0078,0.0077,95,95,0.0183,86.5656,0.0366,0.0059,78,86.3066,0.0129,0.3267,78,86,0.0154,400,0.3739,14.7744,3892,23.1441,23.8661,86,23.8866,12.1894,23.4128,3928.5714,0.0802,4
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S874954918-011.SATISFIABLE.cnf,1,2331,2343,537,0.0056,0.0056,0.0056,129,130,0.0107,118.939,0.021,0.0043,109,119.308,0.0112,0.3191,109,119,0.0112,550,0.3221,18.4348,3776,29.3663,32.9217,119,38.1678,14.8334,30.0989,3823.7143,0.067,4
SAT11/random/large/unif-k3-r4.2-v2500-c10500-S924370159-018-UNKNOWN.cnf,1,10427,10500,2433,0.0013,0.0013,0.0012,547,551,0.0035,527.222,0.0072,0.0008,505,529.8,0.0021,0.2639,512,528,0.0025,2500,0.1327,78.3389,97,32.2734,35.9032,529,43.51,52.6684,34.3874,116.8571,0.0298,4.9231
SAT11/random/medium/unif-k7-r89-v90-c8010-S2014736708-037.SATISFIABLE.cnf,1,8010,8010,90,0.0778,0.0778,0.0778,19,19,0.0876,15.3491,0.0111,0.0111,12,15.3607,0.0778,0.6631,12,15,0.0111,90,1.7221,10.591,4280,31.0778,31.3013,15,32.2223,10.5066,31.0874,4372.2,0.1847,2
SAT11/random/medium/unif-k7-r89-v80-c7120-S199880667-010.UNKNOWN.cnf,1,7120,7120,80,0.0875,0.0875,0.0875,17,17,0.0934,13.6807,0.0111,0.0111,10,13.7092,0.0875,0.6703,10,14,0.0111,80,1.7549,9.9186,4357,28.2257,28.7396,14,29.106,9.7029,28.4435,4411.8,0.1986,2
