@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.4947,0.4949,1.3505,0.2457,0.4952,?,0.4946,0.4946,0.8826,0.0029,0.8047,0.1227,?,0.1593,?,2
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.1626,0.2899,1.2297,0.467,0.5,?,0.1056,0.0576,1.0214,0.0192,1.0218,0.8362,?,0.9864,?,6.6667
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0.0334,0.064,0.9606,0.7822,0.099,0.5,0.0216,0.0148,0.9948,0.0433,0.4072,0.8375,1.0454,0.9738,1.3036,5.7407
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.4999,0.5,2.9418,0.289,1,?,0.4485,0.4995,0.9464,0.2232,0.8986,0.6986,?,0.7998,?,4.444
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0,0,0.8223,0.4897,0.0001,?,0,0,0.9998,0.0114,1.0161,0.8977,?,0.9115,?,2
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,0.3207,0.3213,0,1,0.3227,0.2,0.3124,0.3197,0.8052,0.4745,0,0.0443,0.0861,0.0598,0.1142,5.3913
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0,0,0.2431,0.9939,0,?,0,0,0.9996,0.015,0.0236,0.8092,?,0.8206,?,3.0022
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0.2564,0.3099,1.1159,0.3999,0.3668,?,0.1115,0.028,0.7794,0.0965,0.4991,0.7466,?,0.9675,?,5.7877
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0,0,0.8872,0.4874,0,?,0,0,0.9997,0.0126,1.0167,0.8797,?,0.8934,?,2
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0222,0.0451,0.7312,0.8204,0.1319,?,0.018,0.011,0.9689,0.0405,0.3529,0.6752,?,0.9033,?,3
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0,0,0.1932,0.9968,0,?,0,0,1.1362,0.0096,0.0143,0.8302,?,0.8802,?,3
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1,0.2295,0.2295,1.1161,0.478,0.2295,0.4,0.2295,0.2295,0.9025,0.4167,0.9821,0.5832,0.3252,0.5832,0.8944,4.6849
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.0119,0.0232,0.4809,0.9204,0.2259,?,0.0108,0.0085,0.9997,0.0129,0.2326,0.9558,?,0.9935,?,5.4615
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,1,0.0046,0.0046,0,1,0.0046,?,0.0046,0.0046,0.999,0.0306,0,0.5028,?,0.5028,?,2
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1,0.0982,0.1116,0.9766,0.4754,0.1905,?,0.0622,0.0655,0.9999,0.0087,0.6408,0.9085,?,0.9277,?,3.1351
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,1,0.042,0.042,0.5623,0.5,0.042,0.4,0.042,0.042,0.8748,0.25,0.5774,0,0.0489,0,0.0091,6.0431
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,1,0.3832,0.3832,0.9882,0.3656,0.3833,0.5325,0.3831,0.3831,0.7376,0.25,0.9265,0,0,0,0,8.2453
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1,0,0,0.2703,0.9923,0,?,0,0,1.0005,0.0168,0.0277,0.7908,?,0.802,?,3
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.0697,0.0698,1.2804,0.401,0.1012,0.6364,0.0598,0.0665,0.7411,0.1602,0.842,0.0997,0.4223,0.1343,0.7121,6.8981
SAT_Competition2009/CRAFTED/Medium/contest05/pebbling/unsat-pbl-00080.sat05-1325.reshuffled-07.cnf,1,0.4675,0.4824,2.402,0.3847,0.4996,?,0.4003,0.4293,0.9891,0.0232,0.7077,0.5121,?,0.7167,?,4.2025
