@RELATION 'FEATURE_VALUES-SAT12-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC

@DATA
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0.4947,0.4949,1.3505,0.2457,0.4952,?,0.4946,0.4946,0.8826,0.0029,0.8047,0.1227,?,0.1593,?,2,29282,?,?,0.4944,29282,0.0097,?,0,2.3439,0.0005,0,0.1459,11,?,0.0919,0.4944
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1,0.1626,0.2899,1.2297,0.467,0.5,?,0.1056,0.0576,1.0214,0.0192,1.0218,0.8362,?,0.9864,?,6.6667,1711065,?,?,0.007,1666604,0.6494,?,0.8587,5.0412,1.1702,0.7947,0.9295,13459,?,0.9729,0.0001
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,1,0.0334,0.064,0.9606,0.7822,0.099,0.5,0.0216,0.0148,0.9948,0.0433,0.4072,0.8375,1.0454,0.9738,1.3036,5.7407,37237,0.0019,0.1971,0,37237,0.9093,0.0015,0.6918,2.2445,1.158,0.363,0.9373,718,3.497,0.9375,0
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,1,0.4999,0.5,2.9418,0.289,1,?,0.4485,0.4995,0.9464,0.2232,0.8986,0.6986,?,0.7998,?,4.444,8013,?,?,0.4909,6565,0.1152,?,0.0905,1.3243,0.3429,1.5263,0.748,77,?,1,0.1345
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1,0,0,0.8223,0.4897,0.0001,?,0,0,0.9998,0.0114,1.0161,0.8977,?,0.9115,?,2,66810,?,?,0,66030,0.7118,?,0.9756,4.6273,3.1726,0,0.8994,370,?,0.5629,0
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1,0.3207,0.3213,0,1,0.3227,0.2,0.3124,0.3197,0.8052,0.4745,0,0.0443,0.0861,0.0598,0.1142,5.3913,196,0.1538,0.1929,0.3145,196,0.5,0.0483,0,0.2095,0.0544,0.0507,0.0136,17,0.428,0.3333,0.2651
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1,0,0,0.2431,0.9939,0,?,0,0,0.9996,0.015,0.0236,0.8092,?,0.8206,?,3.0022,61409,?,?,0,60200,0.9349,?,0.9349,4.3346,8.7813,0.2047,0.8088,429,?,0.3475,0
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1,0.2564,0.3099,1.1159,0.3999,0.3668,?,0.1115,0.028,0.7794,0.0965,0.4991,0.7466,?,0.9675,?,5.7877,39932,?,?,0.0206,39932,0.6497,?,0.1147,2.6832,1.1336,0.275,0.7919,593,?,0.871,0.0021
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,1,0,0,0.8872,0.4874,0,?,0,0,0.9997,0.0126,1.0167,0.8797,?,0.8934,?,2,69990,?,?,0,69090,0.7267,?,0.9642,4.6377,3.2712,0,0.8801,428,?,0.4048,0
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.0222,0.0451,0.7312,0.8204,0.1319,?,0.018,0.011,0.9689,0.0405,0.3529,0.6752,?,0.9033,?,3,12647,?,?,0.0043,10373,0.0646,?,0,3.1969,1.2079,0.1936,0.8077,135,?,0.954,0.0016
