@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,2.5426,1.0345,0.7382,0.2114,0.9325,0.1516,1.2873,0.967,0.5964,0.3441,0.1604,2.8918,0.5464,0.0134,0.0301,0.0118,15.1905,16,15,0.2387,0.617,0.0001,0.3695,0.5959,0.5018,1.548,0.618,0.0236,0,0.9322,0.8261,0.8496
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.151,1.0135,0.6219,0.0732,0.8207,0.148,1.3838,0.9593,1.5385,0.4568,0.1209,2.7096,0.7723,0.0163,0.0241,0.0144,5.8542,6,5,0.135,0.8864,0.0114,1.0215,0.5504,0.7935,0.0409,0.315,0.021,0.0036,0.5785,0.7037,0.9382
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.25,0.7312,0.1326,0.1504,0.158,0.0823,2.1902,1.6459,0.9107,0.3526,0.018,2.9039,0.0263,0.0684,0.1391,0.0372,7.2846,8,6,0.0097,0.0021,0.005,0.2662,0.6498,0.0233,0.0568,1.6378,0.1293,0.0026,0.8108,0.1,0.0909
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.0781,0.6963,0.9568,0.5,0.9588,0.0364,1.285,0.9339,13.386,0.5825,0.2696,4.354,0.6348,0.0571,0.2415,0.0012,0,0,0,0.4831,0.9987,0.0138,3.7972,1.3035,0.9129,0.0065,0.2159,0.0231,0,2.2464,1,1
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.3878,0.7682,0.8538,0.4564,0.8665,0.0924,1.4683,0.9607,1.3945,0.5953,0.1792,3.8663,0.8161,0.0287,0.0896,0.0046,4.0325,5,3,0.2206,0.851,0.0248,1.1314,1.0757,0.7493,0.1061,0.3009,0.0226,0.0004,2.1092,0.75,0.9203
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,1.4463,0.4375,0.5302,0.2106,0.5338,0.172,1.0399,0.921,0.5099,0.4086,0.0385,2.571,0.0827,0.0308,0.0447,0.0265,13.1873,14,13,0.0194,0.006,0.0003,0.1873,0.5185,0.0777,0.7636,1.8557,0.041,0.0008,0.7222,0.4,0.3661
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,4.9941,0.692,0.4435,0.4444,0.468,0.1323,1.7696,1.6206,2.0163,0.3756,0.1496,2.9961,0.1194,0.0797,0.1457,0.0778,7.4146,8,7,0.1713,0.6142,0.0015,0.3744,1.7597,0.5682,1.3544,0.4113,0.1191,0.0006,0.7515,0.9658,0.8292
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.1674,0.6168,0.9764,0.5,0.9743,0.0308,1.0885,0.8854,1.1802,0.5889,0.297,5.004,0.4972,0.1745,0.4959,0.1744,4.08,5,4,0.3855,0.808,0.0046,1.714,1.8786,0.7709,0.0143,0.2889,0.2772,0,1.0206,0.9394,1
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.1323,0.7766,0.9423,0.5,0.9501,0.0475,1.3557,0.9825,6.6383,0.529,0.2523,4.3618,0.6199,0.0924,0.3595,0.0032,5,5,5,0.4428,0.9963,0.0261,2.5312,1.3191,0.8546,0.014,0.2835,0.1174,0,1.7067,1,1
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,1.7399,0.6702,0.4236,0.2397,0.8331,0.196,1.2752,1.1555,1.8479,0.3944,0.1801,2.1745,0.1582,0.0807,0.1751,0.0638,5.5,6,4,0.1568,0.5318,0.0023,0.5407,1.5509,0.3949,0.707,0.5833,0.0784,0.0242,0.7274,0.8925,0.586
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,3.7759,0.71,0.473,0.5,0.7697,0.172,1.3928,1.1342,1.3113,0.4675,0.1379,2.5669,0.1331,0.4008,0.5,0.4333,5.5385,6,5,0.1168,0.1373,0.0045,1.9172,0.8564,0.2217,1.4298,0.9604,0.5,0.2279,0.2863,0.7576,0.5
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.0597,0.5616,0.6001,0.3082,0.6106,0.1943,1.1565,1.06,1.0802,0.3572,0.0643,1.9732,0.1638,0.0399,0.0555,0.0284,9.0104,10,7,0.0441,0.1317,0.0006,0.27,2.1993,0.1929,0.3633,0.9129,0.0472,0.0213,0.9384,0.7391,0.4009
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,2.5898,1.0367,0.7373,0.1983,0.9281,0.1535,1.2983,0.976,0.5994,0.3448,0.1578,2.9225,0.5503,0.0138,0.0307,0.0116,15.0286,16,14,0.2388,0.6119,0.0002,0.3753,0.5961,0.5065,1.6142,0.6036,0.0239,0,0.933,0.8261,0.8484
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,10.0823,0.5022,0.4298,0.4592,0.4899,0.0774,2.0001,1.819,1.9974,0.6506,0.2553,2.743,0.3719,0.0669,0.1038,0.0902,6.3427,7,6,0.147,0.8199,0.0185,1.1665,1.4871,0.7111,1.5657,0.33,0.1021,0.0003,0.7328,0.9695,0.862
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,6.4492,0.5276,0.4416,0.4725,0.5069,0.1111,2.0589,1.8901,1.5188,0.644,0.238,3.3061,0.3838,0.0862,0.2276,0.0791,6.6396,8,5,0.221,0.7019,0.0342,1.1341,1.0689,0.5993,1.4164,0.4603,0.103,0.0002,0.9809,0.8592,0.8823
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.9868,0.9831,0.732,0.1345,0.8731,0.1733,1.3791,1.0373,0.5454,0.3881,0.1638,2.569,0.585,0.0156,0.0292,0.0156,17.0909,18,17,0.2625,0.7644,0.0001,0.4804,0.5132,0.5835,0.6234,0.5482,0.022,0,0.7992,0.8182,0.8866
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,2.3864,0.6555,0.6119,0.2875,0.6128,0.1831,1.2995,1.2175,0.7131,0.3356,0.1129,2.357,0.2219,0.0377,0.074,0.025,8.5016,10,6,0.0735,0.2087,0.0059,0.3027,1.2355,0.263,1.1818,0.8312,0.0442,0.0082,1.0459,0.7143,0.6048
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,0.2585,0.557,0.9406,0.1496,0.3812,0.083,0.9247,2.0685,2.5291,0.7273,0.207,1.8012,0.2109,0.0137,0.0471,0.0037,6.5345,8,5,0.3877,0.8251,0.0064,0.5974,1.1089,0.839,0.092,0.0546,0.0077,0.001,1.7636,0.9432,0.8979
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2053,0.892,0.178,1.3751,1.0132,0.4451,0.371,0.1565,2.733,0.6153,0.0155,0.0322,0.0137,13.9359,15,13,0.2499,0.6568,0.0003,0.4464,0.4511,0.5407,1.5201,0.5608,0.0259,0,0.8593,0.7647,0.8601
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,2.1871,1.0463,0.7631,0.2037,0.8874,0.1843,1.3814,1.006,0.4013,0.3767,0.1552,2.6926,0.6356,0.0158,0.0323,0.0141,13.4673,14,13,0.2522,0.6706,0.0004,0.4555,0.4251,0.5492,1.6066,0.5442,0.0262,0.0001,0.8471,0.7333,0.8596
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.0753,0.593,0.9495,0.5,0.9471,0.0439,1.0688,0.5717,9.1027,0.7212,0.2372,4.077,0.9069,0.0485,0.1988,0.0036,5,5,5,0.5002,0.9971,0.0035,2.6384,1.8279,0.9439,0.0073,0.1547,0.0358,0,1.9857,0.9852,1
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406,0.0178,0.8957,0.7405,3.3798,0.8348,0.3273,5.2307,0.8293,0.0967,0.3607,0.0003,4,4,4,0.5141,0.9995,0.0043,2.8168,2.3481,0.8043,0.0268,0.4204,0.2071,0,1.6376,0.9849,1
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,5.2587,0.7558,0.4758,0.4377,0.8536,0.1611,1.4908,1.2399,2.5235,0.5172,0.1655,3.1072,0.4386,0.0459,0.1094,0.0293,8.6351,9,8,0.1496,0.4015,0.004,1.3917,1.9106,0.4696,2.0312,0.716,0.0661,0.0001,1.1583,1,0.9783
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,2.2488,1.0315,0.5984,0.3401,0.6631,0.1359,1.9424,1.6117,1.2092,0.3553,0.1598,3.62,0.5212,0.0323,0.0871,0.0155,90.4667,93,88,0.22,0.6558,0.0005,0.6685,1.0416,0.5957,0.8178,0.4749,0.0496,0.0003,1.2345,0.7333,0.9225
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,2.1373,1.0416,0.7552,0.2055,0.892,0.178,1.3751,1.0132,0.4451,0.371,0.1565,2.733,0.6153,0.0155,0.0321,0.0137,13.8462,15,13,0.2499,0.6567,0.0003,0.4464,0.4511,0.5405,1.5201,0.5613,0.0259,0,0.8579,0.7647,0.8601
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,1.0622,0.9946,0.7414,0.1485,0.8708,0.1789,1.3841,1.0274,0.4866,0.391,0.1624,2.5651,0.6071,0.0161,0.0308,0.0165,15.55,16,15,0.2652,0.744,0.0001,0.4876,0.4772,0.5711,0.6979,0.56,0.0257,0,0.8176,0.7895,0.8806
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,3.0716,0.6638,0.3481,1,0.8913,0.2186,1.0625,0.7897,3.0847,0.4111,0.0874,1.7815,0.0812,0.0615,0.0791,0.0505,14.1635,15,13,0.0915,0.156,0.0024,0.8299,2.1576,0.1883,1.6141,0.7331,0.0617,0.0313,0.8856,1,0.2474
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,0.7117,0.3851,0.9403,0.5,0.9406,0.0178,0.8957,0.7405,3.3798,0.8348,0.3273,5.2304,0.8293,0.0967,0.3607,0.0003,4,4,4,0.5141,0.9995,0.0043,2.8168,2.3481,0.8043,0.0268,0.4204,0.2071,0,1.6376,0.9848,1
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,0.5733,0.6186,0.4079,0.135,0.4828,0.2042,1.4091,0.8766,0.291,0.4628,0.0691,2.6635,0.0181,0.0676,0.1317,0.0533,6.9777,8,6,0.0509,0.0252,0.0111,0.1654,0.28,0.0726,0.2087,1.33,0.1112,0.017,0.6556,0.25,0.2242
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.3211,0.7889,0.5045,0.438,0.7211,0.2072,1.2865,1.001,0.6056,0.4177,0.0712,2.7282,0.1174,0.0543,0.1155,0.0386,15.2951,17,11,0.061,0.1209,0.0009,0.2314,1.0087,0.1857,1.02,1.0514,0.0628,0.0149,1.0025,0.8261,0.4649
