@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.OneRAttributeEval -S 1 -F 10 -B 6-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,42000,41709,0.0003,9752,0.0006,0.0003,0.0003,2130,0.0002,2165,2085,2070,2014.62,10000,479.188,0.0006,2150,148.318,0,0,0.237,0.7922,2129.09,0.048,2183,0,5.0606,0.0283,17,0.2673,0.0008,0.0802
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,42000,41760,0.0003,9769,0.0006,0.0003,0.0003,2130,0.0002,2163,2091,2081,2022.12,10000,347.765,0.0007,2159,158.52,0,0,0.2396,0.6462,2127.88,0.0472,2175,0,5.0265,0.0281,17,0.2581,0.0009,0.0791
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,7120,7120,0.0875,80,0.0111,0.0875,0.0875,14,0.0055,17,10,10,13.7424,80,9.7683,0.0875,14,9.6097,0.0111,0.0781,0.6687,1.9698,13.7119,0,17,0.0032,2,0,4385,0.1992,0.0958,0.0001
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,17354,15027,0.0004,4798,0.0013,0.0006,0.0006,1001,0.0003,1038,978,975,994.926,6500,82.7872,0.0021,1005,61.6392,0.0001,0.0001,0.1882,0.5312,1004.05,0.1024,1032,0,5.9545,0.058,435,0.1066,0.0025,0.1668
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17000,17000,0.035,200,0.0117,0.035,0.035,33,0.0021,39,27,28,32.9107,200,17.7512,0.035,33,18.056,0.0117,0.0307,0.6302,1.5963,33.4572,0.0001,39,0.0011,2,0.0001,3864,0.1421,0.04,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,8010,8010,0.0778,90,0.0111,0.0778,0.0778,15,0.0049,19,12,12,15.365,90,10.5497,0.0778,15,10.4131,0.0111,0.071,0.6625,1.9129,15.3671,0,19,0.0032,2,0,4329,0.1855,0.0849,0.0001
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,2343,2343,0.0455,110,0.0457,0.0455,0.0455,22,0.0088,27,18,18,21.9929,110,9.6703,0.0455,22,8.7044,0.0431,0.0341,0.5591,1.5591,21.9929,0.0009,27,0.0051,2.789,0.0006,4256,0.1619,0.0619,0.0016
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,2343,2343,0.0455,110,0.0456,0.0455,0.0455,22,0.0082,26,17,18,21.9015,110,10.0267,0.0455,22,9.0747,0.0431,0.0359,0.5605,1.563,21.9697,0.0009,27,0.003,2.8624,0.0006,4266,0.1617,0.0568,0.0014
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,54600,54263,0.0002,12681,0.0005,0.0002,0.0002,2779,0.0001,2824,2674,2694,2508.18,13000,580,0.0005,2759,541.35,0.0001,0,0.2293,0.7619,2632,0.0461,2809,0,5.038,0.0274,11,0.3321,0.0008,0.0788
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4450,4450,0.14,50,0.011,0.14,0.14,9,0.0088,11,6,6,8.9002,50,6.8891,0.14,9,6.3715,0.011,0.1245,0.7049,2.2224,8.835,0,12,0.0061,2,0,4579,0.231,0.1492,0.0001
