@RELATION 'featureValues_ASP_Potassco-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Frac_Body-Body_Equivalences NUMERIC
@ATTRIBUTE Frac_Other_Equivalences NUMERIC
@ATTRIBUTE Tight NUMERIC
@ATTRIBUTE Frac_Atom-Atom_Equivalences NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Ternary_Rules NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-2 NUMERIC
@ATTRIBUTE Other_Constraints NUMERIC
@ATTRIBUTE Frac_Integrity_Rules NUMERIC
@ATTRIBUTE Conflicts/Choices-4 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-3 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-3 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-4 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-4 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-3 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-3 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-2 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-2 NUMERIC
@ATTRIBUTE Frac_Choice_Rules NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-2 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-2 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-4 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-4 NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-3 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Conflict-1 NUMERIC
@ATTRIBUTE Frac_Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Conflicts/Choices-3 NUMERIC
@ATTRIBUTE Frac_Literals_in_Conflict_Nogoods-1 NUMERIC
@ATTRIBUTE Frac_Literals_in_Loop_Nogoods-1 NUMERIC
@ATTRIBUTE Literals_in_Conflict_Nogoods-4 NUMERIC
@ATTRIBUTE Frac_Binary_Rules NUMERIC
@ATTRIBUTE Frac_Learnt_Others-1 NUMERIC
@ATTRIBUTE Frac_Binary_Constraints NUMERIC
@ATTRIBUTE Frac_Normal_Rules NUMERIC
@ATTRIBUTE Constraints/Vars NUMERIC
@ATTRIBUTE Frac_Pos_Body NUMERIC
@ATTRIBUTE Conflicts/Choices-2 NUMERIC
@ATTRIBUTE Frac_Ternary_Constraints NUMERIC
@ATTRIBUTE Frac_Learnt_Others-4 NUMERIC
@ATTRIBUTE Frac_Learnt_Others-3 NUMERIC
@ATTRIBUTE Frac_Learnt_Others-2 NUMERIC
@ATTRIBUTE Frac_Neg_Body NUMERIC
@ATTRIBUTE Frac_Learnt_Ternary-1 NUMERIC
@ATTRIBUTE Created_Bodies NUMERIC
@ATTRIBUTE Frac_Unary_Rules NUMERIC
@ATTRIBUTE Conflicts/Choices-1 NUMERIC
@ATTRIBUTE Binary_Constraints NUMERIC
@ATTRIBUTE Frac_Other_Constraints NUMERIC
@ATTRIBUTE Frac_Learnt_Ternary-4 NUMERIC
@ATTRIBUTE Frac_Learnt_Ternary-2 NUMERIC
@ATTRIBUTE Constraints NUMERIC
@ATTRIBUTE Frac_Learnt_Ternary-3 NUMERIC
@ATTRIBUTE Frac_Learnt_Binary-1 NUMERIC
@ATTRIBUTE Normal_Rules NUMERIC
@ATTRIBUTE Rules NUMERIC
@ATTRIBUTE Running_Avg_LBD-4 NUMERIC
@ATTRIBUTE Running_Avg_Conflictlevel-2 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-2 NUMERIC
@ATTRIBUTE Frac_Cardinality_Rules NUMERIC
@ATTRIBUTE Learnt_Others-1 NUMERIC
@ATTRIBUTE Running_Avg_Conflictlevel-3 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-3 NUMERIC
@ATTRIBUTE Frac_Learnt_Binary-3 NUMERIC
@ATTRIBUTE Learnt_from_Loop-1 NUMERIC
@ATTRIBUTE Frac_Learnt_Binary-4 NUMERIC
@ATTRIBUTE Longest_Backjumping-4 NUMERIC
@ATTRIBUTE Longest_Backjumping-3 NUMERIC
@ATTRIBUTE Frac_Learnt_Binary-2 NUMERIC
@ATTRIBUTE Choices-3 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-4 NUMERIC
@ATTRIBUTE Free_Problem_Variables NUMERIC
@ATTRIBUTE Avg_LBD_Levels-4 NUMERIC
@ATTRIBUTE Longest_Backjumping-2 NUMERIC
@ATTRIBUTE Choices-4 NUMERIC
@ATTRIBUTE Avg_Skipped_Levels_while_Backjumping-3 NUMERIC
@ATTRIBUTE Skipped_Levels_while_Backjumping-3 NUMERIC
@ATTRIBUTE Avg_Conflict_Levels-1 NUMERIC
@ATTRIBUTE Running_Avg_Conflictlevel-1 NUMERIC
@ATTRIBUTE Avg_Skipped_Levels_while_Backjumping-4 NUMERIC
@ATTRIBUTE Skipped_Levels_while_Backjumping-4 NUMERIC
@ATTRIBUTE Running_Avg_Conflictlevel-4 NUMERIC
@ATTRIBUTE Running_Avg_LBD-3 NUMERIC
@ATTRIBUTE Avg_LBD_Levels-3 NUMERIC
@ATTRIBUTE Learnt_Others-2 NUMERIC
@ATTRIBUTE Learnt_from_Loop-2 NUMERIC
@ATTRIBUTE Choices-2 NUMERIC
@ATTRIBUTE Running_Avg_LBD-2 NUMERIC
@ATTRIBUTE Avg_LBD_Levels-2 NUMERIC
@ATTRIBUTE Avg_LBD_Levels-1 NUMERIC
@ATTRIBUTE Running_Avg_LBD-1 NUMERIC
@ATTRIBUTE Choice_Rules NUMERIC
@ATTRIBUTE Learnt_Others-3 NUMERIC
@ATTRIBUTE Learnt_from_Loop-3 NUMERIC
@ATTRIBUTE Avg_Skipped_Levels_while_Backjumping-2 NUMERIC
@ATTRIBUTE Skipped_Levels_while_Backjumping-2 NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-2 NUMERIC
@ATTRIBUTE Learnt_Others-4 NUMERIC
@ATTRIBUTE Learnt_from_Loop-4 NUMERIC
@ATTRIBUTE Ternary_Constraints NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-3 NUMERIC
@ATTRIBUTE Frac_Weight_Rules NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-4 NUMERIC
@ATTRIBUTE Literals_in_Loop_Nogoods-1 NUMERIC
@ATTRIBUTE Cardinality_Rules NUMERIC
@ATTRIBUTE Choices-1 NUMERIC
@ATTRIBUTE Weight_Rules NUMERIC
@ATTRIBUTE Body-Body_Equivalences NUMERIC
@ATTRIBUTE Nodes_in_Positive_BADG NUMERIC
@ATTRIBUTE Other_Equivalences NUMERIC
@ATTRIBUTE Skipped_Levels_while_Backjumping-1 NUMERIC
@ATTRIBUTE Avg_Skipped_Levels_while_Backjumping-1 NUMERIC
@ATTRIBUTE Problem_Variables NUMERIC
@ATTRIBUTE SCCS NUMERIC
@ATTRIBUTE Removed_Nogoods-4 NUMERIC
@ATTRIBUTE Frac_Removed_Nogood-4 NUMERIC
@ATTRIBUTE Learnt_Binary-4 NUMERIC
@ATTRIBUTE Equivalences NUMERIC
@ATTRIBUTE Learnt_Ternary-4 NUMERIC
@ATTRIBUTE Atom-Atom_Equivalences NUMERIC
@ATTRIBUTE Learnt_Binary-3 NUMERIC
@ATTRIBUTE Learnt_Ternary-3 NUMERIC
@ATTRIBUTE Program_Atoms NUMERIC
@ATTRIBUTE Learnt_Binary-2 NUMERIC
@ATTRIBUTE Longest_Backjumping-1 NUMERIC
@ATTRIBUTE Learnt_Ternary-2 NUMERIC
@ATTRIBUTE Assigned_Problem_Variables NUMERIC
@ATTRIBUTE Learnt_Binary-1 NUMERIC
@ATTRIBUTE Learnt_Ternary-1 NUMERIC

@DATA
FolioSuite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6.gz,1,0.0345,0.773,1,0.1925,619,0.9692,1312,554,0.2315,0.1887,0,1,0,1,1,0,0,1,0.001,0,1,0,1,1554,1,0,0.198,1,0,1701,0.0249,0.9688,0.7105,0.998,2.7004,0.7602,0.2716,0.2845,0.8462,0.8469,0.8485,0.0054,0,35537,0.0029,0.2936,78668,0.005,0.0231,0,110728,0.0204,0.0312,36182,36254,2.81,16.54,25.0606,0.001,31,22.15,22.602,0.1327,0,0.1308,28,28,0.1515,495,19.1308,32355,3.0538,24,689,4.4082,432,17.9062,5.73,4.8154,626,19.65,3.38,3.449,56,0,243,2.65,4.0152,3.875,1.24,36,83,0,2.7273,180,0,110,0,31506,0,0,0,0,36,109,0,125,0,2799,86,2.6875,41004,0,0,0,17,3621,3,697,13,2,10803,10,24,0,8649,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data.gz,1,0.0113,0.7578,1,0.231,911,0.0016,2263,329,0.467,0.5504,0,1,0,1,1,0,0,1,0.0573,0,1,0,1,3375,1,0,0.5323,1,0,4226,0.4678,1,0.0119,0.8869,0.1249,0.9809,0.5,0.006,0.9847,1,1,0.4765,0,2725,0.4009,0.3596,4,0.9821,0.0076,0,335,0,0,4456,5024,7.73,14.26,21.9385,0.0557,32,17.7,17.8788,0,0,0.0076,16,16,0,186,15.7557,342,8.8473,16,238,1.4242,141,36.3125,11.62,1.4122,185,9.37,9.13,9.2222,65,0,130,6.35,9.7692,12.4375,3.98,288,99,0,1.4154,92,0,129,0,2,0,0,0,0,280,89,0,98,0,6597,55,1.7188,2683,0,92,0.7023,1,8706,1,2011,0,0,4699,0,16,0,2341,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,1,0.0113,0.7578,1,0.231,917,0.0016,1905,330,0.467,0.6111,0,1,0,1,1,0,0,1,0.0573,0,1,0,1,2942,1,0,0.5858,1,0,3849,0.4678,0.9091,0.003,0.8869,0.1249,0.9809,0.5593,0.0119,0.9697,0.9596,0.9545,0.4765,0.0606,2725,0.4009,0.4648,1,0.9851,0.0152,0.0303,335,0.0202,0.0303,4456,5024,8.16,14.32,21.697,0.0557,30,18.19,18.3737,0.0202,0,0.0152,6,6,0.0152,169,15.8333,342,9.25,3,216,1.2222,121,33.0909,10.92,1.2348,163,10.28,9.89,9.9899,63,0,118,6.88,10.4242,12.6667,4.18,288,95,0,1.1818,78,0,128,0,4,0,0,0,0,280,71,0,98,0,6597,42,1.2727,2683,0,92,0.697,2,8706,2,2011,2,2,4699,1,3,2,2341,1,2
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data.gz,1,0.0113,0.7578,1,0.231,802,0.0016,1472,328,0.467,0.4942,0,1,0,1,1,0,0,1,0.0573,0,1,0,1,2500,1,0,0.4615,1,0,3183,0.4678,1,0.009,0.8869,0.1241,0.9809,0.4076,0.006,0.9844,0.9896,0.9844,0.4765,0,2725,0.4009,0.32,3,0.985,0.0156,0.0156,333,0.0104,0,4456,5024,7.77,9.68,15.125,0.0557,32,13.85,14.4271,0,0,0,35,35,0,208,13,342,7.8438,35,259,1.8333,176,22.7188,7.27,1.7109,219,10.14,7.73,8.0521,63,0,157,4.56,7.125,8.4062,2.69,288,95,0,2.1094,135,0,126,0,2,0,0,0,0,280,100,0,98,0,6597,82,2.5625,2683,0,92,0.7188,0,8706,2,2011,0,1,4699,0,35,1,2341,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data.gz,1,0.0113,0.7578,1,0.231,953,0.0016,1716,325,0.467,0.5331,0,1,0,1,1,0,0,1,0.0573,0,1,0,1,2351,1,0,0.5105,1,0,3228,0.4678,1,0,0.8869,0.1223,0.9809,0.4706,0.0091,0.9767,0.9794,1,0.4765,0,2725,0.4009,0.381,0,0.9909,0.0233,0,328,0.0206,0,4456,5024,8.23,16.59,25.9219,0.0557,32,19.65,20.2577,0,0,0,8,8,0,190,17.876,342,9.9302,8,242,1.4021,136,40.375,12.92,1.3953,180,11.3,10.26,10.5773,64,0,136,7.73,12.0781,16.25,5.2,288,95,0,1.4062,90,0,126,0,3,0,0,0,0,280,84,0,98,0,6597,46,1.4375,2683,0,90,0.6977,0,8706,3,2011,0,2,4699,0,8,0,2341,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph.gz,1,0.0174,0.9256,1,0.057,579,0.0171,2012,301,0.9756,0.1324,0,1,0,1,1,0,0,1,0.0078,0,1,0,1,3251,1,0,0.1149,1,0,4786,0.0008,0.9688,0.0169,0.9848,0.9924,0.9923,0.1091,0.9819,0.9922,0.9897,0.9846,0.0093,0,265476,0.0011,0.0626,4466,0.0011,0,0,263526,0,0.0312,265686,269776,23.23,26.47,40.7231,0.0073,31,53.8,55.4639,0.0103,0,0.0078,48,48,0.0154,844,58.6512,2365,21.6667,48,974,6.7938,659,44.1562,14.13,5.5814,720,63.41,19.86,20.4742,64,0,596,11.09,17.0615,17.75,5.68,2115,96,0,7.7538,504,0,128,0,258759,0,0,0,0,1975,511,0,90,0,4787,448,14,265546,0,0,0,1,5172,0,295,1,0,2887,1,48,0,263181,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph.gz,1,0.0203,0.8968,1,0.0828,509,0.016,1587,243,0.9749,0.1675,0,1,0,1,1,0,0,1,0.0079,0,1,0,1,2498,1,0,0.1593,1,0,3620,0.0011,0.9688,0.0179,0.9843,0.9924,0.9923,0.1506,0.9806,0.9924,0.9897,0.9844,0.01,0,161740,0.0017,0.0936,2880,0.0015,0,0,160624,0,0.0312,161852,164440,16.7,25.73,40.2031,0.0079,31,43.23,44.567,0.0103,0,0.0076,36,36,0.0156,609,50.2519,1545,16.4656,36,782,4.9897,484,44.3438,14.19,4.4504,583,52.2,14.64,15.0928,63,0,425,9.66,15.0938,15.4375,4.94,1295,96,0,5.375,344,0,130,0,157501,0,0,0,0,1293,342,0,70,0,3085,287,8.9688,161850,0,0,0,1,3440,0,285,1,0,2007,1,36,0,160305,1,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph.gz,1,0.0203,0.8969,1,0.0828,453,0.016,1476,245,0.9748,0.2105,0,1,0,1,1,0,0,1,0.0079,0,1,0,1,2801,1,0,0.1868,1,0,3717,0.0011,0.9375,0.0179,0.9842,0.9924,0.9923,0.1671,0.9805,0.9766,0.9688,0.9531,0.01,0.0312,161741,0.0017,0.1032,2880,0.0015,0.0078,0.0156,160625,0.0104,0.0312,161851,164441,20.45,26.91,42.0469,0.0079,30,50.36,52.4583,0.0208,0,0.0156,36,36,0.0312,514,51.5469,1545,18.8984,36,608,3.6667,352,50.125,16.04,3.1562,404,52.62,17.93,18.6771,61,0,383,9.87,15.4219,13.4688,4.31,1295,93,0,4.5,288,0,125,0,157500,0,0,0,0,1295,310,0,70,0,3087,244,7.625,161851,0,0,0,2,3442,1,285,2,1,2007,2,36,1,160306,1,1
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,1,0.0174,0.9254,1,0.0572,32,0.0161,64,305,0.9759,0.0985,0,1,0,1,1,0,0,1,0.0077,0,1,0,1,268,1,0,0.1295,1,0,919,0.0008,1,0.0166,0.9848,0.9924,0.9925,0.5039,0.9822,1,1,1,0.0093,0,265431,0.0013,0.5,4374,0.0012,0,0,263433,0,0,265597,269689,5.94,1.27,1.9844,0.0075,32,47.29,48.7526,0,0,0,35,32,0,749,126.5194,2319,4.8295,2,1310,3.3918,329,2,0.64,5.3566,691,162.63,2.16,2.2268,64,0,127,0.64,1,1,0.32,2071,97,0,1.9844,127,0,129,0,258754,0,0,0,0,2021,64,0,90,0,4786,64,2,265457,0,0,0,0,5172,0,296,0,0,2887,0,2,0,263138,0,0
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,1,0.0204,0.8967,1,0.0829,430,0.016,1575,242,0.9749,0.1309,0,1,0,1,1,0,0,1,0.0079,0,1,0,1,2678,1,0,0.1371,1,0,3908,0.0011,0.9688,0.0179,0.9843,0.9924,0.9923,0.1711,0.9806,0.9922,0.9896,0.9844,0.01,0,161738,0.0017,0.1063,2880,0.0015,0,0,160622,0,0.0312,161856,164438,21.3,24.16,37.75,0.0078,31,55.23,57.5312,0.0104,0,0.0078,48,39,0.0156,700,60.4688,1545,19.2344,39,978,5.1458,494,41.4688,13.27,5.5469,710,66.19,16.52,17.2083,63,0,374,8.91,13.9219,12.75,4.08,1295,95,0,4.6094,295,0,127,0,157500,0,0,0,0,1287,301,0,70,0,3081,248,7.75,161848,0,0,0,1,3436,0,285,1,0,2007,1,39,0,160303,1,0
