@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE dy_ratio_nodes NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE v_logprod_deg_vars NUMERIC
@ATTRIBUTE gr_avg_deg_cg NUMERIC
@ATTRIBUTE s_first_fail NUMERIC
@ATTRIBUTE gr_max_deg_cg NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE c_sum_ari_cons NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE dy_depth NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE dy_peak NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE dy_props NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE gr_max_deg_vg NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE c_logprod_deg_cons NUMERIC
@ATTRIBUTE s_set_search NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE o_deg NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE d_ratio_bool_cons NUMERIC
@ATTRIBUTE s_goal NUMERIC
@ATTRIBUTE v_num_aliases NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE dy_sols NUMERIC
@ATTRIBUTE d_bool_vars NUMERIC
@ATTRIBUTE s_indomain_max NUMERIC
@ATTRIBUTE c_bounds_z NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE d_array_cons NUMERIC
@ATTRIBUTE gc_diffn NUMERIC
@ATTRIBUTE o_dom_avg NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE gc_count NUMERIC
@ATTRIBUTE gc_max_min_int NUMERIC
@ATTRIBUTE dy_tot_time NUMERIC
@ATTRIBUTE dy_static_time NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE s_bool_search NUMERIC
@ATTRIBUTE v_sum_deg_vars NUMERIC
@ATTRIBUTE gc_all_diff NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE d_ratio_set_cons NUMERIC
@ATTRIBUTE d_bool_cons NUMERIC
@ATTRIBUTE o_di NUMERIC
@ATTRIBUTE d_set_cons NUMERIC
@ATTRIBUTE d_ratio_set_vars NUMERIC
@ATTRIBUTE d_set_vars NUMERIC
@ATTRIBUTE gc_array_int NUMERIC
@ATTRIBUTE c_domain NUMERIC
@ATTRIBUTE dy_fzn_time NUMERIC
@ATTRIBUTE v_min_deg_vars NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE gc_at_least_most NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.386303,1,0,1,0,1,0.32715,1,8.754888,1.981107,4.372867,0.923018,0.022812,0,8.604235,0.836131,7.876517,1.838185,0.001799,1.214625,5.451697,1.897653,0.885226,0.838857,0.802614,0.992806,0,-0.338626,0,2.979328,4.466809,24039,24039,11085.452705,0.205447,49907,0,4783.954927,552,8.754888,100202,23.456077,234079,128230.632653,403.346335,4735.798359,2363.471488,556,0.124774,1.688148,231.881795,1.005425,423.289331,0.498064,28378,235,8.816327,1,0.42835,0,553,46,2,553,570.399345,18.546763,0,96,68,-0.674054,24039,0.217391,1481,19.937865,4.372153,44,4.6,324,24039,15664669,2.378528,13.122966,0.994604,4,48,1,47,637.279414,0,6.900542,1,2.334539,0,2,1,1,192,0,0,0,549,549,0,0,56.790942,2.321942,0,0,2.16,0.06,49,2,0,1291,0,19,0.007194,0,10,4,0,0,0,0,0.05,0,0,0
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.360257,1,0,1,0,1,0.324728,1,9.475733,1.913015,3.90288,0.926504,0.015858,0,9.354835,0.379997,8.870365,1.768525,0.000904,1.100994,4.750237,1.240943,0.98921,0.382336,0,0.987342,0,-0.444649,0,4.80862,3.874394,19189,19189,23915.695718,0.319494,30645,0,10346.447767,1092,9.475733,61440,32.748907,718797,364354.477833,254.232599,10183.52397,4860.906176,1106,0.030192,1.289137,333.352679,1.011894,657.63678,0.498779,14355.4,468,24.551724,1,0.426786,0,1093,26,2,1093,1145.910482,12.126582,0,56,32,-0.035299,19189,1.153846,2941,21.623595,1.718294,25,0.866667,1284,19189,15676123,0.860448,33.954254,0.988246,4,28,1,27,1293.472213,0,3.875572,1,2.343092,0,2,1,1,69,0,0,0,1079,1079,0,0,29.178721,2.315552,0,0,2.29,0.18,29,2,0,2561,0,59,0.012658,0,30,14,0,0,0,0,0.07,0,0,0
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.360606,1,0,1,0,1,0.324635,1,9.475733,1.932083,3.903807,0.926504,0.015857,0,9.354826,0.402017,8.870365,1.781549,0.001055,1.101049,4.764253,1.273294,0.986054,0.403801,0,0.987342,0,-0.444897,0,4.584824,3.875324,19189,19189,20498.492976,0.306937,34952,0,8868.37527,936,9.475733,70061,30.358326,618853,315045.374384,254.232599,8730.767402,4164.853399,948,0.035219,1.288211,336.227721,1.01174,660.462113,0.49888,16765.1,468,24.551724,1,0.426879,0,937,26,2,937,982.19452,12.109705,0,56,32,-0.058405,19189,1,2521,21.622883,1.838811,25,1,1156,19189,15692178,0.924092,29.922092,0.988397,4,28,1,27,1107.054163,0,3.965848,1,2.342583,0,2,1,1,74,0,0,0,925,925,0,0,29.0539,2.315401,0,0,2.23,0.13,29,2,0,2195,0,51,0.012658,0,26,12,0,0,0,0,0.06,0,0,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1,5.857981,3.242353,1.444888,0.978071,0.956603,14,1.864841,2.445856,1,3.414162,0.01087,1.931658,2.469913,1.499262,1.867133,1.594535,0.919636,0.275362,0,0.212432,0,1.750986,0.364998,54,18,1909.884329,0.584606,96394,0.050725,514.696092,76,1,193079,3.51493,1818,568.846262,130.301639,424.914507,412.745021,276,0.47678,1.081264,1.761134,0.854489,5.628483,0.499246,5958.01,2,0.4,0,1.229695,1,323,3,0,135,267.193986,7.608696,0,100,154,-1.643858,58,1.333333,662,6.919871,0.86691,168,0.75,3996,18,1888688,2.445016,2.04644,1.17029,0,133,5,38,281.331846,1,17.684211,3,2.439628,0.26087,2,0,1,3,188,0,0,120,120,0,0,9.594059,2.855072,0,0,2.15,0.02,18,0,0,788,0,6,0,72,4,0,0,0,0,0,0.09,0,14,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.491469,0,1,0,0.502994,0.497006,0.732241,1,5.129283,3.273939,1.502487,0.860427,0.864639,9,1.935767,2.010703,1,3.346506,0.021277,1.541775,2.381284,1.192751,1.68967,1.387051,0.972524,0.340426,0,0.137466,0,1.354917,0.467609,32,10.666667,1017.58249,0.389131,95701,0.06383,272.943132,48,1,191475,2.883904,826,275.116162,85.809962,228.809962,247.217218,141,0.652695,0.933895,1.647402,0.844311,4.946108,0.499809,17325.4,2,0.5,0,1.128378,1,167,3,0,83,161.731336,7.815603,0,67,109,-2.540555,35,1,348,7.216897,0.743316,91,1,649,10.666667,3291823,1.896642,2.221557,1.184397,0,82,5,28,169.173841,1,17.389222,3,2.658683,0.113475,2,0,1,0,84,0,0,68,68,0,0,6.469734,3.148936,0,0,2.11,0.01,12,0,0,444,0,3,0,16,3,0,0,0,0,0,0.08,0,9,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,1.581138,0,0,0,0.744318,0.255682,0.272425,0,1.035221,0.948206,0.593023,0.863121,0.002828,0,1.000229,1.123249,1,2.959287,0.006494,1.338086,1.697772,0.919396,1.697772,1.112036,0,0.006494,0.285714,-0.512219,0,2.110857,0.050557,6,6,813.584963,0.179367,113902,0,154.035221,1,2,227815,13.228757,356,160.973523,46.584963,177.584963,273.485512,154,5.755682,1.529134,0.914622,0.875,2.022727,0.499976,49556.3,2,0.064516,1,0.216749,0,176,44,2,45,252.014005,14.25974,0,44,1012,-56.443755,6,0.113636,286,5.283019,0.533807,22,8.8,181,6,7631668,0.148638,7.403409,1.142857,5,52,1,45,273.435573,0,20.852273,1,4.613636,0.422078,2,1,2,0,131,1,0,110,110,44,0,2.966292,5.272727,0,0,2.08,0.01,31,2,1,812,0,10,0,65,5,0,0,0,0,0,0.03,0,0,0
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,1.544786,0,0,0,0.736842,0.263158,0.280654,0,1.035221,1.09181,0.604364,0.875472,0.002875,0,1.000236,1.114662,1,3.008259,0.006711,1.312548,1.817257,0.91173,1.817257,1.101634,0,0.006711,0.295302,-0.534702,0,2.042896,0.051791,6,6,752.584963,0.170018,121089,0,149.035221,1,2,242187,13.038405,346,156.185338,46.584963,172.584963,261.792733,149,5.923977,1.444362,0.913365,0.871345,2.023392,0.499981,53067.2,2,0.08,1,0.227696,0,171,44,2,45,243.693024,14.630872,0,44,1012,-58.137527,6,0.090909,271,5.050906,0.539809,22,11,181,6,7907008,0.150733,7.169591,1.147651,5,46,1,45,261.742794,0,20.807018,1,4.391813,0.402685,2,1,2,0,126,1,0,105,105,44,0,2.965318,5.040268,0,0,2.07,0.01,25,2,1,751,0,9,0,60,4,0,0,0,0,0,0.02,0,0,0
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,1.316656,0,0,1,0,1,0.204988,1,8.806302,1.876049,1.659975,0.431226,0.033152,0,5.570396,0.740476,5.209453,2.129386,0.000972,1.249189,1.549508,0.759847,1.537596,0.792204,0.552797,1,0,-1.858694,0,3.818351,0.907263,9472,9472,18894.576545,0.453546,36928,0,5731.937969,1029,11.399278,73877,38.075086,79800,41652.875,86.1418,8047.340591,4114.999135,1029,0.026063,0.310973,28.568501,0.705761,54.73251,0.499858,4428.8,37,4.625,1,0.421997,1,1458,2,2,1458,1750.233125,5.341108,0,92,36,0.839824,9472,0,3087,18.362076,8.667608,47,-1,2183,9472,2621849,4.518962,12.741427,1.41691,2,52,556,16,1566.128092,0,10.436214,1,2.369684,0,2,2,2,0,0,0,0,902,902,0,0,173.05985,3.357629,0,0,2.42,0.31,8,2,0,3455,0,24,0,0,0,0,0,0,0,0,0.06,0,0,0
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1,5.857981,3.242353,1.444888,0.978071,0.956603,14,1.864841,2.445856,1,3.414162,0.01087,1.931658,2.469913,1.499262,1.867133,1.594535,0.919636,0.275362,0,0.212432,0,1.750986,0.364998,54,18,1909.884329,0.584606,94702,0.050725,514.696092,76,1,189696,3.51493,1818,568.846262,130.301639,424.914507,412.745021,276,0.47678,1.081264,1.761134,0.854489,5.628483,0.49923,5855.79,2,0.4,0,1.229695,1,323,3,0,135,267.193986,7.608696,0,100,154,-1.643858,58,1.333333,662,6.919871,0.86691,168,0.75,3996,18,1856287,2.445016,2.04644,1.17029,0,133,5,38,281.331846,1,17.684211,3,2.439628,0.26087,2,0,1,3,188,0,0,120,120,0,0,9.594059,2.855072,0,0,2.16,0.02,18,0,0,788,0,6,0,72,4,0,0,0,0,0,0.1,0,14,0
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.692972,0,1,0,0.385757,0.614243,0.50823,1,6.210112,3.564783,2.287016,0.928643,0.524348,0,3.085834,1.433198,1,3.318525,0.003215,1.199419,4.189744,0.954104,1.563305,1.218064,2.205556,0.495177,0.344051,-0.530212,0,2.816521,2.365588,701,701,4723.716704,0.470745,108711,0.006431,959.694415,154,2,217555,9.600911,8891,4514.982966,163.18438,985.13233,942.348323,311,1.557864,1.444347,13.397576,0.922849,26.382789,0.499694,8508.53,2,0.285714,0,0.23419,1,337,35,2,207,489.565861,21.344051,0,86,505,-12.818364,701,0.028571,874,15.1888,3.59156,284,35,2326,701,2518524,2.663326,6.72997,1.083601,3,76,5,37,514.452586,1,20.189911,1,4.27003,0.106109,2,20,1,13,130,0,0,270,250,107,0,26.570352,4.62701,0,0,2.1,0.05,27,2,0,1439,2,21,0,33,1,0,0,0,0,34,0.02,0,2,0
