@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE s_indomain_min NUMERIC
@ATTRIBUTE s_other_var NUMERIC
@ATTRIBUTE s_int_search NUMERIC
@ATTRIBUTE d_ratio_bool_vars NUMERIC
@ATTRIBUTE d_ratio_int_vars NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE gr_max_clust_cg NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE o_deg_cons NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE c_ent_domdeg_cons NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE d_ratio_array_cons NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE gr_min_clust_cg NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE o_dom_deg NUMERIC
@ATTRIBUTE c_sum_dom_cons NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE dy_fails NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE c_sum_domdeg_cons NUMERIC
@ATTRIBUTE d_int_cons NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE dy_nodes NUMERIC
@ATTRIBUTE o_dom_std NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE c_logprod_dom_cons NUMERIC
@ATTRIBUTE c_num_cons NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE dy_ratio_nodes NUMERIC
@ATTRIBUTE dy_ratio_props NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE s_input_order NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE s_other_val NUMERIC
@ATTRIBUTE v_num_vars NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE gr_min_deg_cg NUMERIC
@ATTRIBUTE d_int_vars NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,1.386303,1,0,1,0,1,0.32715,1,8.754888,1.981107,4.372867,0.923018,0.022812,0,8.604235,0.836131,7.876517,1.838185,0.001799,1.214625,5.451697,1.897653,0.885226,0.838857,0.802614,0.992806,0,-0.338626,0,2.979328,4.466809,24039,24039,11085.452705,0.205447,49907,0,4783.954927,552,8.754888,100202,23.456077,234079,128230.632653,403.346335,4735.798359,2363.471488,556,0.124774,1.688148,231.881795,1.005425,423.289331,0.498064,28378,235,8.816327,1,0.42835,0,553,46,2,553
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,1.360257,1,0,1,0,1,0.324728,1,9.475733,1.913015,3.90288,0.926504,0.015858,0,9.354835,0.379997,8.870365,1.768525,0.000904,1.100994,4.750237,1.240943,0.98921,0.382336,0,0.987342,0,-0.444649,0,4.80862,3.874394,19189,19189,23915.695718,0.319494,30645,0,10346.447767,1092,9.475733,61440,32.748907,718797,364354.477833,254.232599,10183.52397,4860.906176,1106,0.030192,1.289137,333.352679,1.011894,657.63678,0.498779,14355.4,468,24.551724,1,0.426786,0,1093,26,2,1093
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,1.360606,1,0,1,0,1,0.324635,1,9.475733,1.932083,3.903807,0.926504,0.015857,0,9.354826,0.402017,8.870365,1.781549,0.001055,1.101049,4.764253,1.273294,0.986054,0.403801,0,0.987342,0,-0.444897,0,4.584824,3.875324,19189,19189,20498.492976,0.306937,34952,0,8868.37527,936,9.475733,70061,30.358326,618853,315045.374384,254.232599,8730.767402,4164.853399,948,0.035219,1.288211,336.227721,1.01174,660.462113,0.49888,16765.1,468,24.551724,1,0.426879,0,937,26,2,937
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1,5.857981,3.242353,1.444888,0.978071,0.956603,14,1.864841,2.445856,1,3.414162,0.01087,1.931658,2.469913,1.499262,1.867133,1.594535,0.919636,0.275362,0,0.212432,0,1.750986,0.364998,54,18,1909.884329,0.584606,96394,0.050725,514.696092,76,1,193079,3.51493,1818,568.846262,130.301639,424.914507,412.745021,276,0.47678,1.081264,1.761134,0.854489,5.628483,0.499246,5958.01,2,0.4,0,1.229695,1,323,3,0,135
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,0.491469,0,1,0,0.502994,0.497006,0.732241,1,5.129283,3.273939,1.502487,0.860427,0.864639,9,1.935767,2.010703,1,3.346506,0.021277,1.541775,2.381284,1.192751,1.68967,1.387051,0.972524,0.340426,0,0.137466,0,1.354917,0.467609,32,10.666667,1017.58249,0.389131,95701,0.06383,272.943132,48,1,191475,2.883904,826,275.116162,85.809962,228.809962,247.217218,141,0.652695,0.933895,1.647402,0.844311,4.946108,0.499809,17325.4,2,0.5,0,1.128378,1,167,3,0,83
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,1.581138,0,0,0,0.744318,0.255682,0.272425,0,1.035221,0.948206,0.593023,0.863121,0.002828,0,1.000229,1.123249,1,2.959287,0.006494,1.338086,1.697772,0.919396,1.697772,1.112036,0,0.006494,0.285714,-0.512219,0,2.110857,0.050557,6,6,813.584963,0.179367,113902,0,154.035221,1,2,227815,13.228757,356,160.973523,46.584963,177.584963,273.485512,154,5.755682,1.529134,0.914622,0.875,2.022727,0.499976,49556.3,2,0.064516,1,0.216749,0,176,44,2,45
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,1.544786,0,0,0,0.736842,0.263158,0.280654,0,1.035221,1.09181,0.604364,0.875472,0.002875,0,1.000236,1.114662,1,3.008259,0.006711,1.312548,1.817257,0.91173,1.817257,1.101634,0,0.006711,0.295302,-0.534702,0,2.042896,0.051791,6,6,752.584963,0.170018,121089,0,149.035221,1,2,242187,13.038405,346,156.185338,46.584963,172.584963,261.792733,149,5.923977,1.444362,0.913365,0.871345,2.023392,0.499981,53067.2,2,0.08,1,0.227696,0,171,44,2,45
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,1.316656,0,0,1,0,1,0.204988,1,8.806302,1.876049,1.659975,0.431226,0.033152,0,5.570396,0.740476,5.209453,2.129386,0.000972,1.249189,1.549508,0.759847,1.537596,0.792204,0.552797,1,0,-1.858694,0,3.818351,0.907263,9472,9472,18894.576545,0.453546,36928,0,5731.937969,1029,11.399278,73877,38.075086,79800,41652.875,86.1418,8047.340591,4114.999135,1029,0.026063,0.310973,28.568501,0.705761,54.73251,0.499858,4428.8,37,4.625,1,0.421997,1,1458,2,2,1458
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,0.699271,0,1,0,0.582043,0.417957,0.612807,1,5.857981,3.242353,1.444888,0.978071,0.956603,14,1.864841,2.445856,1,3.414162,0.01087,1.931658,2.469913,1.499262,1.867133,1.594535,0.919636,0.275362,0,0.212432,0,1.750986,0.364998,54,18,1909.884329,0.584606,94702,0.050725,514.696092,76,1,189696,3.51493,1818,568.846262,130.301639,424.914507,412.745021,276,0.47678,1.081264,1.761134,0.854489,5.628483,0.49923,5855.79,2,0.4,0,1.229695,1,323,3,0,135
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,0.692972,0,1,0,0.385757,0.614243,0.50823,1,6.210112,3.564783,2.287016,0.928643,0.524348,0,3.085834,1.433198,1,3.318525,0.003215,1.199419,4.189744,0.954104,1.563305,1.218064,2.205556,0.495177,0.344051,-0.530212,0,2.816521,2.365588,701,701,4723.716704,0.470745,108711,0.006431,959.694415,154,2,217555,9.600911,8891,4514.982966,163.18438,985.13233,942.348323,311,1.557864,1.444347,13.397576,0.922849,26.382789,0.499694,8508.53,2,0.285714,0,0.23419,1,337,35,2,207
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff58.dzn,1,1.357019,1,0,1,0,1,0.332005,1,9.831307,2.017946,4.134441,0.930256,0.021092,0,9.667125,0.578327,9.036174,1.843983,0.001335,1.156939,5.172519,1.684737,0.952429,0.581189,0.674732,0.990654,0,-0.379027,0,3.448916,4.214195,36376,36376,16803.989174,0.278195,47562,0,7240.676516,742,9.831307,95424,27.112022,624726,327527.24224,357.382494,7146.246956,3323.858383,749,0.067295,1.513029,440.817284,1.008075,840.815612,0.498428,19139.9,525,23.358974,1,0.426521,0,743,36,2,743
mznc12-problems/ship-schedule/ship-schedule.cp.mzn_AND_mznc12-problems/ship-schedule/5Ships.dzn,1,-1,0,1,0,0.741631,0.258369,-1,-1,16.955944,3.696004,0.4938,-1,0.638157,0,1.858078,0.901048,1,2.684019,-1,1.157256,2.361877,2.403366,1.244891,0.648741,1.56177,0.527116,0.205308,-1,-1,2.982112,0.821882,-1,-1,32724.085911,0.358603,6140,0,12950.80568,3674,1,13850,-1,1015648,750881.760939,101.735662,7818.956673,13527.983368,6970,0.076048,3.969955,122.015236,1.132597,165.038674,0.443321,1798.32,2,0.013072,0,-1,1,6154,-1,1,1590
