@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 1'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,324
1-fullins-3-4.xml.watchless.minion.gz,1,263
1-fullins-4-4.xml.watchless.minion.gz,1,263
1-fullins-4-5.xml.watchless.minion.gz,1,184
1-fullins-5-4.xml.watchless.minion.gz,1,263
1-fullins-5-5.xml.watchless.minion.gz,1,184
1-fullins-5-6.xml.watchless.minion.gz,1,169
1-insertions-4-3.xml.watchless.minion.gz,1,324
1-insertions-4-4.xml.watchless.minion.gz,1,263
1-insertions-5-4.xml.watchless.minion.gz,1,263
1-insertions-5-5.xml.watchless.minion.gz,1,184
1-insertions-5-6.xml.watchless.minion.gz,1,169
1-insertions-6-4.xml.watchless.minion.gz,1,263
1-insertions-6-5.xml.watchless.minion.gz,1,184
1-insertions-6-6.xml.watchless.minion.gz,1,169
1-insertions-6-7.xml.watchless.minion.gz,1,154
2-fullins-3-4.xml.watchless.minion.gz,1,263
2-fullins-3-5.xml.watchless.minion.gz,1,184
2-fullins-4-4.xml.watchless.minion.gz,1,263
2-fullins-4-5.xml.watchless.minion.gz,1,184
2-fullins-4-6.xml.watchless.minion.gz,1,169
2-fullins-5-4.xml.watchless.minion.gz,1,263
2-fullins-5-5.xml.watchless.minion.gz,1,184
2-fullins-5-6.xml.watchless.minion.gz,1,169
2-fullins-5-7.xml.watchless.minion.gz,1,154
2-insertions-3-3.xml.watchless.minion.gz,1,324
2-insertions-3-4.xml.watchless.minion.gz,1,263
2-insertions-4-3.xml.watchless.minion.gz,1,324
2-insertions-4-4.xml.watchless.minion.gz,1,263
2-insertions-4-5.xml.watchless.minion.gz,1,184
2-insertions-5-3.xml.watchless.minion.gz,1,324
2-insertions-5-4.xml.watchless.minion.gz,1,263
2-insertions-5-5.xml.watchless.minion.gz,1,184
2-insertions-5-6.xml.watchless.minion.gz,1,169
3-fullins-3-5.xml.watchless.minion.gz,1,184
3-fullins-3-6.xml.watchless.minion.gz,1,169
3-fullins-4-5.xml.watchless.minion.gz,1,184
3-fullins-4-6.xml.watchless.minion.gz,1,169
3-fullins-4-7.xml.watchless.minion.gz,1,154
3-fullins-5-5.xml.watchless.minion.gz,1,184
3-fullins-5-6.xml.watchless.minion.gz,1,169
3-fullins-5-7.xml.watchless.minion.gz,1,154
3-fullins-5-8.xml.watchless.minion.gz,1,136
3-insertions-3-3.xml.watchless.minion.gz,1,324
3-insertions-3-4.xml.watchless.minion.gz,1,263
3-insertions-4-3.xml.watchless.minion.gz,1,324
3-insertions-4-4.xml.watchless.minion.gz,1,263
3-insertions-4-5.xml.watchless.minion.gz,1,184
3-insertions-5-3.xml.watchless.minion.gz,1,324
3-insertions-5-4.xml.watchless.minion.gz,1,263
3-insertions-5-5.xml.watchless.minion.gz,1,184
3-insertions-5-6.xml.watchless.minion.gz,1,169
4-fullins-3-6.xml.watchless.minion.gz,1,169
4-fullins-3-7.xml.watchless.minion.gz,1,154
4-fullins-4-6.xml.watchless.minion.gz,1,169
4-fullins-4-7.xml.watchless.minion.gz,1,154
4-fullins-4-8.xml.watchless.minion.gz,1,136
4-fullins-5-5.xml.watchless.minion.gz,1,184
4-fullins-5-6.xml.watchless.minion.gz,1,169
4-fullins-5-7.xml.watchless.minion.gz,1,154
4-fullins-5-8.xml.watchless.minion.gz,1,136
4-insertions-3-3.xml.watchless.minion.gz,1,324
4-insertions-3-4.xml.watchless.minion.gz,1,263
4-insertions-4-3.xml.watchless.minion.gz,1,324
4-insertions-4-4.xml.watchless.minion.gz,1,263
4-insertions-4-5.xml.watchless.minion.gz,1,184
5-fullins-3-6.xml.watchless.minion.gz,1,169
5-fullins-3-7.xml.watchless.minion.gz,1,154
5-fullins-3-8.xml.watchless.minion.gz,1,136
5-fullins-4-6.xml.watchless.minion.gz,1,169
5-fullins-4-7.xml.watchless.minion.gz,1,154
5-fullins-4-8.xml.watchless.minion.gz,1,136
5-fullins-4-9.xml.watchless.minion.gz,1,96
abb313GPIA-10.xml.watchless.minion.gz,1,104
abb313GPIA-5.xml.watchless.minion.gz,1,184
abb313GPIA-7.xml.watchless.minion.gz,1,154
abb313GPIA-8.xml.watchless.minion.gz,1,136
abb313GPIA-9.xml.watchless.minion.gz,1,96
aim-100-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,273
aim-100-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,260
aim-100-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,257
aim-100-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,273
aim-100-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273
aim-100-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273
aim-100-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273
aim-100-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,266
aim-100-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257
aim-100-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,260
aim-100-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-100-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,259
aim-100-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,257
aim-100-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273
aim-100-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,266
aim-100-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,264
aim-100-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,260
aim-100-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273
aim-100-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-100-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,266
aim-100-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273
aim-100-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273
aim-100-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-100-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273
aim-200-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257
aim-200-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,259
aim-200-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-200-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257
aim-200-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,273
aim-200-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,273
aim-200-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,266
aim-200-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273
aim-200-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,259
aim-200-2-0-sat-2_ext.xml.minion.converted.minion.gz,1,273
aim-200-2-0-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-200-2-0-sat-4_ext.xml.minion.converted.minion.gz,1,273
aim-200-2-0-unsat-1_ext.xml.minion.converted.minion.gz,1,266
aim-200-2-0-unsat-2_ext.xml.minion.converted.minion.gz,1,273
aim-200-2-0-unsat-3_ext.xml.minion.converted.minion.gz,1,273
aim-200-2-0-unsat-4_ext.xml.minion.converted.minion.gz,1,266
aim-200-3-4-sat-1_ext.xml.minion.converted.minion.gz,1,273
aim-200-3-4-sat-2_ext.xml.minion.converted.minion.gz,1,273
aim-200-3-4-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-200-3-4-sat-4_ext.xml.minion.converted.minion.gz,1,273
aim-200-6-0-sat-1_ext.xml.minion.converted.minion.gz,1,273
aim-200-6-0-sat-2_ext.xml.minion.converted.minion.gz,1,273
aim-200-6-0-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-200-6-0-sat-4_ext.xml.minion.converted.minion.gz,1,273
aim-50-1-6-sat-1_ext.xml.minion.converted.minion.gz,1,257
aim-50-1-6-sat-2_ext.xml.minion.converted.minion.gz,1,273
aim-50-1-6-sat-3_ext.xml.minion.converted.minion.gz,1,273
aim-50-1-6-sat-4_ext.xml.minion.converted.minion.gz,1,257
aim-50-1-6-unsat-1_ext.xml.minion.converted.minion.gz,1,259
aim-50-1-6-unsat-2_ext.xml.minion.converted.minion.gz,1,266
aim-50-1-6-unsat-3_ext.xml.minion.converted.minion.gz,1,273
aim-50-1-6-unsat-4_ext.xml.minion.converted.minion.gz,1,273
aim-50-2-0-sat-1_ext.xml.minion.converted.minion.gz,1,257
