@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,324,0.068493,0.091828,0.366667,324,0.366667,0.229885,0.222222,0.2,324,0.133333,324,6.666667,0.166667,324,324
1-fullins-3-4.xml.watchless.minion.gz,1,263,0.068493,0.091828,0.366667,263,0.366667,0.229885,0.222222,0.2,263,0.133333,263,6.666667,0.166667,263,263
1-fullins-4-4.xml.watchless.minion.gz,1,263,0.059392,0.039056,0.344086,263,0.344086,0.138616,0.137126,0.11828,263,0.064516,263,12.752688,0.096774,263,263
1-fullins-4-5.xml.watchless.minion.gz,1,184,0.059392,0.039056,0.344086,184,0.344086,0.138616,0.137126,0.11828,184,0.064516,184,12.752688,0.096774,184,184
1-fullins-5-4.xml.watchless.minion.gz,1,263,0.04681,0.016686,0.336879,263,0.336879,0.081951,0.081661,0.070922,263,0.028369,263,23.028369,0.053191,263,263
1-fullins-5-5.xml.watchless.minion.gz,1,184,0.04681,0.016686,0.336879,184,0.336879,0.081951,0.081661,0.070922,184,0.028369,184,23.028369,0.053191,184,184
1-fullins-5-6.xml.watchless.minion.gz,1,169,0.04681,0.016686,0.336879,169,0.336879,0.081951,0.081661,0.070922,169,0.028369,169,23.028369,0.053191,169,169
1-insertions-4-3.xml.watchless.minion.gz,1,324,0.040141,0,0.328358,324,0.328358,0.10493,0.103364,0.089552,324,0.059701,324,6.925373,0.074627,324,324
1-insertions-4-4.xml.watchless.minion.gz,1,263,0.040141,0,0.328358,263,0.328358,0.10493,0.103364,0.089552,263,0.059701,263,6.925373,0.074627,263,263
1-insertions-5-4.xml.watchless.minion.gz,1,263,0.032959,0,0.331683,263,0.331683,0.06044,0.060141,0.049505,263,0.024752,263,12.148515,0.039604,263,263
1-insertions-5-5.xml.watchless.minion.gz,1,184,0.032959,0,0.331683,184,0.331683,0.06044,0.060141,0.049505,184,0.024752,184,12.148515,0.039604,184,184
1-insertions-5-6.xml.watchless.minion.gz,1,169,0.032959,0,0.331683,169,0.331683,0.06044,0.060141,0.049505,169,0.024752,169,12.148515,0.039604,169,169
1-insertions-6-4.xml.watchless.minion.gz,1,263,0.024126,0,0.332784,263,0.332784,0.034455,0.034398,0.029654,263,0.009885,263,20.879736,0.023064,263,263
1-insertions-6-5.xml.watchless.minion.gz,1,184,0.024126,0,0.332784,184,0.332784,0.034455,0.034398,0.029654,184,0.009885,184,20.879736,0.023064,184,184
1-insertions-6-6.xml.watchless.minion.gz,1,169,0.024126,0,0.332784,169,0.332784,0.034455,0.034398,0.029654,169,0.009885,169,20.879736,0.023064,169,169
1-insertions-6-7.xml.watchless.minion.gz,1,154,0.024126,0,0.332784,154,0.332784,0.034455,0.034398,0.029654,154,0.009885,154,20.879736,0.023064,154,154
2-fullins-3-4.xml.watchless.minion.gz,1,263,0.058075,0.063836,0.288462,263,0.288462,0.151584,0.148669,0.134615,263,0.076923,263,7.730769,0.096154,263,263
2-fullins-3-5.xml.watchless.minion.gz,1,184,0.058075,0.063836,0.288462,184,0.288462,0.151584,0.148669,0.134615,184,0.076923,184,7.730769,0.096154,184,184
2-fullins-4-4.xml.watchless.minion.gz,1,263,0.038637,0.021882,0.259434,263,0.259434,0.072476,0.072134,0.061321,263,0.028302,263,15.292453,0.04717,263,263
2-fullins-4-5.xml.watchless.minion.gz,1,184,0.038637,0.021882,0.259434,184,0.259434,0.072476,0.072134,0.061321,184,0.028302,184,15.292453,0.04717,184,184
2-fullins-4-6.xml.watchless.minion.gz,1,169,0.038637,0.021882,0.259434,169,0.259434,0.072476,0.072134,0.061321,169,0.028302,169,15.292453,0.04717,169,169
2-fullins-5-4.xml.watchless.minion.gz,1,263,0.023979,0.007851,0.252347,263,0.252347,0.033656,0.033616,0.029343,263,0.00939,263,28.640845,0.021127,263,263
2-fullins-5-5.xml.watchless.minion.gz,1,184,0.023979,0.007851,0.252347,184,0.252347,0.033656,0.033616,0.029343,184,0.00939,184,28.640845,0.021127,184,184
2-fullins-5-6.xml.watchless.minion.gz,1,169,0.023979,0.007851,0.252347,169,0.252347,0.033656,0.033616,0.029343,169,0.00939,169,28.640845,0.021127,169,169
2-fullins-5-7.xml.watchless.minion.gz,1,154,0.023979,0.007851,0.252347,154,0.252347,0.033656,0.033616,0.029343,154,0.00939,154,28.640845,0.021127,154,154
2-insertions-3-3.xml.watchless.minion.gz,1,324,0.025743,0,0.243243,324,0.243243,0.108108,0.105186,0.108108,324,0.081081,324,3.891892,0.081081,324,324
2-insertions-3-4.xml.watchless.minion.gz,1,263,0.025743,0,0.243243,263,0.243243,0.108108,0.105186,0.108108,263,0.081081,263,3.891892,0.081081,263,263
2-insertions-4-3.xml.watchless.minion.gz,1,324,0.021708,0,0.248322,324,0.248322,0.049066,0.048737,0.053691,324,0.026846,324,7.261745,0.033557,324,324
2-insertions-4-4.xml.watchless.minion.gz,1,263,0.021708,0,0.248322,263,0.248322,0.049066,0.048737,0.053691,263,0.026846,263,7.261745,0.033557,263,263
2-insertions-4-5.xml.watchless.minion.gz,1,184,0.021708,0,0.248322,184,0.248322,0.049066,0.048737,0.053691,184,0.026846,184,7.261745,0.033557,184,184
2-insertions-5-3.xml.watchless.minion.gz,1,324,0.014236,0,0.249581,324,0.249581,0.022124,0.022087,0.020101,324,0.008375,324,13.18593,0.015075,324,324
2-insertions-5-4.xml.watchless.minion.gz,1,263,0.014236,0,0.249581,263,0.249581,0.022124,0.022087,0.020101,263,0.008375,263,13.18593,0.015075,263,263
2-insertions-5-5.xml.watchless.minion.gz,1,184,0.014236,0,0.249581,184,0.249581,0.022124,0.022087,0.020101,184,0.008375,184,13.18593,0.015075,184,184
2-insertions-5-6.xml.watchless.minion.gz,1,169,0.014236,0,0.249581,169,0.249581,0.022124,0.022087,0.020101,169,0.008375,169,13.18593,0.015075,169,169
3-fullins-3-5.xml.watchless.minion.gz,1,184,0.049847,0.051742,0.2375,184,0.2375,0.109494,0.108125,0.0875,184,0.05,184,8.65,0.075,184,184
3-fullins-3-6.xml.watchless.minion.gz,1,169,0.049847,0.051742,0.2375,169,0.2375,0.109494,0.108125,0.0875,169,0.05,169,8.65,0.075,169,169
3-fullins-4-5.xml.watchless.minion.gz,1,184,0.026781,0.01485,0.207407,184,0.207407,0.043075,0.042969,0.037037,184,0.014815,184,17.402469,0.02716,184,184
